Sample	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125
RT_Gad2_1 - Adapter 1	42299	5180	751	214	369	153	72	450	74	176	253	106	265	87	257	420	90	348	167	457	127	96	428	117	420	561	138	284	132	491	156	423	390	130	133	492	190	811	510	128	225	138	316	692	371	80	326	736	466	777	1721	558	841	373	383	599	378	1361	714	475	809	1032	169	170	244	273	304	231	126	105	147	284	466	672	638	697	625	631	656	651	551	560	460	426	403	451	426	472	479	443	526	497	486	464	447	479	590	698	991	1267	1749	2077	2441	2436	2243	2008	1653	1231	870	531	309	193	112	98	85	125	154	175	131	198	229	291	273
RT_Gad2_2 - Adapter 1	71287	7721	1224	357	753	250	142	844	157	329	403	132	454	129	431	613	153	628	281	820	230	153	846	186	588	955	258	478	237	985	286	925	676	251	223	942	350	1866	981	275	433	250	549	1311	633	114	663	1512	1012	1680	3895	1314	1931	764	871	1157	670	3012	1582	865	1703	2345	412	373	450	567	603	487	229	227	319	707	1122	1353	1410	1544	1468	1443	1430	1368	1246	1196	1137	1015	1068	1027	1041	1014	981	1061	994	1007	926	920	822	903	1211	1608	2157	2833	3660	4371	4921	4901	4370	3808	3019	2221	1389	1071	690	422	202	210	188	205	277	285	293	299	243	365	473
RT_Gad2_3 - Adapter 1	66782	12112	958	435	840	299	142	910	142	354	566	164	527	139	584	884	192	806	394	996	281	208	928	198	921	1273	377	600	247	1191	371	1203	900	319	246	989	365	2152	1115	289	463	293	707	1477	781	154	853	1759	1035	1816	4441	1456	2111	780	901	1252	742	3461	1791	1007	1858	2490	361	345	565	668	638	515	235	248	325	727	1110	1450	1563	1653	1689	1607	1558	1496	1461	1369	1249	1141	1180	1205	1251	1113	1190	1180	1165	1196	1132	1042	1016	1087	1403	1907	2639	3590	4683	5557	6342	6243	5710	4878	3907	2917	2080	1320	904	548	207	239	179	244	374	470	464	414	415	468	477
RT_vGluT2_1 - Adapter 1	103303	12091	1538	502	1425	313	191	1228	210	504	804	239	770	224	934	1302	277	1301	513	1564	496	360	1700	386	1348	1837	605	993	441	1691	565	1919	1392	500	433	1503	574	3226	1492	396	759	435	1106	2283	1038	224	1113	2513	1448	2651	6012	2122	2908	1019	1250	1848	1011	4515	2342	1399	2424	3485	622	437	753	810	770	575	269	264	437	810	1463	1893	1916	1962	1941	2081	1964	1830	1676	1571	1498	1411	1361	1333	1280	1405	1418	1522	1522	1545	1449	1460	1455	1522	1759	2297	2900	3559	4324	4866	5269	5014	4542	3772	3285	2774	2018	1447	907	494	244	207	127	179	223	191	263	149	167	256	299
RT_vGluT2_3 - Adapter 1	106875	14485	1620	354	619	255	155	1016	194	402	553	124	421	114	501	761	140	735	267	815	253	182	797	177	775	1023	291	511	233	969	314	1060	840	302	212	869	296	1965	949	237	424	300	739	1520	593	142	627	1575	1153	2045	4200	1628	2307	802	946	1416	845	3251	1981	1016	1765	2401	379	373	554	696	742	564	251	256	361	667	1100	1484	1689	1841	1811	1734	1631	1510	1424	1371	1391	1288	1286	1292	1413	1443	1661	1955	2198	2297	2359	2398	2357	2611	3196	3680	4295	5092	5651	6160	6254	5700	4762	3891	2811	1744	1336	736	440	265	135	156	131	164	299	378	412	285	278	370	558
S1_Gad2_1 - Adapter 1	45515	3341	578	87	112	46	50	200	32	88	122	35	87	27	120	181	34	150	54	192	56	50	153	29	168	243	58	106	36	159	53	243	199	67	62	148	61	447	155	61	87	47	149	298	139	22	148	300	214	398	744	270	400	140	163	265	155	676	336	218	342	419	75	55	101	118	102	86	56	46	53	138	196	265	291	314	352	336	309	279	279	287	229	241	270	310	317	370	373	449	511	590	629	628	723	750	848	1008	1010	1078	1170	1174	1111	905	722	641	458	360	215	157	110	79	34	39	17	37	38	36	57	66	113	101	62
S1_Gad2_2 - Adapter 1	56682	3742	864	148	309	57	55	234	52	92	126	37	82	28	159	235	50	197	58	228	63	46	173	39	174	275	67	109	48	254	64	245	180	60	44	154	92	438	185	57	94	82	163	366	182	33	164	412	279	511	846	343	444	156	165	274	145	674	408	239	415	471	100	61	95	111	153	103	58	35	62	114	270	335	316	383	392	368	373	366	332	277	300	260	281	283	269	258	232	260	273	280	245	217	211	228	311	431	571	749	912	976	1077	1066	976	790	573	482	290	230	123	84	38	42	18	47	73	45	54	31	47	109	50
S1_Gad2_3 - Adapter 1	34854	2758	518	48	80	31	16	118	46	40	60	18	68	17	47	110	35	77	57	125	33	41	130	32	69	113	30	57	26	107	44	130	89	29	26	90	41	193	126	32	52	33	64	132	53	17	107	164	102	170	365	152	191	77	96	124	84	266	179	99	154	238	36	37	73	69	81	50	18	24	36	73	104	147	159	184	208	156	164	174	147	155	144	148	130	140	128	137	132	133	175	165	175	155	185	170	245	294	379	508	639	794	897	911	823	671	578	378	232	170	90	81	35	44	21	28	44	47	45	58	81	23	35
S1_vGluT2_1 - Adapter 1	51241	4645	937	168	292	104	55	372	51	180	228	70	211	38	218	379	40	326	100	409	142	99	408	73	295	467	124	221	83	454	131	452	396	107	66	396	157	905	399	129	175	128	338	619	238	63	235	563	448	774	1670	582	927	291	358	596	301	1424	738	461	800	903	175	136	235	254	246	201	101	88	143	309	486	620	688	750	676	713	700	603	643	705	684	707	795	882	1038	1204	1607	1930	2276	2726	2975	3144	3557	3771	4003	4281	4362	4280	4266	4264	4247	3968	3580	2965	2220	1768	1254	773	439	237	112	115	87	97	91	108	131	130	69	122	222
