Sample	Top over-represented sequence	Sum of remaining over-represented sequences
RT_Gad2_1	0.26603979504881853	0.10373261381362298
RT_Gad2_2	0.2723512083538783	0.11813218681361448
RT_Gad2_3	0.297217973966543	0.122684232307186
RT_vGluT2_1	0.2829984794420986	0.0
RT_vGluT2_3	0.2785396184290837	0.0
S1_Gad2_1	0.2883586789767476	2.0364023049055486
S1_Gad2_2	0.6453714164246879	4.622948150037229
S1_Gad2_3	0.36838407924571714	3.109541465885119
S1_vGluT2_1	0.2293505925347038	1.10370935484013
S1_vGluT2_2	1.0558333073440824	5.861135834218966
S1_vGluT2_3	0.2963112803172038	2.065135844912527
