task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	64/23ae79	15460	checkDesign (RTS0_nf_input_2.tsv)	COMPLETED	0	2020-12-03 00:42:10.191	575ms	304ms	88.0%	20.2 MB	33.4 MB	3.3 MB	875 B
3	50/0c756d	15562	output_documentation	COMPLETED	0	2020-12-03 00:42:10.419	749ms	397ms	48.8%	15.9 MB	27.5 MB	4.1 MB	2.5 MB
1	d9/fdea59	15467	get_software_versions	COMPLETED	0	2020-12-03 00:42:10.233	6.3s	6s	77.4%	66.4 MB	11.1 GB	27.4 MB	3.5 KB
4	a0/bb0af9	15801	trim (RT_Gad2_1)	COMPLETED	0	2020-12-03 00:42:11.197	6m 3s	6m 2s	166.3%	303.1 MB	11.1 GB	14.4 GB	13.7 GB
5	27/43dd67	16845	trim (RT_Gad2_2)	COMPLETED	0	2020-12-03 00:42:16.555	10m 23s	10m 23s	162.2%	303.1 MB	11.1 GB	25.4 GB	24.2 GB
6	06/ae860a	4937	trim (RT_Gad2_3)	COMPLETED	0	2020-12-03 00:48:13.806	9m 18s	9m 18s	151.7%	306.1 MB	11.1 GB	23.4 GB	22.3 GB
7	63/d2f860	18330	trim (RT_vGluT2_1)	COMPLETED	0	2020-12-03 00:52:39.829	11m 35s	11m 35s	153.6%	307.1 MB	11.1 GB	28.5 GB	27.1 GB
14	0e/306034	20133	trim (S1_vGluT2_3)	COMPLETED	0	2020-12-03 01:04:15.131	4m 5s	4m 5s	157.6%	301.2 MB	11.1 GB	10.7 GB	10.1 GB
9	c7/b09cef	30509	trim (S1_Gad2_1)	COMPLETED	0	2020-12-03 01:08:20.491	4m 18s	4m 18s	156.2%	300.8 MB	11.1 GB	11.3 GB	10.7 GB
8	1c/c84cfb	1202	trim (RT_vGluT2_3)	COMPLETED	0	2020-12-03 00:57:32.185	15m 10s	15m 10s	154.9%	308.8 MB	11.1 GB	38.4 GB	36.6 GB
11	4a/849fa4	6737	trim (S1_Gad2_3)	COMPLETED	0	2020-12-03 01:12:41.973	3m 55s	3m 55s	169.3%	305.8 MB	11.1 GB	9.7 GB	9.2 GB
10	e2/0921cc	6369	trim (S1_Gad2_2)	COMPLETED	0	2020-12-03 01:12:38.312	4m 44s	4m 43s	164.0%	377.2 MB	11.1 GB	11.6 GB	11 GB
13	64/3be631	25289	trim (S1_vGluT2_2)	COMPLETED	0	2020-12-03 01:17:21.895	2m 13s	2m 13s	171.9%	300.2 MB	11.1 GB	5.6 GB	5.3 GB
12	d2/562c50	20523	trim (S1_vGluT2_1)	COMPLETED	0	2020-12-03 01:16:37.039	5m 51s	5m 51s	173.5%	308.1 MB	11.1 GB	16.5 GB	15.7 GB
15	5d/e88b7c	3157	map (RT_Gad2_1)	COMPLETED	0	2020-12-03 01:22:27.868	18m 29s	18m 29s	788.2%	9.7 GB	13.2 GB	6.4 GB	6.1 GB
