Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
RT_Gad2_1										32.006775579877036	12.411622389645187	11.752477112028084	2.9046409901540273	4.305597240047682	0.32626342141592535	0.26689031596430757																																																																																										
RT_Gad2_2										28.90435569622989	11.455560533364425	12.245688791064573	3.3618962226693165	5.674274136165019	1.4090007271806004	0.8253865906615631																																																																																										
RT_Gad2_3										26.14070947227214	11.053512499195946	11.306699706662204	3.2854599078520406	5.18538203282836	1.3421769786764255	0.8993954597698515																																																																																										
RT_vGluT2_1										28.285563764509302	11.250188161631696	12.97380228374383	3.689747993713404	6.456850736900421	1.274162878522634	1.1203113607645054																																																																																										
RT_vGluT2_3										25.825010256705426	11.037455280393726	13.624359808771741	4.025710046908423	7.093740997068795	1.8308394471600056	1.6793190850182438																																																																																										
S1_Gad2_1										29.597145436708445	9.54858440917498	11.388684530016896	4.441750959669065	8.992374177708925	2.4750360893733667	1.7001166754488286																																																																																										
S1_Gad2_2										29.17534422078956	9.29225350185064	11.123717833996388	4.523105379537872	9.78161170815676	2.0995794481935355	4.545044980307845																																																																																										
S1_Gad2_3										30.464273689907035	9.709103217277425	11.629968130302764	4.63876888555563	9.994228617561845	2.4841419358738346	1.5654425984039215																																																																																										
S1_vGluT2_1										25.62473232640412	9.135243562590938	9.280008581906857	3.5687745542229212	6.248756524429143	1.63012446042617	1.4332259456291179																																																																																										
S1_vGluT2_2										32.54927052314231	10.109165997917941	10.916839182000917	4.471324902697492	5.229163830745975	2.207226565424354	3.821181250546786																																																																																										
S1_vGluT2_3										29.571216983295436	9.537302353604737	10.417483038868015	4.392280507907378	6.674229525203749	2.1224409802574375	1.103971587120991																																																																																										
