Sample	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
RT_Gad2_1	8915313	109533	8915313	1107833563	39432679	1063543704	3.997880230317593
RT_Gad2_2	15939478	204627	15939478	1982118735	68186637	1904091155	3.936574465605866
RT_Gad2_3	14700859	228336	14700859	1826254257	65291301	1749117885	4.223747690352407
RT_vGluT2_1	17939784	290752	17939784	2228863782	84687940	2131300691	4.377256779346778
RT_vGluT2_3	24172736	279903	24172736	3009466136	105377182	2891206182	3.929599093518426
S1_Gad2_1	6944236	81309	6944236	864657294	31234803	830724570	3.9244130866026095
S1_Gad2_2	7184639	91164	7184639	894301474	35231550	856635707	4.211752758443961
S1_Gad2_3	5892427	55843	5892427	733666026	21398665	710701356	3.130125859201227
S1_vGluT2_1	10284354	162159	10284354	1277853540	43753897	1224728695	4.157350066894208
S1_vGluT2_2	3347241	42801	3347241	416615443	15838527	399357414	4.1424362178528265
S1_vGluT2_3	6583063	88948	6583063	817959675	28068061	785482954	3.9704550227369095
