Sample	Slamdunk_mqc-generalstats-slamdunk-counted	Slamdunk_mqc-generalstats-slamdunk-retained	Slamdunk_mqc-generalstats-slamdunk-mapped	Slamdunk_mqc-generalstats-slamdunk-sequenced	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
RT_Gad2_1	6564403	4477371	6442913	8862208	3.997880230317593	66.74533817746035	48.0	119.31299976258738	18.181818181818183	8862208.0
RT_Gad2_2	11072228	7573041	11250504	15853427	3.936574465605866	66.87521951624181	48.0	119.433897983067	18.181818181818183	15853427.0
RT_Gad2_3	8874652	6260953	10084581	14590302	4.223747690352407	62.18422849736406	50.0	119.22718001313476	18.181818181818183	14590302.0
RT_vGluT2_1	13929731	9614938	13381050	17846739	4.377256779346778	67.70935617988881	46.0	118.72266546846457	18.181818181818183	17846739.0
RT_vGluT2_3	17822926	12432992	17628929	24082391	3.929599093518426	68.16311076608876	49.0	119.39656411192726	18.181818181818183	24082391.0
S1_Gad2_1	3803770	3399605	5398550	6925056	3.9244130866026095	71.16268226573396	45.0	119.24962859506118	18.181818181818183	6925056.0
S1_Gad2_2	3720373	3592566	5741935	7160063	4.211752758443961	73.19160760641063	43.0	118.89929348387018	18.181818181818183	7160063.0
S1_Gad2_3	3104116	2934683	4621993	5876204	3.130125859201227	73.25227490225679	45.0	120.2089992110553	18.181818181818183	5876204.0
S1_vGluT2_1	4985323	4247327	7343439	10217545	4.157350066894208	59.656359093802465	50.0	119.20137645589034	27.27272727272727	10217545.0
S1_vGluT2_2	1802345	1641076	2635001	3334712	4.1424362178528265	71.7746499532773	45.0	119.05695664273257	27.27272727272727	3334712.0
S1_vGluT2_3	3360686	3053033	4956381	6535357	3.9704550227369095	66.41297180718502	48.0	119.45206895353995	27.27272727272727	6535357.0
