task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	e5/d50acc	420	checkDesign (RTS0_nf_input_3.tsv)	COMPLETED	0	2020-12-03 21:13:25.310	1.2s	457ms	46.3%	27.3 MB	39.9 MB	3.3 MB	880 B
3	0a/ddd90a	484	output_documentation	COMPLETED	0	2020-12-03 21:13:25.774	1.3s	663ms	37.5%	16.2 MB	27.8 MB	4.1 MB	2.5 MB
1	76/31fd32	412	get_software_versions	COMPLETED	0	2020-12-03 21:13:25.244	8.8s	8s	40.9%	50.8 MB	11.1 GB	27.4 MB	3.5 KB
5	13/bf119c	1769	trim (RT_Gad2_1)	COMPLETED	0	2020-12-03 21:13:34.065	11m 38s	11m 38s	88.6%	307 MB	11.1 GB	14.4 GB	13.7 GB
4	90/4019cb	759	trim (RT_Gad2_2)	COMPLETED	0	2020-12-03 21:13:27.123	19m 30s	19m 29s	93.7%	305.4 MB	11.1 GB	25.4 GB	24.2 GB
7	9e/1d68dc	31909	trim (RT_vGluT2_1)	COMPLETED	0	2020-12-03 21:25:12.488	15m 55s	15m 55s	128.6%	303.7 MB	11.1 GB	28.5 GB	27.1 GB
8	2e/7e922d	13812	trim (RT_vGluT2_3)	COMPLETED	0	2020-12-03 21:32:56.960	16m 30s	16m 30s	153.0%	309.7 MB	11.1 GB	38.4 GB	36.6 GB
6	0b/5b2c97	32697	trim (RT_Gad2_3)	COMPLETED	0	2020-12-03 21:41:07.980	9m 30s	9m 30s	153.8%	396.4 MB	11.1 GB	23.4 GB	22.3 GB
13	27/8f3da8	22804	trim (S1_vGluT2_2)	COMPLETED	0	2020-12-03 21:50:38.431	2m 12s	2m 12s	160.3%	378.2 MB	11.1 GB	5.6 GB	5.3 GB
12	b3/27fe08	16421	trim (S1_vGluT2_1)	COMPLETED	0	2020-12-03 21:49:27.115	6m 37s	6m 37s	153.7%	360.4 MB	11.1 GB	16.5 GB	15.7 GB
14	dd/ecddf6	29621	trim (S1_vGluT2_3)	COMPLETED	0	2020-12-03 21:52:50.828	4m 19s	4m 18s	154.2%	376.3 MB	11.1 GB	10.7 GB	10.1 GB
11	51/4ae1dd	6539	trim (S1_Gad2_3)	COMPLETED	0	2020-12-03 21:56:04.235	4m	4m	152.1%	308.6 MB	11.1 GB	9.7 GB	9.2 GB
9	f2/be20b4	11877	trim (S1_Gad2_1)	COMPLETED	0	2020-12-03 21:57:09.467	4m 35s	4m 35s	154.6%	369.7 MB	11.1 GB	11.3 GB	10.7 GB
10	f7/8e1722	20785	trim (S1_Gad2_2)	COMPLETED	0	2020-12-03 22:00:04.043	4m 16s	4m 16s	170.3%	303.2 MB	11.1 GB	11.6 GB	11 GB
15	3a/15103f	29937	map (RT_Gad2_1)	COMPLETED	0	2020-12-03 22:04:20.181	19m 13s	19m 13s	778.4%	9.7 GB	13.2 GB	6.4 GB	6.1 GB
16	19/e16b50	12427	map (RT_Gad2_2)	COMPLETED	0	2020-12-03 22:23:33.448	30m 45s	30m 45s	993.1%	9.8 GB	13.2 GB	7 GB	7 GB
17	45/f91d1f	29776	map (RT_vGluT2_1)	COMPLETED	0	2020-12-03 22:54:18.798	31m 20s	31m 20s	995.3%	9.8 GB	13.2 GB	7.1 GB	7.2 GB
18	c5/f7f083	14810	map (RT_vGluT2_3)	COMPLETED	0	2020-12-03 23:25:38.960	39m 26s	39m 26s	1066.0%	9.8 GB	13.2 GB	7.6 GB	8.1 GB
19	89/c92a16	1539	map (RT_Gad2_3)	COMPLETED	0	2020-12-04 00:05:05.088	33m 8s	33m 8s	1046.3%	9.8 GB	13.2 GB	6.9 GB	6.8 GB
20	f1/614c1b	19336	map (S1_vGluT2_2)	COMPLETED	0	2020-12-04 00:38:13.209	10m 58s	10m 58s	457.1%	9.7 GB	13.2 GB	5.6 GB	5.3 GB
21	17/f4abe6	32444	map (S1_vGluT2_1)	COMPLETED	0	2020-12-04 00:49:11.139	25m 40s	25m 39s	958.4%	9.8 GB	13.2 GB	6.6 GB	6.3 GB
22	cb/1f9d6a	16308	map (S1_vGluT2_3)	COMPLETED	0	2020-12-04 01:14:50.792	16m 20s	16m 20s	739.5%	9.7 GB	13.2 GB	6.1 GB	5.8 GB
23	e0/4d7aed	30581	map (S1_Gad2_3)	COMPLETED	0	2020-12-04 01:31:10.928	13m 46s	13m 46s	612.4%	9.7 GB	13.2 GB	6 GB	5.7 GB
24	e3/9df132	11899	map (S1_Gad2_1)	COMPLETED	0	2020-12-04 01:44:56.997	15m 20s	15m 20s	684.3%	9.7 GB	13.2 GB	6.1 GB	5.9 GB
25	9e/e742e4	25959	map (S1_Gad2_2)	COMPLETED	0	2020-12-04 02:00:16.988	15m 18s	15m 18s	645.9%	9.7 GB	13.2 GB	6.2 GB	5.9 GB
26	cf/c2d9a3	7598	filter (RT_Gad2_1)	COMPLETED	0	2020-12-04 02:15:34.783	6m 16s	6m 16s	78.3%	961.1 MB	1.7 GB	3 GB	1.8 GB
27	92/4653f1	7603	filter (RT_Gad2_2)	COMPLETED	0	2020-12-04 02:15:34.810	10m 29s	10m 29s	80.9%	962.1 MB	1.7 GB	5.3 GB	3.1 GB
28	5f/2cbff1	17455	filter (RT_vGluT2_1)	COMPLETED	0	2020-12-04 02:21:50.543	12m 55s	12m 55s	78.2%	979.2 MB	1.7 GB	6.3 GB	3.9 GB
29	ae/5b8485	23783	filter (RT_vGluT2_3)	COMPLETED	0	2020-12-04 02:26:03.836	16m 51s	16m 51s	80.7%	965.9 MB	1.7 GB	8.2 GB	5 GB
30	51/dbdc27	1441	filter (RT_Gad2_3)	COMPLETED	0	2020-12-04 02:34:45.795	8m 52s	8m 52s	78.9%	964 MB	1.7 GB	4.5 GB	2.5 GB
31	9c/94fcdf	9710	filter (S1_vGluT2_2)	COMPLETED	0	2020-12-04 02:42:54.875	2m 20s	2m 19s	78.3%	907.2 MB	1.7 GB	1013.1 MB	534.3 MB
33	97/c8521e	14148	filter (S1_vGluT2_3)	COMPLETED	0	2020-12-04 02:45:14.489	4m 25s	4m 25s	79.9%	976.3 MB	1.7 GB	2.1 GB	1.1 GB
