	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
RT_Gad2_1	1.0	6.0	20.0	4441.0	516401.0	413680.0	326304.0	269874.0	221738.0	168658.0	140850.0	91760.0	56860.0	35149.0	17706.0	9444.0	4797.0	1816.0	547.0	278.0	188.0	103.0	56.0	47.0	3.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
RT_Gad2_2	19.0	3.0	25.0	8090.0	930648.0	750746.0	591918.0	484700.0	397885.0	299083.0	248818.0	160962.0	98155.0	60708.0	29966.0	15785.0	8301.0	3078.0	988.0	519.0	329.0	152.0	78.0	97.0	7.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
RT_Gad2_3	1.0	0.0	26.0	7138.0	818892.0	665670.0	520623.0	423061.0	348350.0	260462.0	215165.0	137782.0	85679.0	51908.0	25293.0	13276.0	6747.0	2439.0	819.0	409.0	235.0	146.0	69.0	74.0	10.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
RT_vGluT2_1	3.0	1.0	34.0	7314.0	1016764.0	834918.0	667698.0	564488.0	473967.0	368444.0	314922.0	215424.0	145224.0	100618.0	56351.0	34464.0	20591.0	7822.0	2497.0	1351.0	821.0	516.0	315.0	298.0	44.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
RT_vGluT2_3	4.0	7.0	43.0	9576.0	1375167.0	1117748.0	889169.0	741023.0	620532.0	475865.0	405026.0	270766.0	179820.0	120626.0	66130.0	39768.0	22856.0	8832.0	2807.0	1549.0	939.0	524.0	306.0	353.0	51.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
S1_Gad2_1	2218.0	6082.0	1693.0	11951.0	388883.0	312827.0	252135.0	208668.0	179349.0	135176.0	114379.0	76477.0	53460.0	36771.0	21863.0	13438.0	8325.0	3302.0	1045.0	586.0	362.0	238.0	146.0	135.0	16.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
S1_Gad2_2	2025.0	5369.0	1675.0	11515.0	413850.0	325874.0	264209.0	220461.0	196759.0	146015.0	119077.0	78113.0	54087.0	35978.0	20402.0	12015.0	7506.0	3028.0	901.0	498.0	316.0	179.0	107.0	118.0	14.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
S1_Gad2_3	1771.0	4740.0	1420.0	9847.0	356906.0	282946.0	225556.0	182844.0	155362.0	118330.0	98918.0	66653.0	43857.0	28214.0	15207.0	9047.0	5229.0	1907.0	667.0	360.0	222.0	120.0	88.0	75.0	12.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
S1_vGluT2_1	1855.0	4583.0	1480.0	14476.0	492209.0	394637.0	320097.0	264555.0	229282.0	173318.0	148033.0	98073.0	67157.0	45441.0	25775.0	15271.0	9298.0	3650.0	1177.0	653.0	371.0	209.0	120.0	117.0	15.0
	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
S1_vGluT2_2	2.0	0.0	5.0	1298.0	194893.0	152066.0	126694.0	107248.0	100092.0	72584.0	57168.0	36798.0	25202.0	17245.0	9763.0	6032.0	3486.0	1374.0	533.0	244.0	148.0	72.0	46.0	48.0	5.0
	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	140
S1_vGluT2_3	16.0	2248.0	365572.0	291391.0	236071.0	194770.0	163721.0	124692.0	103651.0	69874.0	46929.0	31251.0	17621.0	10354.0	6260.0	2383.0	763.0	436.0	274.0	146.0	80.0	103.0	13.0

