Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
RT_Gad2_1.filtered	2280730	30032	126888079	0	126788545	0.07844235706334557
RT_Gad2_2.filtered	4091069	53283	226928170	0	226750611	0.0782445828563285
RT_Gad2_3.filtered	3584274	46631	198405863	0	198251277	0.07791402817566938
RT_vGluT2_1.filtered	4834892	49969	275023514	0	274855373	0.061136954275117006
RT_vGluT2_3.filtered	6349503	65897	358377252	0	358154031	0.06228659848086563
S1_Gad2_1.filtered	1836046	88958	104243461	0	103360038	0.8474613098273857
S1_Gad2_2.filtered	1925564	83470	108854816	0	108074565	0.7167813319348223
S1_Gad2_3.filtered	1615670	72962	90692274	0	89991972	0.7721738237592323
S1_vGluT2_1.filtered	2317107	102176	131347631	0	130548640	0.6083025585745052
S1_vGluT2_2.filtered	913049	8922	51715399	0	51685671	0.057483845382300926
S1_vGluT2_3.filtered	1668624	15516	94047570	0	93995897	0.0549434716920384
