Sample	Slamdunk_mqc-generalstats-slamdunk-counted	Slamdunk_mqc-generalstats-slamdunk-retained	Slamdunk_mqc-generalstats-slamdunk-mapped	Slamdunk_mqc-generalstats-slamdunk-sequenced	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed
RT_Gad2_1	1997362	1321836	2273676	2280727	41.68645148106639	39.0	55.68193738224698	18.181818181818183	2280727.0	
RT_Gad2_1.filtered										0.07844235706334557
RT_Gad2_2	3553229	2340813	4077571	4091060	43.08750064564462	39.0	55.52270096258671	18.181818181818183	4091060.0	
RT_Gad2_2.filtered										0.0782445828563285
RT_Gad2_3	2941737	1993425	3571332	3584274	44.75413703082054	39.0	55.40718789913941	18.181818181818183	3584274.0	
RT_Gad2_3.filtered										0.07791402817566938
RT_vGluT2_1	4183148	2847790	4819137	4834889	43.54913155257228	40.0	56.93316640775	18.181818181818183	4834889.0	
RT_vGluT2_1.filtered										0.061136954275117006
RT_vGluT2_3	5489808	3734733	6332143	6349487	44.21343041240675	39.0	56.49576682336699	18.181818181818183	6349487.0	
RT_vGluT2_3.filtered										0.06228659848086563
S1_Gad2_1	1146635	982206	1823391	1829525	42.21548804809093	38.0	56.54528525163635	18.181818181818183	1829525.0	
S1_Gad2_1.filtered										0.8474613098273857
S1_Gad2_2	1062150	1026551	1913058	1920091	42.571948628328684	38.0	56.347526757846374	18.181818181818183	1920091.0	
S1_Gad2_2.filtered										0.7167813319348223
S1_Gad2_3	950679	862078	1604319	1610298	41.544012334155234	38.0	55.93921559860349	18.181818181818183	1610298.0	
S1_Gad2_3.filtered										0.7721738237592323
S1_vGluT2_1	1582742	1294288	2304154	2311852	43.24492952783251	38.0	56.533237854326316	18.181818181818183	2311852.0	
S1_vGluT2_1.filtered										0.6083025585745052
S1_vGluT2_2	554632	519053	910493	913046	42.27586160737435	39.0	56.71345912473194	18.181818181818183	913046.0	
S1_vGluT2_2.filtered										0.057483845382300926
S1_vGluT2_3	1042164	917425	1662948	1668619	41.76660109467304	38.0	56.42979134242149	18.181818181818183	1668619.0	
S1_vGluT2_3.filtered										0.0549434716920384
