group	condition	control	reads
RT_Gad2	RT	0	/Users/lecka48/Documents/slam_for_docker/RTS0_tq30_mbq_20_ml40_and_adpt_filt_man_demux/RT_Gad2_1.filtered.fastq.gz
RT_Gad2	RT	0	/Users/lecka48/Documents/slam_for_docker/RTS0_tq30_mbq_20_ml40_and_adpt_filt_man_demux/RT_Gad2_2.filtered.fastq.gz
RT_Gad2	RT	0	/Users/lecka48/Documents/slam_for_docker/RTS0_tq30_mbq_20_ml40_and_adpt_filt_man_demux/RT_Gad2_3.filtered.fastq.gz
RT_vGluT2	RT	0	/Users/lecka48/Documents/slam_for_docker/RTS0_tq30_mbq_20_ml40_and_adpt_filt_man_demux/RT_vGluT2_1.filtered.fastq.gz
RT_vGluT2	RT	0	/Users/lecka48/Documents/slam_for_docker/RTS0_tq30_mbq_20_ml40_and_adpt_filt_man_demux/RT_vGluT2_3.filtered.fastq.gz
S1_Gad2	S1	1	/Users/lecka48/Documents/slam_for_docker/RTS0_tq30_mbq_20_ml40_and_adpt_filt_man_demux/S1_Gad2_1.filtered.fastq.gz
S1_Gad2	S1	1	/Users/lecka48/Documents/slam_for_docker/RTS0_tq30_mbq_20_ml40_and_adpt_filt_man_demux/S1_Gad2_2.filtered.fastq.gz
S1_Gad2	S1	1	/Users/lecka48/Documents/slam_for_docker/RTS0_tq30_mbq_20_ml40_and_adpt_filt_man_demux/S1_Gad2_3.filtered.fastq.gz
S1_vGluT2	S1	1	/Users/lecka48/Documents/slam_for_docker/RTS0_tq30_mbq_20_ml40_and_adpt_filt_man_demux/S1_vGluT2_1.filtered.fastq.gz
S1_vGluT2	S1	1	/Users/lecka48/Documents/slam_for_docker/RTS0_tq30_mbq_20_ml40_and_adpt_filt_man_demux/S1_vGluT2_2.filtered.fastq.gz
S1_vGluT2	S1	1	/Users/lecka48/Documents/slam_for_docker/RTS0_tq30_mbq_20_ml40_and_adpt_filt_man_demux/S1_vGluT2_3.filtered.fastq.gz
