"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050808","GO:0050808","synapse organization","233/4775","451/23210",2.45222933420944e-49,1.51179938454012e-45,9.69792169328933e-46,"18591/14395/20615/13642/16400/22154/235072/13004/21844/12297/29811/68942/16001/17260/53328/12540/12387/26556/11848/232370/56808/14394/330814/104156/19280/19211/109711/12298/18643/17762/20692/83767/14360/19164/66713/13169/19878/319504/11418/18472/12295/13385/77579/13488/15387/11843/22418/18039/18163/22631/319613/73340/11838/14083/74006/56637/11820/16443/93707/11423/56724/12558/69597/12405/20411/22215/12565/108100/18164/236915/245684/18186/20617/29819/13838/53972/74117/269116/11352/329165/69601/14810/53872/228550/18645/14658/20351/76742/99633/53378/56376/19266/269523/18027/16975/230775/19744/67830/13542/13839/13602/29867/11461/19894/73178/19242/11519/14812/19277/52163/11941/80749/233878/18479/13043/54645/67790/18481/382253/245537/17257/54126/234267/234214/12404/19339/13191/77116/112405/58235/54725/23988/17999/20320/64085/270190/12217/235604/75409/19268/216831/14402/378937/18190/22346/17918/12286/56320/104069/66860/21983/219228/238205/18483/217480/140570/245450/233071/11785/210274/241638/216049/74143/18013/56013/70178/75608/243961/233489/20853/228880/13138/65945/50791/104418/230868/11603/231637/13048/217692/81907/216028/269788/104027/11845/231134/225875/23829/245446/272381/14432/226016/11840/12064/12569/13640/103172/108071/227580/192198/241568/18750/11538/216856/331461/21367/26416/211187/18212/12631/94245/12323/52398/56747/14811/18213/74342/26875/545156/211323/107932/192167/18191/240057/20743/11735/22142/70237/433485/76965/19122/93708/93706",233
"GO:0016358","GO:0016358","dendrite development","168/4775","294/23210",2.08761555121547e-43,6.43507493662169e-40,4.12798506627185e-40,"14025/235072/19353/21844/20869/19158/382056/17260/13690/52028/12540/11848/216963/19280/19211/17756/57138/12928/22629/270058/15182/14360/19164/20393/216344/66713/12808/13169/19878/18472/50932/13385/238276/94253/15387/54713/11843/26419/93688/18163/15529/13196/11838/60597/224105/74006/56637/11820/16443/11423/12322/22359/22215/108100/15452/16412/18186/29819/93691/70827/13838/53972/74117/14270/11352/329165/69601/14810/53872/17754/228550/16183/13175/19055/56376/19266/13131/15572/16975/56717/13542/13839/12704/73178/19242/52163/17258/70584/18479/16202/54633/50790/18481/13193/382253/245537/17257/60409/17999/26901/67095/270190/75409/19268/216831/93686/12286/56320/14824/18483/231380/211134/77480/224617/233071/54673/210274/241638/216049/74143/56013/66515/14745/243961/230234/217124/269397/227541/233489/242443/228880/68703/23969/13048/50772/217692/11845/11840/12064/12569/237868/20955/76108/216856/331461/17755/76454/218194/18212/17760/12631/606496/94245/12323/11308/381921/545156/228662/76089/211323/18223/192167/240057/53883/239985/70237/270120/64009",168
"GO:0031346","GO:0031346","positive regulation of cell projection organization","216/4775","466/23210",1.91122682581464e-36,3.69366129937144e-33,2.36941742463628e-33,"14025/11858/16400/235072/19353/109880/21844/99412/103742/20869/13544/382056/52513/23790/53869/26395/16001/13690/19385/11789/11951/76709/12540/15114/64297/56455/14567/20807/18643/17762/83431/319740/20266/54198/14360/19164/20393/52906/216344/66713/12808/260315/216739/68585/13169/14226/20403/16570/18015/18472/13385/14534/238276/15387/22418/18039/20356/18606/74006/56637/16443/68050/11423/240058/104215/11516/20983/22240/23789/22359/13728/101513/108100/15461/12877/16412/18186/29819/13838/20720/59041/74117/20980/11352/18845/14828/24136/69601/68112/14810/50884/53872/228550/20257/20779/20482/16183/20429/20713/19266/15572/16975/56717/13542/52822/12492/14086/19415/319974/73178/243743/19242/18844/52163/232944/18479/16202/54633/18481/13193/382253/245537/17257/234267/23965/71955/20312/69981/26901/67095/108686/72844/19268/17319/75769/71751/101314/56320/14824/216166/18483/20979/193385/77480/224617/260409/234593/140570/99982/11785/54673/116838/210274/18102/13627/74143/20361/12396/66515/14745/243961/269397/227541/233489/228880/107746/50791/320840/23969/71653/56699/116837/13803/11603/11881/13048/50772/73710/231225/12484/234776/11840/12064/13640/68169/11538/320563/20955/216856/331461/17755/76454/12805/18212/17760/12631/19762/12323/18213/53860/19229/11771/20315/545156/76089/211323/18223/223255/192167/12168/109905/244058/70237/54712/76965/18546",216
"GO:0006397","GO:0006397","mRNA processing","210/4775","448/23210",2.39653612286874e-36,3.69366129937144e-33,2.36941742463628e-33,"66618/66492/14007/67465/20641/67959/69131/54624/27886/66070/20815/53379/18747/13046/68183/11803/27756/16549/59013/68988/268859/67178/107951/70616/12455/15388/67996/67487/12261/53817/69878/67332/20222/13207/66874/192159/67684/75553/66354/20384/15387/68927/67288/70601/67302/219249/22380/105559/56335/56215/18458/13992/15499/68092/11820/13548/20658/54614/12457/59092/71702/68816/74157/72692/225027/66978/20630/108013/225160/27632/74320/28000/319322/22668/21681/12729/52897/192170/12877/81898/170771/214498/227707/20638/67337/19383/170791/70470/56758/229709/56417/74200/75137/210529/56195/53861/109331/74255/22608/20218/51796/71514/100336/57317/68991/13204/66899/108014/192196/66441/67755/60321/20901/22185/68981/19647/236732/19655/209416/54633/19652/108062/53610/22184/14300/78651/68219/69305/66660/76183/83486/22258/218543/93686/219158/66704/94230/20382/67678/66880/19826/231464/319586/269061/70312/16969/66094/328110/231386/68035/214627/19656/104721/66055/666794/60365/67148/231889/67229/51810/66801/103284/227682/225283/78372/230908/98758/268420/230753/22183/76522/69731/12696/15382/18795/23983/232314/66231/83410/54451/67040/432508/28035/18148/68011/229279/76936/15381/20817/20826/20637/230596/67471/68675/66077/107701/70248/224903/20383/21841/66585/109095/223642/66125/192160/233073/66177/20643/69269/20646",210
"GO:0010976","GO:0010976","positive regulation of neuron projection development","181/4775","362/23210",4.61602183768739e-36,5.69155492586855e-33,3.65103032509295e-33,"14025/11858/16400/19353/109880/21844/99412/20869/13544/382056/52513/53869/26395/16001/13690/19385/11951/15114/64297/14567/20807/17762/83431/319740/20266/54198/14360/19164/20393/52906/216344/66713/12808/216739/68585/13169/14226/20403/16570/18015/18472/13385/238276/15387/22418/18039/20356/74006/56637/16443/11423/240058/11516/20983/22240/22359/13728/101513/108100/12877/16412/18186/29819/13838/20720/59041/74117/20980/11352/18845/14828/24136/69601/53872/228550/20257/20482/16183/20429/20713/19266/15572/16975/56717/13542/52822/12492/19415/243743/19242/18844/52163/18479/16202/18481/13193/382253/245537/17257/23965/71955/20312/69981/26901/67095/19268/17319/75769/71751/56320/14824/216166/18483/20979/77480/224617/234593/140570/99982/11785/54673/116838/210274/18102/13627/74143/20361/12396/66515/14745/243961/269397/227541/233489/228880/107746/50791/320840/23969/71653/116837/13803/11881/13048/50772/73710/12484/11840/12064/13640/68169/11538/320563/20955/216856/331461/17755/76454/12805/18212/17760/12631/19762/12323/18213/19229/11771/20315/545156/76089/211323/18223/223255/192167/12168/109905/244058/70237/54712/76965/18546",181
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","141/4775","250/23210",9.45214716615622e-36,9.71208121322552e-33,6.23012577249981e-33,"21823/13002/20615/13642/109880/17274/20405/14809/12725/53869/53420/108124/15114/12387/20907/12048/20965/67826/216963/67979/19211/64383/102866/12298/19164/11540/11776/12330/432530/72194/22318/238276/94090/13488/19056/105782/11838/67474/74006/56637/11773/16443/104015/20983/12558/12322/54525/319924/68566/14169/19085/12890/20617/75734/20980/53330/20910/30931/20614/17957/18645/20404/72685/13858/15444/13542/18196/11938/11461/111173/22317/140919/11784/56216/13017/20977/54645/245537/19339/23821/17999/29873/12217/12889/19058/232227/12286/14824/104069/18717/71770/219228/20979/226407/229227/116838/22348/64051/68404/233489/242443/235415/65945/50791/23969/238988/56807/116837/26431/11845/18754/69017/243764/269994/26414/67300/12484/12569/18750/216856/18751/327814/27062/69727/94245/26875/224671/60510/11465/268934/192167/18191/20743/109905/229521/72961/18951/433485/18752/64009/231570",141
"GO:0045666","GO:0045666","positive regulation of neuron differentiation","212/4775","461/23210",3.66037111842044e-35,3.22374113500886e-32,2.06797207397077e-32,"14025/11858/16400/19353/109880/21844/99412/20869/13544/382056/67468/240843/52513/53869/26395/16001/17260/13690/19385/11951/15114/11848/64297/19130/104156/19211/14567/20807/21858/17762/83431/319740/20266/54198/14360/19164/20393/52906/216233/17172/216344/66713/12808/216739/68585/13169/14226/20403/17977/16570/18015/18472/70834/13385/15228/238276/15387/54713/22418/18039/20356/74006/56637/16443/11423/240058/21417/11516/20983/16210/22240/28000/22359/13728/101513/104318/108100/12877/16412/18186/29819/13838/20720/59041/74117/20980/11352/18845/14828/24136/69601/53872/228550/20257/20482/16183/20429/20713/16800/56710/19266/13131/15572/16975/56717/13542/52822/12492/19415/243743/19242/18844/52163/18479/16202/18481/13193/382253/245537/17257/23965/71955/20312/69981/26901/67095/19268/17319/75769/71751/56320/14824/245522/216166/18483/20979/77480/224617/234593/140570/99982/11785/54673/116838/210274/18102/13627/19401/74143/18013/20361/12396/66515/14745/243961/269397/227541/233489/228880/107746/50791/320840/23969/17965/71653/116837/13803/11881/320705/20466/13048/50772/73710/12484/11840/12064/13640/68169/11538/320563/20955/69807/216856/331461/17755/76454/21413/12805/18212/17760/12631/19762/12323/18213/19229/11771/20315/545156/76089/211323/18223/223255/20666/192167/12168/109905/244058/70237/266692/54712/76965/18546",212
"GO:0099173","GO:0099173","postsynapse organization","118/4775","194/23210",1.86916849200441e-34,1.4404279691509e-31,9.24008687429022e-32,"16400/235072/21844/29811/68942/16001/12540/26556/104156/19280/19211/109711/14360/66713/13169/19878/319504/18472/13385/77579/15387/11843/22418/18163/73340/11838/74006/56724/12558/20411/22215/108100/18164/236915/245684/18186/29819/13838/53972/74117/11352/329165/14810/53872/228550/14658/76742/56376/19266/16975/19744/67830/13542/13839/11461/19894/73178/19242/14812/80749/13043/18481/382253/245537/54126/234214/12404/77116/112405/54725/270190/19268/216831/18190/22346/56320/66860/217480/233071/210274/241638/216049/74143/56013/70178/75608/243961/228880/50791/104418/11603/231637/13048/217692/81907/269788/11845/225875/272381/14432/226016/11840/12569/192198/216856/331461/12631/94245/12323/14811/18213/74342/545156/192167/240057/20743/70237/19122",118
"GO:0048813","GO:0048813","dendrite morphogenesis","111/4775","178/23210",6.54047516592666e-34,4.48022548865976e-31,2.87398423372941e-31,"235072/19353/21844/20869/12540/19211/22629/14360/20393/216344/66713/13169/19878/18472/50932/13385/238276/94253/26419/18163/15529/11838/60597/74006/56637/11423/12322/22359/22215/108100/15452/16412/18186/29819/93691/70827/13838/53972/74117/11352/329165/14810/53872/228550/13175/19055/56376/19266/15572/16975/13542/13839/12704/73178/19242/17258/16202/54633/18481/13193/382253/245537/17999/26901/67095/270190/75409/19268/216831/93686/12286/56320/211134/77480/224617/233071/54673/210274/241638/216049/74143/56013/66515/243961/230234/269397/233489/68703/13048/217692/12569/237868/20955/76108/331461/76454/218194/17760/12631/94245/12323/11308/381921/545156/228662/76089/18223/192167/53883/70237/64009",111
"GO:0010769","GO:0010769","regulation of cell morphogenesis involved in differentiation","170/4775","343/23210",2.4724271533009e-33,1.52425134001e-30,9.77779875258049e-31,"14025/11858/19353/109880/21844/99412/20869/12317/23790/53869/26395/13690/11951/76709/19280/19211/17756/14567/20807/12928/17762/12261/83431/319740/22629/19164/20393/216344/66713/68585/13169/18472/238276/94253/54713/22418/12934/18040/18039/13829/20356/15529/18606/11838/14083/74006/56637/20440/11423/12558/13728/22215/108100/11302/18186/29819/70827/13838/53972/59041/74117/18845/329165/56177/24136/14810/53872/228550/20482/20429/20351/19055/56376/19266/13131/16975/52822/22241/12704/243743/18844/18479/16202/13043/14168/54633/18481/13193/382253/245537/71955/21838/17999/29873/26901/67095/67263/105689/23945/19268/216831/76499/71751/12286/56320/21375/211134/224617/140570/17136/233071/54673/241638/74143/20361/56013/66515/228994/269397/233489/22129/108911/71653/11603/20466/13048/217692/360213/65079/73710/272381/12064/12569/13640/18377/237868/241568/11538/320563/20955/76108/331461/17755/76454/21367/75770/60595/18212/17760/12631/108699/94245/12323/18213/20315/545156/76089/16413/211323/18223/192167/12168/240057/50918/244058/70237/211556/54712/76965/64009",170
