"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043209","GO:0043209","myelin sheath","54/933","213/23436",2.06676087632015e-28,1.26485765630793e-25,7.28805151123423e-26,"12858/11950/12313/12709/13807/21672/11966/12540/22190/18648/18738/17448/12315/17449/12330/22333/11429/56370/22143/57440/14873/11947/16412/227197/14645/11931/20910/20614/17957/269523/18762/14688/22223/11461/14086/11674/11739/14681/18746/18195/226180/13627/140559/17967/23969/232975/67300/22628/11964/12805/22153/11465/268373/22142",54
"GO:0150034","GO:0150034","distal axon","65/933","369/23436",2.74540338180775e-24,8.40093434833172e-22,4.84057964687156e-22,"12313/109552/13807/12725/11789/11951/76709/330814/11972/17756/21858/17762/12315/19052/18472/22627/16593/73340/51789/11820/14718/11302/19275/14645/56177/20614/18645/15572/140500/52822/11461/14086/109648/18479/20866/382253/234267/19339/50876/12424/12669/14225/76499/14800/66860/17967/23969/232975/26431/18619/16485/12569/18751/18212/12631/19229/74342/22152/11465/16531/229521/14415/18951/494448/93699",65
"GO:0098984","GO:0098984","neuron to neuron synapse","69/933","418/23436",5.10393860795611e-24,1.04120347602305e-21,5.99936643391332e-22,"26395/13690/12387/26556/330814/17756/17762/11540/19052/67252/52882/13829/22631/20273/13823/12322/12794/108100/19085/17754/13821/20404/18578/72685/12345/19744/18762/11518/11461/19277/11941/18479/18481/382253/54725/12669/216831/14800/18195/18717/66860/20979/211134/56013/75608/23969/104418/50849/217692/19290/76808/230863/18619/66259/14432/11840/12569/246317/64011/18212/18521/12323/77531/19229/26413/66673/240057/229521/19122",69
"GO:0014069","GO:0014069","postsynaptic density","65/933","390/23436",6.40874292257795e-23,9.80537667154426e-21,5.64981283964109e-21,"26395/13690/12387/26556/330814/17756/17762/11540/19052/67252/52882/13829/22631/20273/13823/12322/12794/108100/17754/13821/18578/72685/12345/19744/18762/11518/11461/19277/11941/18479/18481/382253/54725/12669/216831/14800/18195/18717/66860/211134/56013/75608/23969/104418/50849/217692/19290/76808/230863/66259/14432/11840/12569/246317/64011/18212/18521/12323/77531/19229/26413/66673/240057/229521/19122",65
"GO:0032279","GO:0032279","asymmetric synapse","65/933","393/23436",9.86119266500161e-23,1.2070099821962e-20,6.95473587952745e-21,"26395/13690/12387/26556/330814/17756/17762/11540/19052/67252/52882/13829/22631/20273/13823/12322/12794/108100/17754/13821/18578/72685/12345/19744/18762/11518/11461/19277/11941/18479/18481/382253/54725/12669/216831/14800/18195/18717/66860/211134/56013/75608/23969/104418/50849/217692/19290/76808/230863/66259/14432/11840/12569/246317/64011/18212/18521/12323/77531/19229/26413/66673/240057/229521/19122",65
"GO:0099572","GO:0099572","postsynaptic specialization","67/933","429/23436",5.65100453158621e-22,5.76402462221794e-20,3.32120441768663e-20,"19158/26395/13690/12387/26556/330814/17756/17762/11540/19052/67252/52882/13829/22631/20273/13823/12322/12794/108100/17754/13821/18578/72685/12345/19744/18762/11518/11461/19277/11941/18479/18481/382253/54725/12669/216831/14800/18195/18717/66860/211134/56013/75608/23969/104418/50849/217692/19290/76808/230863/66259/14432/11840/12569/246317/64011/18212/18521/12323/77531/19229/74342/26413/66673/240057/229521/19122",67
"GO:0044309","GO:0044309","neuron spine","41/933","192/23436",6.7135708044428e-19,5.86957904616999e-17,3.38202439020803e-17,"20370/19088/109552/19047/18747/76709/12540/26556/12330/11418/217166/52882/54393/12322/110355/12794/108100/16412/329165/19055/18578/12345/15444/11518/19277/97387/11784/17999/216831/14800/211134/232975/217692/12569/64011/18212/12631/19229/19049/229521/64009",41
"GO:0043197","GO:0043197","dendritic spine","40/933","186/23436",1.3801443891398e-18,1.05581045769195e-16,6.08353118897149e-17,"20370/19088/109552/19047/18747/76709/12540/12330/11418/217166/52882/54393/12322/110355/12794/108100/16412/329165/19055/18578/12345/15444/11518/19277/97387/11784/17999/216831/14800/211134/232975/217692/12569/64011/18212/12631/19229/19049/229521/64009",40
"GO:0045211","GO:0045211","postsynaptic membrane","54/933","370/23436",1.30629856879747e-16,8.88283026782282e-15,5.11824585435267e-15,"19158/22342/12725/12387/26556/67979/260297/11540/12330/50932/52882/72393/20273/224938/54393/12322/12794/16412/14658/18196/14400/19277/11941/107528/54725/29873/12669/14800/66860/269060/211134/56013/17967/208922/13138/23969/72296/50849/217692/230863/66259/16485/11840/246317/16500/64011/12805/18212/77531/18213/74342/16531/66673/64009",54
"GO:0030426","GO:0030426","growth cone","38/933","203/23436",1.30795825721786e-15,8.0047045341733e-14,4.61227385439982e-14,"12313/13807/11789/76709/330814/17756/21858/17762/12315/18472/22627/16593/73340/51789/11820/11302/56177/20614/15572/140500/52822/14086/18479/20866/382253/234267/50876/76499/14800/17967/12569/18212/12631/19229/74342/22152/494448/93699",38
"GO:0030427","GO:0030427","site of polarized growth","38/933","208/23436",2.99759562312571e-15,1.66775320122994e-13,9.60951706935038e-14,"12313/13807/11789/76709/330814/17756/21858/17762/12315/18472/22627/16593/73340/51789/11820/11302/56177/20614/15572/140500/52822/14086/18479/20866/382253/234267/50876/76499/14800/17967/12569/18212/12631/19229/74342/22152/494448/93699",38
"GO:0030133","GO:0030133","transport vesicle","48/933","324/23436",3.67106965065764e-15,1.8722455218354e-13,1.07877923944764e-13,"13002/12313/20527/12725/11972/56398/12315/22333/19325/94090/20972/11820/66237/54393/20980/58244/68365/80976/20614/14683/20404/18578/67898/100226/67397/11784/19346/19259/19339/54725/245860/14800/20979/64051/56807/18619/67300/59021/74325/216549/64011/72003/15893/20661/229521/18951/19326/19349",48
