"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098984","GO:0098984","neuron to neuron synapse","244/4843","418/23436",8.83315685556676e-65,6.54536922997497e-62,2.73362959530171e-62,"56149/14025/53310/13642/53623/21844/17274/20405/224997/14809/382056/108069/20848/12034/68942/26395/81489/13690/17978/12387/20907/26556/232370/20965/110279/67826/330814/19280/17756/50997/109934/17762/14816/14360/20503/66713/11540/20742/19052/380684/14399/432530/68585/13169/68097/14799/319504/18015/13385/238276/67252/15387/52882/12325/18040/13829/18163/30945/22631/11514/72555/105782/11838/60597/13383/224105/56637/16646/20273/18607/56724/20662/12558/105853/12322/12794/12565/108100/12877/236915/245684/26557/19085/14802/13838/14270/14810/227937/17754/84092/16592/13821/20779/14359/13175/16800/76742/12307/56376/19266/20404/13131/18578/72685/14664/16975/11426/12345/16498/19744/18762/13542/11518/22784/18125/11461/19988/11519/111173/14812/19277/52163/11941/80749/18479/20977/18481/382253/234214/77116/112405/58235/54725/23821/56440/64085/17758/12217/12669/109676/11928/19268/216831/14800/12388/18195/232227/56320/18717/66860/238205/18483/20979/18391/211134/74513/73728/210274/241638/56013/70178/75608/243961/18673/217124/432442/233489/242443/65945/50791/23969/104418/11496/238988/14803/330914/116837/50849/11539/217692/81907/216028/19290/229791/225875/76808/230863/56258/18619/269994/66259/26414/272381/217125/14432/226016/11840/70772/12569/108071/192198/246317/241568/12288/20955/51791/331461/23859/17755/64011/81905/77097/71994/18212/18521/94245/14433/12323/52398/77531/11308/14811/229279/19229/26875/545156/60510/26413/66673/192167/54376/11837/12168/240057/229521/65019/14704/99371/433485/76965/12176/18752/19122/320119",244
"GO:0099572","GO:0099572","postsynaptic specialization","241/4843","429/23436",1.35314707624221e-59,5.01340991747737e-57,2.09381705481689e-57,"56149/14395/14025/53310/13642/53623/21844/17274/20405/19158/224997/14809/382056/108069/20848/12034/68942/26395/81489/13690/17978/12387/20907/26556/232370/20965/110279/67826/14394/330814/19280/17756/50997/109934/17762/14816/14360/20503/66713/11540/20742/19052/380684/14399/432530/68585/13169/68097/14799/319504/18015/13385/238276/67252/15387/52882/12325/18040/13829/18163/22631/11514/72555/105782/11838/60597/13383/224105/56637/16646/20273/18607/56724/20662/12558/12322/12794/108100/12877/236915/245684/26557/14802/13838/14270/14810/227937/17754/84092/16592/13821/20779/14359/13175/16800/76742/56376/13131/18578/72685/14664/16975/11426/12345/16498/19744/18762/13542/11518/14397/18125/11461/19988/11519/111173/14812/19277/52163/11941/80749/18479/20977/18481/382253/245537/14396/234214/77116/112405/54725/56440/64085/17758/12217/12669/109676/11928/19268/216831/14402/14800/12388/18195/232227/56320/18717/66860/238205/18483/18391/211134/74513/73728/210274/241638/56013/70178/75608/243961/18673/217124/233489/242443/65945/50791/23969/104418/11496/238988/56543/14803/330914/116837/50849/11539/217692/81907/216028/19290/229791/225875/76808/230863/56258/269994/66259/26414/272381/217125/14432/226016/11840/70772/12569/108071/192198/246317/241568/12288/216856/51791/331461/23859/17755/64011/81905/77097/71994/110886/18212/18521/94245/14433/12323/52398/77531/11308/14811/229279/19229/53324/74342/26875/228836/545156/26413/66673/192167/54376/11837/12168/240057/229521/65019/14704/433485/76965/12176/18752/19122/320119",241
"GO:0014069","GO:0014069","postsynaptic density","226/4843","390/23436",3.08515272605722e-59,7.10582193237198e-57,2.9676989106007e-57,"56149/14025/53310/13642/53623/21844/17274/20405/224997/14809/382056/108069/20848/12034/68942/26395/81489/13690/17978/12387/20907/26556/232370/20965/110279/67826/330814/19280/17756/50997/109934/17762/14816/14360/20503/66713/11540/20742/19052/380684/432530/68585/13169/68097/14799/319504/18015/13385/238276/67252/15387/52882/12325/18040/13829/18163/22631/11514/72555/105782/11838/60597/13383/224105/56637/16646/20273/18607/56724/20662/12558/12322/12794/108100/12877/236915/245684/26557/14802/13838/14270/14810/227937/17754/84092/16592/13821/20779/14359/13175/16800/76742/56376/13131/18578/72685/14664/16975/11426/12345/16498/19744/18762/13542/11518/18125/11461/19988/11519/111173/14812/19277/52163/11941/80749/18479/20977/18481/382253/234214/77116/112405/54725/56440/64085/17758/12217/12669/109676/11928/19268/216831/14800/12388/18195/232227/56320/18717/66860/238205/18483/18391/211134/74513/73728/210274/241638/56013/70178/75608/243961/18673/217124/233489/242443/65945/50791/23969/104418/11496/238988/14803/330914/116837/50849/11539/217692/81907/216028/19290/229791/225875/76808/230863/56258/269994/66259/26414/272381/217125/14432/226016/11840/70772/12569/108071/192198/246317/241568/12288/51791/331461/23859/17755/64011/81905/77097/71994/18212/18521/94245/14433/12323/77531/11308/14811/229279/19229/26875/545156/26413/66673/192167/54376/11837/12168/240057/229521/65019/14704/433485/76965/12176/18752/19122/320119",226
"GO:0032279","GO:0032279","asymmetric synapse","227/4843","393/23436",3.83580131302131e-59,7.10582193237198e-57,2.9676989106007e-57,"56149/14025/53310/13642/53623/21844/17274/20405/224997/14809/382056/108069/20848/12034/68942/26395/81489/13690/17978/12387/20907/26556/232370/20965/110279/67826/330814/19280/17756/50997/109934/17762/14816/14360/20503/66713/11540/20742/19052/380684/432530/68585/13169/68097/14799/319504/18015/13385/238276/67252/15387/52882/12325/18040/13829/18163/22631/11514/72555/105782/11838/60597/13383/224105/56637/16646/20273/18607/56724/20662/12558/12322/12794/108100/12877/236915/245684/26557/14802/13838/14270/14810/227937/17754/84092/16592/13821/20779/14359/13175/16800/76742/56376/13131/18578/72685/14664/16975/11426/12345/16498/19744/18762/13542/11518/18125/11461/19988/11519/111173/14812/19277/52163/11941/80749/18479/20977/18481/382253/234214/77116/112405/54725/56440/64085/17758/12217/12669/109676/11928/19268/216831/14800/12388/18195/232227/56320/18717/66860/238205/18483/18391/211134/74513/73728/210274/241638/56013/70178/75608/243961/18673/217124/233489/242443/65945/50791/23969/104418/11496/238988/14803/330914/116837/50849/11539/217692/81907/216028/19290/229791/225875/76808/230863/56258/269994/66259/26414/272381/217125/14432/226016/11840/70772/12569/108071/192198/246317/241568/12288/51791/331461/23859/17755/64011/81905/77097/71994/18212/18521/94245/14433/12323/77531/11308/14811/229279/19229/26875/545156/26413/66673/192167/54376/11837/12168/240057/229521/65019/14704/99371/433485/76965/12176/18752/19122/320119",227
"GO:0150034","GO:0150034","distal axon","205/4843","369/23436",9.79128790094135e-50,1.45106886691951e-47,6.06029187974054e-48,"21823/53310/12313/16400/235072/53623/21844/109552/14809/13807/12725/11769/56513/11789/11951/76709/16573/15114/67771/216963/330814/11972/17756/21858/17762/83431/319740/12315/13982/19164/12808/11776/19052/68585/16570/18472/53413/22627/77579/243931/16593/13488/15387/15165/12759/12934/18039/73340/27373/51789/56637/11820/16443/26404/20975/15516/11516/22240/54525/20589/14718/11302/69654/12877/18186/93742/12890/20617/14802/70827/19275/13838/14645/16574/56177/30931/14810/19099/76161/20614/20257/11747/18645/99738/59069/15168/56195/12307/15572/16498/67808/140500/13542/52822/18125/56378/11461/14086/319974/109648/14812/14228/71960/18479/16202/20866/22284/13043/14168/20977/13193/382253/67043/54126/234267/23802/19339/18667/21838/58235/50876/19417/12424/67095/12669/269473/23980/14225/19268/76499/12889/14402/14800/12388/207777/12402/170835/56320/104069/66860/100503659/268345/12314/11785/210274/16526/22348/16494/230234/231876/217124/17967/235415/269717/23969/238988/232975/71653/26431/11603/231637/11539/65079/69017/18619/66849/16485/12064/12569/22360/56526/18750/17755/18751/75770/18212/211712/12631/269774/94245/16502/14811/433182/19229/22253/381921/53324/74342/19941/26875/22152/16504/11465/16531/268934/338355/229521/14415/18951/16572/18752/56461/494448/12570/93699",205
"GO:0043209","GO:0043209","myelin sheath","138/4843","213/23436",1.96589411639009e-44,2.42787923374176e-42,1.01398749161173e-42,"12858/235339/12716/11950/12313/12709/12462/11677/235072/13807/78920/22388/21672/108124/11966/12540/12799/20656/98660/22190/20965/18648/19211/64383/14567/11740/13628/18738/17448/12315/22187/17449/12330/380684/22333/68585/18952/56217/72948/66945/218442/22334/12934/18040/18039/20916/11429/105782/56370/13383/28080/20655/22143/57440/108123/20867/11757/14873/54130/11947/11946/11949/16412/93742/227197/15510/67273/269116/14645/11931/20910/14828/78830/14827/20614/17957/12349/269523/18477/18762/14688/22223/11461/14086/14693/16832/11674/71960/67003/18597/11739/14719/14681/21838/14697/67834/18746/23980/11928/17319/12461/18195/226180/12314/17136/18102/13627/140559/66694/18673/17967/23969/232975/17196/12861/118454/11845/380686/67300/18377/18795/22628/76614/11964/21367/12805/14433/20740/14862/12859/18674/22153/11465/13063/109905/268373/22142/22186",138
"GO:0030133","GO:0030133","transport vesicle","177/4843","324/23436",1.01253661574022e-41,1.071842331805e-39,4.47647766958834e-40,"21823/14395/19344/13002/20615/12313/11772/17274/20527/12725/53869/11769/52551/53420/20974/20907/12048/22335/20965/67826/19165/11972/19280/56398/16560/22365/226548/83431/19345/11975/12315/19341/94221/19164/53331/66397/22333/18952/14799/19027/16570/19325/13385/22318/56494/94090/53612/58520/18570/107767/67295/22334/20972/74006/11820/16004/20983/66237/54393/105853/22240/54525/319924/53611/84095/20617/75734/72160/13167/20980/240756/58244/53330/14417/30931/68365/14810/80976/20614/70612/228960/14683/11747/229706/99738/12757/20404/18578/14664/19063/67898/100226/67808/22784/56041/77407/101118/19894/67397/111173/14812/140919/11784/18550/19346/56216/18555/20977/16783/11765/19339/77116/54725/23821/60409/74766/208117/27965/235574/12217/108686/23980/245860/213469/14800/17918/217030/26891/20979/12314/54673/217887/11980/22348/64051/432442/233489/235415/20927/56807/67774/69017/18619/67300/59021/74325/17357/12064/22360/216549/56526/75209/20955/64176/19342/64011/72003/22134/94245/232946/67511/14811/228777/26875/60510/15893/20743/20661/229521/72961/28064/18951/211556/19326/19349/231570/56214",177
"GO:0045211","GO:0045211","postsynaptic membrane","190/4843","370/23436",1.3128430163946e-39,1.2160208439355e-37,5.0786295634212e-38,"12846/14395/53310/13642/53623/21844/19158/224997/14809/22342/108069/12725/12387/26556/232370/110279/14394/19280/67979/19211/260297/50997/11640/14816/94221/20503/11540/12330/14399/432530/68585/13169/14799/319504/50932/13385/13488/52882/118452/11514/72555/105782/11838/13383/72393/20273/108068/14409/11423/224938/58226/12558/54393/12322/12794/66082/12565/12877/236915/245684/16412/18186/26557/14802/13838/14270/72978/24012/14810/16592/99738/14658/99633/56376/14664/18196/14397/14400/19894/21366/14812/19277/11941/110891/234353/80749/107528/245537/14396/67043/11733/12404/54725/60409/64085/29873/12669/109676/19268/14402/14800/56320/245522/66860/13854/219228/238205/268345/269060/18391/211134/245450/11785/210274/241638/56013/70178/243961/231871/233489/17967/242443/242425/13138/65945/50791/12293/23969/11496/56543/230868/14803/72296/330914/50849/11539/217692/81907/216028/269788/104027/16520/229791/225875/69017/230863/243764/269994/66259/233210/272381/226016/16485/11840/108071/192198/246317/16500/241568/12288/383348/216856/51791/331461/23859/21367/64011/81905/20541/12805/110886/18212/94245/77531/11308/16502/14811/18213/53324/74342/16504/16531/66673/192167/54376/11735/433485/76965/110893/64009",190
"GO:0008021","GO:0008021","synaptic vesicle","137/4843","227/23436",4.95566564124722e-39,4.08016471129355e-37,1.70405344856922e-37,"21823/14395/19344/13002/20615/12313/11772/17274/20527/12725/52551/53420/20974/20907/12048/22335/20965/67826/19165/11972/19280/16560/22365/226548/83431/19345/11975/12315/19341/19164/53331/22333/18952/14799/19027/16570/19325/13385/22318/94090/53612/107767/67295/22334/20972/74006/11820/66237/54393/105853/54525/319924/53611/84095/20617/75734/72160/13167/20980/58244/53330/14417/30931/68365/14810/20614/70612/228960/11747/229706/99738/12757/20404/18578/14664/19063/100226/67808/22784/77407/19894/111173/14812/140919/11784/56216/18555/20977/16783/19339/77116/54725/23821/60409/12217/23980/245860/213469/14800/17918/26891/20979/12314/54673/11980/22348/64051/233489/235415/20927/56807/67774/69017/18619/67300/59021/74325/17357/12064/56526/75209/20955/64176/19342/72003/94245/67511/14811/60510/15893/20743/229521/72961/18951/19326/19349/231570",137
"GO:0030427","GO:0030427","site of polarized growth","129/4843","208/23436",1.2888611682946e-38,8.75404484354516e-37,3.65606816393533e-37,"53310/12313/16400/21844/13807/56513/11789/76709/16573/15114/67771/330814/17756/21858/17762/83431/319740/12315/19164/12808/68585/13169/16570/18472/53413/22627/77579/243931/16593/12759/12934/18039/73340/27373/51789/56637/11820/26404/15516/22240/20589/84095/11302/69654/12877/18186/93742/20617/70827/13838/16574/56177/30931/14810/19099/76161/20614/20257/59069/56195/15572/140500/13542/52822/56378/14086/319974/14228/71960/18479/20866/22284/13043/14168/13193/382253/67043/54126/234267/23802/21838/58235/50876/19417/67095/269473/19268/76499/14800/12388/12402/170835/56320/104069/100503659/12314/11785/210274/230234/231876/217124/17967/269717/238988/71653/11603/231637/65079/66849/12569/22360/17755/18212/211712/12631/94245/433182/19229/22253/381921/53324/74342/26875/22152/338355/16572/494448/12570/93699",129
