"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0014069","GO:0014069","postsynaptic density","8/36","390/23436",1.1022642683077e-07,1.18609346490063e-05,7.56314658792914e-06,"12387/14359/18053/18578/20907/216169/224997/229279",8
"GO:0032279","GO:0032279","asymmetric synapse","8/36","393/23436",1.16883285961385e-07,1.18609346490063e-05,7.56314658792914e-06,"12387/14359/18053/18578/20907/216169/224997/229279",8
"GO:0098984","GO:0098984","neuron to neuron synapse","8/36","418/23436",1.87172663534111e-07,1.18609346490063e-05,7.56314658792914e-06,"12387/14359/18053/18578/20907/216169/224997/229279",8
"GO:0099572","GO:0099572","postsynaptic specialization","8/36","429/23436",2.28094897096276e-07,1.18609346490063e-05,7.56314658792914e-06,"12387/14359/18053/18578/20907/216169/224997/229279",8
"GO:0045121","GO:0045121","membrane raft","6/36","364/23436",1.7700870820598e-05,0.000623197889368924,0.000397383269536865,"12387/12390/14683/18053/18747/22154",6
"GO:0098857","GO:0098857","membrane microdomain","6/36","365/23436",1.79768621933344e-05,0.000623197889368924,0.000397383269536865,"12387/12390/14683/18053/18747/22154",6
"GO:0098589","GO:0098589","membrane region","6/36","377/23436",2.15689112884614e-05,0.000640904792571426,0.00040867410862348,"12387/12390/14683/18053/18747/22154",6
"GO:0005952","GO:0005952","cAMP-dependent protein kinase complex","2/36","11/23436",0.000125084542135735,0.00300092859218781,0.00191354758408737,"18747/18749",2
"GO:0030133","GO:0030133","transport vesicle","5/36","324/23436",0.000129847871777357,0.00300092859218781,0.00191354758408737,"12390/14683/18578/20907/56398",5
"GO:0031252","GO:0031252","cell leading edge","5/36","380/23436",0.000272120936891428,0.00547314620725565,0.00348996165037557,"12387/14683/18053/269774/56378",5
"GO:0035770","GO:0035770","ribonucleoprotein granule","4/36","209/23436",0.000289445232114482,0.00547314620725565,0.00348996165037557,"13205/14359/22154/229279",4
"GO:0005635","GO:0005635","nuclear envelope","5/36","407/23436",0.000372932287283871,0.00646415964625377,0.00412188317524279,"12387/12390/18053/20907/22154",5
"GO:0044853","GO:0044853","plasma membrane raft","3/36","123/23436",0.000887570381713362,0.0142011261074138,0.00905537393488936,"12387/12390/18747",3
"GO:0001669","GO:0001669","acrosomal vesicle","3/36","127/23436",0.000973664768418588,0.0143838237561975,0.00917187142348626,"12390/18747/20907",3
"GO:0099092","GO:0099092","postsynaptic density, intracellular component","2/36","31/23436",0.00103729498241809,0.0143838237561975,0.00917187142348626,"12387/224997",2
"GO:0097546","GO:0097546","ciliary base","2/36","35/23436",0.00132217755154683,0.0171883081701088,0.0109601560194014,"18747/18749",2
"GO:0099091","GO:0099091","postsynaptic specialization, intracellular component","2/36","37/23436",0.00147709699670164,0.0180727161949377,0.0115241004077032,"12387/224997",2
"GO:0031201","GO:0031201","SNARE complex","2/36","49/23436",0.00257820317741075,0.0297925700500798,0.018997286570395,"20907/56418",2
"GO:0019897","GO:0019897","extrinsic component of plasma membrane","3/36","186/23436",0.00289673691526963,0.0301260639188042,0.019209939543367,"12387/12390/14683",3
"GO:0043197","GO:0043197","dendritic spine","3/36","186/23436",0.00289673691526963,0.0301260639188042,0.019209939543367,"14359/18578/18747",3
"GO:0044309","GO:0044309","neuron spine","3/36","192/23436",0.00316782306898529,0.0313765332547114,0.0200073035935913,"14359/18578/18747",3
"GO:0036464","GO:0036464","cytoplasmic ribonucleoprotein granule","3/36","198/23436",0.00345403754681959,0.0324902499708596,0.0207174670866817,"13205/14359/22154",3
"GO:0045171","GO:0045171","intercellular bridge","2/36","58/23436",0.00359267187177774,0.0324902499708596,0.0207174670866817,"18747/18749",2
"GO:0030016","GO:0030016","myofibril","3/36","212/23436",0.00418217782327878,0.0362455411350827,0.0231120353391722,"12387/14359/18578",3
"GO:0043292","GO:0043292","contractile fiber","3/36","226/23436",0.00499727157316858,0.0415772994887626,0.026511840767126,"12387/14359/18578",3
"GO:0031965","GO:0031965","nuclear membrane","3/36","233/23436",0.0054383334677353,0.0435066677418824,0.0277421059487712,"12387/12390/20907",3
"GO:0031970","GO:0031970","organelle envelope lumen","2/36","88/23436",0.00808330088840992,0.0622713549921949,0.0397074429606101,"22154/68015",2
"GO:0048786","GO:0048786","presynaptic active zone","2/36","92/23436",0.00880538375022969,0.0654114221445634,0.041709712501088,"12387/20907",2
"GO:0005901","GO:0005901","caveola","2/36","94/23436",0.00917690482838185,0.0658205587690836,0.0419705992151039,"12387/12390",2
"GO:0031234","GO:0031234","extrinsic component of cytoplasmic side of plasma membrane","2/36","98/23436",0.00994068742467359,0.0689220994777369,0.0439483022985569,"12390/14683",2
"GO:0019898","GO:0019898","extrinsic component of membrane","3/36","314/23436",0.0122705911245179,0.0823317081903136,0.0524989637245927,"12387/12390/14683",3
"GO:0030877","GO:0030877","beta-catenin destruction complex","1/36","10/23436",0.0152581447273218,0.0982653786742109,0.0626590977376041,"12387",1
"GO:0005885","GO:0005885","Arp2/3 protein complex","1/36","11/23436",0.0167714507458401,0.0982653786742109,0.0626590977376041,"56378",1
"GO:1990907","GO:1990907","beta-catenin-TCF complex","1/36","11/23436",0.0167714507458401,0.0982653786742109,0.0626590977376041,"12387",1
"GO:1990909","GO:1990909","Wnt signalosome","1/36","11/23436",0.0167714507458401,0.0982653786742109,0.0626590977376041,"12387",1
"GO:0030018","GO:0030018","Z disc","2/36","130/23436",0.0170074693859211,0.0982653786742109,0.0626590977376041,"12387/18578",2
"GO:0045211","GO:0045211","postsynaptic membrane","3/36","370/23436",0.0189656589784065,0.0994137739344576,0.0633913740675185,"12387/216169/224997",3
"GO:0005641","GO:0005641","nuclear envelope lumen","1/36","13/23436",0.0197912828361505,0.0994137739344576,0.0633913740675185,"22154",1
"GO:0005916","GO:0005916","fascia adherens","1/36","13/23436",0.0197912828361505,0.0994137739344576,0.0633913740675185,"12387",1
"GO:1990124","GO:1990124","messenger ribonucleoprotein complex","1/36","13/23436",0.0197912828361505,0.0994137739344576,0.0633913740675185,"229279",1
"GO:0055037","GO:0055037","recycling endosome","2/36","141/23436",0.0198101206510044,0.0994137739344576,0.0633913740675185,"14683/216169",2
"GO:0031674","GO:0031674","I band","2/36","142/23436",0.0200739351213809,0.0994137739344576,0.0633913740675185,"12387/18578",2
"GO:0030141","GO:0030141","secretory granule","3/36","383/23436",0.0207589303645317,0.100415291065642,0.0640299932908443,"12390/18747/20907",3
"GO:0031588","GO:0031588","nucleotide-activated protein kinase complex","1/36","14/23436",0.0212978154672354,0.100680582208749,0.0641991566715709,"18747",1
"GO:0005852","GO:0005852","eukaryotic translation initiation factor 3 complex","1/36","15/23436",0.0228020968541011,0.103105133601153,0.0657451762841358,"13205",1
"GO:0098845","GO:0098845","postsynaptic endosome","1/36","15/23436",0.0228020968541011,0.103105133601153,0.0657451762841358,"216169",1
"GO:0030479","GO:0030479","actin cortical patch","1/36","16/23436",0.0243041302648548,0.105082969342303,0.0670063468478251,"12343",1
"GO:0061645","GO:0061645","endocytic patch","1/36","16/23436",0.0243041302648548,0.105082969342303,0.0670063468478251,"12343",1
"GO:0009898","GO:0009898","cytoplasmic side of plasma membrane","2/36","163/23436",0.025949184417834,0.105082969342303,0.0670063468478251,"12390/14683",2
