"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05012","mmu05012","Parkinson disease","48/426","233/8384",2.20151807098257e-17,6.05417469520208e-15,3.68464603459189e-15,"12858/11950/12313/22154/22201/18749/18747/11951/21762/22190/19166/69077/17762/228033/12315/11540/22333/67128/26443/16593/26419/224129/22143/14680/12322/67264/11947/227197/66495/22145/68375/59029/14683/22223/17992/23996/11739/12868/110323/22195/12323/22151/22152/22153/67942/26442/18951/22142",48
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases","65/426","457/8384",1.15707871237967e-14,1.59098322952205e-12,9.68292185622988e-13,"12858/11950/12313/22154/22201/26400/26395/11789/11951/12387/21762/22190/19166/18412/69077/17762/56486/228033/12315/19324/22333/67128/26443/16593/26419/11820/22143/93687/12322/67264/11947/227197/66495/22145/68375/59029/51897/19055/269523/22223/11938/17992/57436/23996/11739/13191/233871/12669/19058/14800/12868/110323/22195/12569/18751/12323/22151/22152/22153/67942/26413/26442/18951/22142/19122",65
"mmu05010","mmu05010","Alzheimer disease","49/426","353/8384",7.40857726890509e-11,6.79119582982967e-09,4.13320626581021e-09,"12858/11950/12313/22154/26400/26395/11789/11951/12387/21762/19166/69077/17762/228033/12315/22333/26443/16593/26419/11820/22143/93687/20168/67264/11947/227197/66495/22145/68375/59029/51897/19055/11938/17992/23996/11739/12669/19058/12868/110323/66340/12569/22151/22152/22153/67942/26413/26442/22142",49
"mmu05020","mmu05020","Prion disease","39/426","254/8384",3.75966995408276e-10,2.5847730934319e-08,1.57312505973463e-08,"12858/11950/22154/18749/18747/11951/21762/19166/69077/228033/22333/26443/16593/26419/22143/67264/11947/227197/66495/22145/68375/59029/11909/19055/17992/23996/11739/19058/12868/110323/17967/22151/22152/22153/67942/26413/26442/22142/19122",39
"mmu04728","mmu04728","Dopaminergic synapse","26/426","133/8384",2.06312870794582e-09,1.11692223023057e-07,6.79772764044631e-08,"12313/19047/434233/18749/18747/51792/12315/19052/14706/26419/71978/224129/72930/14680/12322/68566/11909/14683/19055/14688/14681/14800/14708/18751/12323/19049",26
"mmu05014","mmu05014","Amyotrophic lateral sclerosis","46/426","353/8384",2.43692122959396e-09,1.11692223023057e-07,6.79772764044631e-08,"12858/11950/22154/11951/21762/19166/18412/69077/56486/228033/74412/19324/22333/26443/16593/22143/67264/11947/227197/66495/22145/68375/59029/51897/18645/19055/269523/11461/17992/57436/23996/13191/233871/19058/14800/12868/110323/17184/103172/22151/22152/22153/67942/11465/26442/22142",46
"mmu04114","mmu04114","Oocyte meiosis","24/426","119/8384",4.54528965405374e-09,1.78564950694968e-07,1.08676850375119e-07,"12313/19047/434233/26395/18749/18747/51792/54401/22629/12315/103583/19052/22627/22631/56438/224129/12322/19055/19058/208922/22628/12323/26413/22630",24
"mmu04921","mmu04921","Oxytocin signaling pathway","27/426","153/8384",1.04115154991086e-08,3.29519382014641e-07,2.00549595178289e-07,"12313/19047/434233/26395/18749/18747/17260/215303/12298/12315/19878/12295/224129/12575/12322/14683/19055/207565/11461/14681/60596/19058/18751/12323/11465/26413/17904",27
"mmu05132","mmu05132","Salmonella infection","36/426","250/8384",1.07842706841155e-08,3.29519382014641e-07,2.00549595178289e-07,"22154/26400/19158/26395/76709/12540/12387/140579/22027/19878/16593/26419/22143/22145/68724/13427/18645/11461/56443/13426/18479/67117/18481/13191/26398/140580/11840/11852/242894/22151/22152/22153/11465/26413/22142/19349",36
"mmu00190","mmu00190","Oxidative phosphorylation","23/426","120/8384",2.65009364132576e-08,7.2128779389448e-07,4.38984724322382e-07,"12858/11950/11951/11966/11972/228033/11973/67895/73834/66237/67264/11947/227197/66495/68375/17992/108664/12868/110323/66290/76252/11964/67942",23
"mmu04261","mmu04261","Adrenergic signaling in cardiomyocytes","26/426","150/8384",2.88515117557792e-08,7.2128779389448e-07,4.38984724322382e-07,"12313/19047/434233/18749/18747/51792/12298/20266/12315/67972/19052/12295/71978/224129/72930/12322/11931/11909/14683/11938/11941/22003/232975/399548/12323/26413",26
"mmu05016","mmu05016","Huntington disease","38/426","288/8384",4.68015004487814e-08,1.07253438528457e-06,6.52757769417214e-07,"12858/11950/22154/26400/11951/21762/19166/69077/228033/22333/26443/16593/26419/22143/67264/11947/227197/66495/22145/68375/59029/51897/17992/23996/11739/13191/14800/12868/110323/67300/74325/22151/22152/22153/67942/26442/67710/22142",38
"mmu04144","mmu04144","Endocytosis","35/426","264/8384",1.44718251721741e-07,3.06134763257529e-06,1.86317425293577e-06,"19158/76709/12540/54198/11844/19325/213990/57440/28006/83814/110355/18720/76959/20404/72685/12345/140500/18762/56443/116733/17999/18717/215445/75608/26431/67300/74325/11840/11842/66700/242894/19326/19349/330319/66914",35
"mmu05031","mmu05031","Amphetamine addiction","16/426","69/8384",2.37058601422831e-07,4.65650824223417e-06,2.83400884407745e-06,"12313/19047/434233/18749/18747/12315/224129/12322/11909/14683/19055/19058/14800/18751/12323/19049",16
"mmu04120","mmu04120","Ubiquitin mediated proteolysis","23/426","143/8384",7.39166130771534e-07,1.35513790641448e-05,8.24753788018764e-06,"22201/22190/22196/216080/103583/67128/56438/83814/74126/22215/22193/17999/67455/22195/22214/56424/70093/69807/56459/93765/66105/67923/56550",23
"mmu05135","mmu05135","Yersinia infection","22/426","134/8384",9.00506102255161e-07,1.54102827164826e-05,9.37888976811764e-06,"26400/26395/76709/12540/140579/19878/26419/12504/108100/16412/18720/11461/56443/26398/18717/140580/26431/242894/19229/11465/26413/330319",22
"mmu04540","mmu04540","Gap junction","17/426","85/8384",9.52635658837106e-07,1.54102827164826e-05,9.37888976811764e-06,"22154/26395/18749/18747/224129/22143/22145/14683/60596/15560/18751/22151/14784/22152/22153/26413/22142",17
"mmu04024","mmu04024","cAMP signaling pathway","29/426","213/8384",1.01087420373756e-06,1.54439114459905e-05,9.399356631244e-06,"12313/20604/19047/434233/26395/18749/18747/12315/67972/11540/19878/26419/224129/23984/54393/12322/11931/14683/18578/11938/109648/11941/18479/12669/14800/232975/12323/19049/26413",29
"mmu04721","mmu04721","Synaptic vesicle cycle","16/426","77/8384",1.16317826828406e-06,1.68354749356903e-05,1.02462794823914e-05,"11966/11972/11973/73834/66237/20910/20614/19339/108664/18195/20979/66290/76252/67300/74325/11964",16
"mmu04145","mmu04145","Phagosome","25/426","171/8384",1.53154802410325e-06,2.10587853314197e-05,1.2816638728022e-05,"22154/12317/11966/11972/11973/12330/73834/22143/66237/16412/22145/13427/100226/11461/13426/108664/66290/76252/11964/22151/22152/22153/11465/22142/19349",25
"mmu04727","mmu04727","GABAergic synapse","17/426","89/8384",1.87310208642112e-06,2.34137760802639e-05,1.42499153943042e-05,"18749/18747/57138/56486/14706/224129/105727/54393/14645/14688/14400/57436/14681/18195/14708/18751/14415",17
"mmu04912","mmu04912","GnRH signaling pathway","17/426","89/8384",1.87310208642112e-06,2.34137760802639e-05,1.42499153943042e-05,"12313/26400/26395/18749/18747/12540/12315/26419/224129/12322/14683/26398/18751/12323/19229/14784/26413",17
"mmu04530","mmu04530","Tight junction","24/426","163/8384",2.18595369659525e-06,2.61364028940737e-05,1.59069399431874e-05,"26400/18749/18747/76709/12540/51792/19052/19878/26419/71978/22143/72930/83814/16412/22145/18762/11461/56443/17999/18754/242894/11465/22142/17904",24
"mmu05034","mmu05034","Alcoholism","25/426","176/8384",2.62511210713712e-06,3.00794095609461e-05,1.83067028524036e-05,"12313/19047/434233/26395/18749/18747/12315/11540/55984/14706/224129/63959/11909/14683/14688/207565/109648/14681/51788/14708/18212/14784/15078/19049/26413",25
"mmu04720","mmu04720","Long-term potentiation","14/426","67/8384",5.08269770510944e-06,5.59096747562038e-05,3.402732358368e-05,"12313/19047/434233/26395/18749/18747/12315/12322/19055/19058/14800/18751/12323/26413",14
"mmu04925","mmu04925","Aldosterone synthesis and secretion","17/426","101/8384",1.12427101377618e-05,0.000118913280303249,7.23721016965231e-05,"12313/18749/18747/215303/12315/67972/224129/12322/11931/11909/14683/11941/269060/232975/18754/18751/12323",17
"mmu04022","mmu04022","cGMP-PKG signaling pathway","23/426","172/8384",1.8237082896435e-05,0.000185748066537764,0.000113048584036381,"12313/17261/19047/434233/26395/17260/12315/67972/22333/19878/224129/11931/11909/19055/11938/11941/11739/60596/19058/232975/18754/16531/26413",23
"mmu04971","mmu04971","Gastric acid secretion","14/426","75/8384",2.00505565133488e-05,0.000196925108613247,0.000119851070888062,"12313/20604/18749/18747/12315/224129/12322/11931/14683/11461/232975/18751/12323/11465",14
"mmu04713","mmu04713","Circadian entrainment","16/426","98/8384",3.01222652688622e-05,0.000285642170653004,0.00017384537850269,"12313/18749/18747/12315/14706/224129/12322/14683/14688/14681/60596/14800/14708/18751/12323/26413",16
"mmu04966","mmu04966","Collecting duct acid secretion","8/426","27/8384",3.92727414163785e-05,0.000360000129650136,0.000219100557375585,"11966/11972/11973/73834/66237/66290/76252/11964",8
"mmu05032","mmu05032","Morphine addiction","15/426","90/8384",4.15223158519213e-05,0.00036834312449285,0.000224178207825314,"18749/18747/14706/18574/224129/23984/54393/110355/14683/18578/14688/14400/14681/14708/18751",15
"mmu04724","mmu04724","Glutamatergic synapse","17/426","113/8384",5.06439455718522e-05,0.000435221407258105,0.000264881162694885,"18749/18747/26556/14706/224129/105727/110355/14645/14683/19055/14688/14681/19058/14800/14708/18751/26413",17
"mmu04140","mmu04140","Autophagy - animal","19/426","138/8384",6.5032690231284e-05,0.0005419390852607,0.000329830869115603,"26395/18749/18747/18412/75909/56486/19324/19052/69635/26419/51897/19744/207565/57436/17532/245860/26413/68441/19349",19
"mmu04714","mmu04714","Thermogenesis","25/426","216/8384",9.34154548350524e-05,0.000755566178812924,0.000459846975813416,"12858/11950/18749/18747/11951/228033/216739/224129/67155/67264/68094/11947/227197/66495/68375/11909/14683/19744/11461/17992/12868/110323/14784/67942/11465",25
"mmu04911","mmu04911","Insulin secretion","14/426","86/8384",9.72612158293409e-05,0.000764195267230536,0.000465098746371886,"18749/18747/224129/12322/11931/11909/20614/14683/19339/12424/232975/18751/12323/16531",14
"mmu04810","mmu04810","Regulation of actin cytoskeleton","25/426","217/8384",0.000100702428476796,0.000769254661975524,0.000468177956953524,"19047/434233/26395/11789/76709/12540/19878/108100/117150/16412/329165/18645/18720/11461/56443/18479/18481/17532/12669/18717/19241/12631/242894/11465/26413",25
"mmu04150","mmu04150","mTOR signaling pathway","20/426","156/8384",0.000116162987543931,0.000863373556069757,0.00052545988675633,"26395/11966/17254/11973/17168/73834/64898/66237/19744/66508/216805/108664/227743/66290/11964/18751/75705/14784/26413/68441",20
"mmu01230","mmu01230","Biosynthesis of amino acids","13/426","78/8384",0.000134327745900988,0.000951968018257792,0.000579379578576034,"13807/12974/18648/56421/11429/21991/14718/14645/11674/19139/18746/108645/232087",13
"mmu04141","mmu04141","Protein processing in endoplasmic reticulum","21/426","170/8384",0.000135006373498378,0.000951968018257792,0.000579379578576034,"13002/26400/12317/54197/216080/22027/12330/71853/67128/26419/56438/74126/386649/67437/269523/67397/80286/56424/225896/66105/56550",21
"mmu04922","mmu04922","Glucagon signaling pathway","15/426","104/8384",0.000225191483700018,0.00154819145043762,0.000942248576534286,"12313/18749/18747/18648/12315/56421/68263/12322/11909/14683/19055/56420/18746/19058/12323",15
"mmu04723","mmu04723","Retrograde endocannabinoid signaling","18/426","141/8384",0.000266778349729117,0.00174676300417874,0.00106310169440926,"18749/18747/14706/26419/224129/67264/227197/66495/68375/14688/14400/17992/14681/14800/269060/14708/18751/26413",18
"mmu05017","mmu05017","Spinocerebellar ataxia","18/426","141/8384",0.000266778349729117,0.00174676300417874,0.00106310169440926,"21762/19166/54138/69077/22333/80913/26443/26419/59029/51897/11938/23996/11739/19883/233871/14800/18751/26442",18
"mmu03040","mmu03040","Spliceosome","17/426","130/8384",0.000294285022587173,0.00188205537701099,0.00114544231557798,"67959/66070/67996/53817/67332/13207/20384/56215/20638/22185/19655/78651/67958/67678/66055/23983/15381",17
"mmu04970","mmu04970","Salivary secretion","13/426","85/8384",0.000325580497951392,0.0020348781121962,0.00123845213335577,"12313/18749/18747/12315/67972/224129/11931/14683/11941/60596/232975/18751/16531",13
"mmu04390","mmu04390","Hippo signaling pathway","19/426","156/8384",0.000335267678068247,0.00204885803263929,0.00124696048685032,"19047/434233/11789/12387/51792/54401/22629/103583/19052/15902/22627/71978/22631/72930/18762/11461/22628/11465/22630",19
