"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu05022","mmu05022","Pathways of neurodegeneration - multiple diseases","240/2092","457/8384",8.94406890490441e-39,2.8442139117596e-36,1.57227316538846e-36,"12858/216795/66925/11950/11836/12313/22154/19353/22201/53623/19182/13163/69875/109880/17274/66043/13544/74764/12028/68942/26395/19185/19172/11789/11951/16573/15114/12387/21762/20907/12048/14365/22190/22335/215999/67680/19165/226646/17991/19170/19166/18412/12289/11740/54405/22123/69077/17762/56486/228033/12315/22187/14816/19164/11783/66414/19324/66594/380684/22333/22433/14799/66997/67128/13385/26443/56444/19179/110616/16593/66945/22334/19056/12325/67089/26419/22418/18040/18039/19173/67819/54152/27373/67130/29857/56637/68194/100041273/100042503/11957/11820/28080/20655/22143/68202/140499/78330/20463/13001/93687/67665/12322/14682/16594/12333/12015/67264/54130/11947/69654/11946/15461/11949/20617/14802/12421/227197/66495/22409/22145/70247/67273/226641/19177/16574/14828/68375/59029/14810/51897/66046/67738/18176/19055/56228/53598/269523/595136/26445/12371/19181/57320/56717/170731/13542/22223/18125/67151/11938/22241/74781/17992/57436/14812/16653/23996/68197/233908/70316/67003/104130/67790/66142/22428/12367/11739/12857/13191/93739/26441/12866/233871/12669/73916/19058/14800/56208/66091/12868/18391/67184/12314/110323/226977/17995/66694/22195/56436/17463/230908/12861/66416/11911/105000/20422/217695/22272/73710/13000/26414/20238/212398/12064/12569/108071/18750/18795/12288/18751/26416/108058/56491/12323/66052/22151/14811/66152/225887/19167/12859/22152/22153/67942/26417/26413/13063/14775/66576/20743/26442/52335/26408/18951/22142/16572/12995/641340/18752/19122/22186",240
"mmu05012","mmu05012","Parkinson disease","150/2092","233/8384",5.42505106897655e-38,8.62583119967272e-36,4.76833436062676e-36,"12858/66925/21823/11950/12313/22154/22201/19182/13163/69875/66043/74764/12028/18749/56551/18747/19185/19172/11951/16573/21762/12048/22190/22335/215999/67680/226646/17991/19170/19166/11740/54405/22123/69077/17762/228033/12315/22187/11783/66414/66594/11540/22333/22433/66997/67128/26443/19179/16593/13488/66945/22334/12325/67089/26419/19173/67130/68194/100041273/100042503/224129/11957/28080/22143/68202/140499/78330/19252/20463/14680/12322/16594/67264/11947/11946/11949/20617/227197/66495/22145/70247/67273/226641/19177/16574/14828/68375/59029/14683/66046/56228/22166/595136/26445/12371/19181/57320/170731/22223/67151/17992/23996/68197/70316/67003/104130/66142/12367/11739/12857/26441/12866/14678/66091/12868/67184/12314/110323/17995/66694/22195/56436/17463/12861/66416/11911/20422/22272/73710/26414/108058/12323/66052/22151/66152/22059/225887/19167/12859/22152/22153/67942/13063/66576/26442/26408/18951/22142/16572/22186",150
"mmu05016","mmu05016","Huntington disease","168/2092","288/8384",1.4757685526266e-34,1.5643146657842e-32,8.64748590486464e-33,"12858/66925/11950/20683/22154/53623/19182/69875/11772/66043/74764/12028/66420/20511/20020/20512/19185/19172/11951/16573/20656/15114/21762/20907/22335/67680/226646/17991/21374/19170/19166/11740/54405/22123/69077/228033/15182/11783/66414/66594/22333/14799/66997/13385/245841/26443/56444/19179/16593/66945/22334/67089/26419/19173/54152/67130/68194/100041273/100042503/11773/11957/28080/20655/22143/68202/78330/20463/67665/14682/16594/67264/54130/11947/69654/11946/11949/14802/12421/12912/227197/66495/22145/70247/67273/19177/16574/68375/59029/14810/51897/66046/53598/12757/595136/26445/12371/19181/56717/19017/231329/67151/22241/74781/17992/14812/23996/68197/70316/67003/104130/66142/22428/12367/11739/20021/12857/13191/26441/12866/73916/14800/56208/71770/66091/12868/67184/110323/226977/217864/17995/66694/66491/56436/17463/12861/66416/105000/20422/20466/22272/73710/26414/67300/74325/12064/108071/18795/66052/22151/66152/22059/225887/19167/11771/12859/22152/22153/67942/13063/14775/66576/26442/237336/26408/67710/22142/16572/641340",168
"mmu05014","mmu05014","Amyotrophic lateral sclerosis","189/2092","353/8384",6.04062250721346e-32,4.8022948932347e-30,2.65469462817012e-30,"12858/66925/11950/22154/19353/19182/13163/69875/17274/66043/74764/12028/68942/53379/20511/56085/19185/19172/11951/16573/15114/21762/12048/215999/67680/226646/17991/19170/19166/18412/54405/18141/22123/69077/18643/56486/228033/74412/11783/66414/19324/66594/380684/22333/22433/14799/66997/26443/56444/19179/16593/66945/11750/19056/67089/11744/18040/18039/19173/67819/54152/67130/29857/68194/100041273/100042503/11957/28080/20655/22143/68202/78330/225027/20463/67665/16594/12015/21681/67264/54130/11947/69654/11946/11949/12421/227197/66495/22145/70247/67273/226641/19177/16574/14828/68375/59029/14810/51897/66679/66046/18645/19055/53598/269523/595136/26445/12371/19181/56717/18125/67151/22241/74781/11461/17992/57436/14812/23996/68197/233908/70316/67003/104130/67790/66142/22428/12367/12857/13191/93739/26441/12866/233871/71805/19058/14800/56208/66091/12868/18391/67184/110323/17184/226977/17995/66694/56436/17463/19069/230908/12861/66416/11911/105000/20422/22272/73710/15382/103172/54609/103468/107939/26416/56491/66052/22151/14811/229279/66152/22059/225887/19167/12859/22152/22153/67942/11465/211323/13063/14775/66576/26442/20383/26408/22142/16572/641340/18226/71844",189
"mmu05010","mmu05010","Alzheimer disease","186/2092","353/8384",2.95876215356815e-30,1.88177272966935e-28,1.04023848346501e-28,"12858/216795/66925/11950/11836/12313/22154/11651/19182/69875/109880/66043/13544/74764/11652/26395/19185/19172/11789/11951/16573/12387/21762/14365/22335/215999/67680/19165/226646/17991/19170/16956/19166/226548/12289/11740/54405/22123/69077/17762/228033/12315/23797/19164/11783/66414/66594/22333/68585/22433/66997/26443/19179/16593/66945/22334/19056/67089/26419/22418/19173/27373/67130/56637/68194/100041273/100042503/11957/11820/28080/22143/68202/78330/20463/13001/93687/14682/20168/16594/12333/12015/67264/11947/11946/15461/11949/20617/12421/227197/66495/22409/22145/70247/67273/226641/19177/16574/68375/59029/14810/51897/18706/66046/67738/18176/19055/595136/26445/12371/19181/56717/13542/18125/67151/11938/22241/74781/17992/14812/16653/23996/68197/70316/67003/104130/66142/12367/11739/12857/18709/234664/14608/23821/26441/12866/208117/12669/19058/56208/66091/12868/67184/12314/110323/66340/11785/17995/66694/384783/56436/17463/18708/12861/66416/11911/20422/22272/73710/13000/26414/212398/12569/108071/18795/12288/14433/66052/22151/14811/66152/225887/19167/12859/22152/22153/67942/26417/26413/13063/66576/26442/26408/22142/16572/12995/641340",186
"mmu05020","mmu05020","Prion disease","145/2092","254/8384",1.64317806902334e-28,8.70884376582371e-27,4.81422346538418e-27,"12858/66925/11950/22154/19353/19182/69875/66043/74764/12028/18749/18747/19185/19172/11951/16573/21762/22335/215999/67680/226646/17991/19170/12915/19166/12289/11740/54405/22123/69077/228033/14360/11783/66414/66594/22333/66997/26443/19179/16593/66945/22334/19056/67089/26419/18753/19173/67130/29857/56637/68194/100041273/100042503/11957/28080/20655/22143/68202/78330/20463/13001/16594/12015/20867/67264/11947/11946/11949/12912/227197/66495/22145/70247/67273/19177/16574/14828/68375/59029/14810/11909/18706/66046/19055/595136/26445/12371/19181/67151/17992/14812/23996/68197/70316/67003/104130/66142/12367/11739/12857/18709/26441/12866/19058/66091/12868/67184/110323/17995/13653/66694/56436/17463/17967/242443/18708/12861/66416/11911/20422/22272/73710/13000/26414/12288/26416/66052/22151/14811/66152/225887/19167/12859/22152/22153/67942/26417/26413/13063/66576/26442/22142/16572/12995/19122",145
"mmu00190","mmu00190","Oxidative phosphorylation","78/2092","120/8384",1.33115085139124e-20,6.04722815346306e-19,3.34289010800507e-19,"12858/66925/11950/69875/66043/66144/11951/11966/67680/11972/226646/17991/11974/54405/228033/54411/11973/11975/66414/67895/66594/73834/66945/66335/67130/68194/100041273/100042503/11957/28080/68202/78330/11984/20463/66237/67264/11947/11946/11949/227197/66495/67273/68375/66046/74776/595136/17992/68197/70316/67003/104130/66142/12857/12866/114143/108664/66091/12868/67184/110323/17995/21871/66694/57423/27425/66290/76252/12861/66416/22272/12856/11964/66052/66152/225887/12859/67942/66576",78
"mmu05017","mmu05017","Spinocerebellar ataxia","86/2092","141/8384",6.68818164853699e-20,2.65855220529345e-18,1.46963991487589e-18,"20683/11651/53623/19182/11652/19185/19172/21762/22335/215999/21374/19170/19166/11740/54138/22123/69077/23797/14816/22333/22433/14799/80913/66997/26443/19179/110616/22334/67089/26419/19173/18044/69597/14682/22359/14169/12421/70247/19177/59029/14810/51897/18706/229906/13131/80912/26445/19181/56717/67151/11938/22241/74781/14812/23996/11739/18709/19883/26441/233871/14800/12286/56208/74143/56436/17463/242443/56543/18708/20422/26414/20238/18750/18795/18751/14811/19167/16504/13063/20743/26442/52335/237336/26408/641340/18752",86
"mmu04723","mmu04723","Retrograde endocannabinoid signaling","85/2092","141/8384",3.21664852747235e-19,1.13654914637356e-17,6.28281057412728e-18,"14395/53623/69875/18749/18747/14394/226646/17991/12289/54405/14816/66414/14399/432530/14799/14706/210044/26419/11514/67130/29857/68194/100041273/100042503/224129/11512/68202/14409/78330/14682/67264/66082/14802/227197/66495/67273/16519/68375/66046/595136/14688/14397/14400/17992/14693/140919/68197/70316/104130/14396/14681/14697/14678/23945/14402/14800/14073/12286/66091/269060/67184/14701/22348/17995/16524/14700/231871/116837/66416/14702/26414/14708/108071/18750/18795/12288/18751/26416/110886/225887/26417/26413/72961/14704/18752",85
"mmu04714","mmu04714","Thermogenesis","112/2092","216/8384",7.61546350127488e-18,2.42171739340541e-16,1.33871832075043e-16,"12858/66925/11950/20587/69875/66043/16890/18749/18747/11951/93760/67680/67605/226646/17991/54405/52469/228033/14081/66414/66594/216739/432530/210044/66945/11514/67130/29857/68194/100041273/100042503/224129/11957/28080/11512/83797/66379/68202/78330/20662/20463/67155/433256/67264/68094/11947/11946/15461/11949/12912/227197/66495/76178/67273/68375/11909/69702/69487/14683/56456/66046/18176/68493/108079/595136/19744/56717/19017/11461/17992/83766/16653/29861/68197/70316/67003/104130/66142/50790/12857/12866/20588/23945/66091/12868/67184/110323/99982/17995/66694/57423/27425/12861/66416/22272/68033/12856/67892/26416/66052/66152/225887/14784/12859/67942/11465/66576/19082/75597/239985/26408/66272",112
