"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003712","GO:0003712","transcription coregulator activity","183/4719","454/22707",9.62859543418492e-22,1.08610556497606e-18,6.89204725815342e-19,"57316/14025/20587/19411/16480/13163/13549/13498/79221/15191/81489/21849/17978/24068/12398/12395/12387/21885/18028/15257/239719/94112/22088/59022/109711/18412/23989/12261/20185/217031/17977/13207/67279/217166/14534/66354/66505/18193/28077/353187/21834/219249/15460/20024/67154/223527/22770/67057/67488/68776/56070/11632/66556/67155/67788/94275/16825/21372/22215/74112/74106/68975/67991/15259/17536/19383/170791/81004/20482/229615/109331/57320/56273/20481/19017/67151/20602/56361/20893/54343/11569/108098/28019/19777/17258/12971/13017/15161/66995/18983/20467/26992/75796/107566/17127/56469/26901/93686/219158/170826/81703/22378/16969/320271/11792/106931/72693/99982/104721/268448/19401/18676/231051/18013/77578/56406/12396/18023/69790/20473/109115/22195/269397/51810/20182/228880/211329/16826/68703/56381/52915/226442/320705/98403/216825/20466/27223/230753/272359/69090/70350/99730/381022/268903/101206/22761/58172/72065/12705/270110/16476/16477/18751/72195/21413/30941/14797/60595/234135/54132/67040/226169/116871/67673/18148/21833/217218/22260/17938/17933/211323/80288/20666/30928/26896/16478/23942/56353/641340/108143/18991/58521/56771",183
"GO:0001882","GO:0001882","nucleoside binding","152/4719","374/22707",1.1326786890938e-18,2.72373902110235e-16,1.72838982302128e-16,"19344/11858/22154/235072/19353/19376/17274/53869/12540/11848/67286/13628/77015/67042/75869/59040/11749/19345/19341/71924/216344/19324/76877/66397/11844/13494/18952/217378/19325/58222/57837/73991/69237/217869/69635/67295/69721/14661/11843/76338/239555/24050/74006/22143/213990/19328/15516/56055/57440/104215/14670/14680/14682/56248/76308/56350/237107/15461/224624/214952/110639/226982/22145/68724/68365/67059/98878/14683/56045/19338/18176/54195/52187/11639/54170/72269/19744/170731/100972/231329/19384/23912/77407/67166/232441/16653/14228/19346/19337/67790/19139/14681/19339/17532/270192/14678/75668/75141/14672/11855/26905/103733/75423/74012/18102/13627/74143/69581/14687/207704/210146/11539/14904/319642/11845/103768/73710/59021/68203/11840/320982/68939/72065/56526/76108/11842/56451/19342/11852/60595/106572/19762/52398/22151/53860/56298/14852/22152/11841/22153/74254/56738/109905/52065/68441/14853/18951/22142/24067/19330/19326/19349",152
"GO:0032549","GO:0032549","ribonucleoside binding","149/4719","364/22707",1.14343414180827e-18,2.72373902110235e-16,1.72838982302128e-16,"19344/11858/22154/235072/19353/19376/17274/53869/12540/11848/67286/13628/77015/67042/75869/59040/11749/19345/19341/71924/216344/19324/76877/66397/11844/13494/18952/217378/19325/58222/57837/73991/69237/217869/69635/67295/69721/14661/11843/76338/239555/24050/74006/22143/213990/19328/15516/56055/57440/104215/14670/14680/14682/56248/76308/56350/237107/15461/224624/214952/110639/226982/22145/68724/68365/67059/98878/14683/56045/19338/18176/54195/52187/11639/54170/19744/170731/100972/231329/19384/23912/77407/67166/232441/16653/14228/19346/19337/67790/19139/14681/19339/17532/270192/14678/75668/75141/14672/11855/26905/103733/75423/74012/18102/13627/74143/69581/14687/207704/210146/14904/319642/11845/103768/73710/59021/68203/11840/320982/68939/72065/56526/76108/11842/56451/19342/11852/106572/19762/52398/22151/53860/56298/14852/22152/11841/22153/74254/56738/109905/52065/68441/14853/18951/22142/24067/19330/19326/19349",149
"GO:0032550","GO:0032550","purine ribonucleoside binding","148/4719","361/22707",1.26422370697985e-18,2.72373902110235e-16,1.72838982302128e-16,"19344/11858/22154/235072/19353/19376/17274/53869/12540/11848/67286/13628/77015/67042/75869/59040/11749/19345/19341/71924/216344/19324/76877/66397/11844/13494/18952/217378/19325/58222/57837/73991/69237/217869/69635/67295/69721/14661/11843/76338/239555/24050/74006/22143/213990/19328/15516/56055/57440/104215/14670/14680/14682/56248/76308/56350/237107/15461/224624/214952/110639/226982/22145/68724/68365/67059/98878/14683/56045/19338/18176/54195/52187/11639/54170/19744/170731/100972/19384/23912/77407/67166/232441/16653/14228/19346/19337/67790/19139/14681/19339/17532/270192/14678/75668/75141/14672/11855/26905/103733/75423/74012/18102/13627/74143/69581/14687/207704/210146/14904/319642/11845/103768/73710/59021/68203/11840/320982/68939/72065/56526/76108/11842/56451/19342/11852/106572/19762/52398/22151/53860/56298/14852/22152/11841/22153/74254/56738/109905/52065/68441/14853/18951/22142/24067/19330/19326/19349",148
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","137/4719","325/22707",1.41001446720702e-18,2.72373902110235e-16,1.72838982302128e-16,"53310/12709/22154/69754/13163/19088/12317/26554/18749/104771/20020/18747/21849/11789/71472/22190/18002/14084/226646/22088/18412/22209/11740/18099/68729/56486/14950/22187/216080/20610/22210/68585/22433/19084/170930/67128/22627/15251/110616/22031/12328/68558/12759/22631/67819/19387/14083/252870/74006/51789/56637/22143/110213/12575/140499/15516/11984/224727/110355/20411/54473/23806/18813/66799/15510/22218/20846/19275/70247/226641/329165/14828/16396/66734/20779/56228/109331/15502/269523/16451/170731/20481/19017/53323/22223/80751/14357/26965/57436/22284/99375/67443/234664/93739/53376/17127/56469/19087/78832/12461/56208/226151/11785/69310/67384/16511/66515/22195/56424/18708/213539/217692/226418/70369/16476/224111/110862/12608/18521/20747/19229/22059/19167/11465/66245/77006/229521/52065/68441/65019/225896/93765/66105/192160/58230/22186/56550",137
"GO:0001883","GO:0001883","purine nucleoside binding","149/4719","365/22707",1.54114356050114e-18,2.72373902110235e-16,1.72838982302128e-16,"19344/11858/22154/235072/19353/19376/17274/53869/12540/11848/67286/13628/77015/67042/75869/59040/11749/19345/19341/71924/216344/19324/76877/66397/11844/13494/18952/217378/19325/58222/57837/73991/69237/217869/69635/67295/69721/14661/11843/76338/239555/24050/74006/22143/213990/19328/15516/56055/57440/104215/14670/14680/14682/56248/76308/56350/237107/15461/224624/214952/110639/226982/22145/68724/68365/67059/98878/14683/56045/19338/18176/54195/52187/11639/54170/19744/170731/100972/19384/23912/77407/67166/232441/16653/14228/19346/19337/67790/19139/14681/19339/17532/270192/14678/75668/75141/14672/11855/26905/103733/75423/74012/18102/13627/74143/69581/14687/207704/210146/11539/14904/319642/11845/103768/73710/59021/68203/11840/320982/68939/72065/56526/76108/11842/56451/19342/11852/106572/19762/52398/22151/53860/56298/14852/22152/11841/22153/74254/56738/109905/52065/68441/14853/18951/22142/24067/19330/19326/19349",149
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","131/4719","306/22707",1.69026357692522e-18,2.72373902110235e-16,1.72838982302128e-16,"53310/12709/22154/69754/13163/19088/12317/26554/18749/104771/20020/18747/21849/11789/71472/22190/18002/14084/226646/22088/18412/22209/11740/18099/68729/56486/14950/22187/216080/22210/68585/22433/19084/170930/67128/22627/15251/110616/22031/12328/68558/12759/22631/67819/19387/14083/252870/74006/51789/56637/22143/110213/12575/140499/15516/11984/224727/110355/20411/54473/23806/18813/66799/15510/22218/70247/226641/329165/14828/66734/20779/56228/109331/15502/269523/16451/170731/20481/19017/53323/22223/80751/14357/26965/57436/22284/99375/67443/234664/93739/53376/17127/56469/19087/78832/12461/56208/226151/11785/69310/67384/16511/66515/22195/56424/18708/213539/217692/226418/70369/16476/224111/110862/18521/20747/19229/22059/19167/11465/66245/229521/52065/68441/65019/225896/93765/66105/192160/58230/22186/56550",131
"GO:0031267","GO:0031267","small GTPase binding","164/4719","424/22707",1.43944203216637e-17,2.02961326535458e-15,1.28792181825412e-15,"74204/56149/330171/55978/320634/16211/19353/19376/71810/109880/21844/110750/11544/13544/23790/26395/19305/18747/56513/19385/27756/110279/213027/216963/229707/11303/14567/18141/21927/109934/18643/54411/52666/83767/14799/19878/20403/94186/217866/110596/19418/55946/24056/65246/19387/224105/74006/16443/20655/19765/20662/224705/225870/192662/14163/67588/12662/236915/18582/53972/14270/54354/19731/29809/329165/18286/50884/228359/228550/19419/67231/16569/58869/66641/16800/27096/170731/13542/100855/22241/19894/11517/70727/111173/259302/320560/70584/233877/18479/27414/18481/382253/54126/212999/71310/11765/116733/60409/74766/19417/207212/105689/27008/216831/244654/101314/227377/18195/208846/17918/73192/69470/11554/227800/19347/238130/226407/98402/260409/76795/215445/116838/97761/233204/227743/209462/19352/209815/98732/233489/269608/107746/108911/110351/56699/116837/217944/381085/52850/229541/68449/76582/217517/57912/320311/78618/245828/20660/52055/223754/243819/72729/74694/57778/69632/545156/76089/216363/233726/109905/240168/14570/19349/320292",164
"GO:0005525","GO:0005525","GTP binding","143/4719","354/22707",2.24530598189446e-17,2.81411683064106e-15,1.78574043004472e-15,"19344/11858/22154/235072/19353/19376/17274/53869/12540/11848/67286/13628/67042/75869/59040/11749/19345/19341/71924/216344/19324/76877/66397/11844/13494/18952/217378/19325/58222/57837/73991/69237/217869/69635/67295/69721/14661/11843/76338/24050/74006/22143/213990/19328/15516/56055/57440/104215/14670/14680/14682/56248/76308/56350/237107/15461/224624/214952/226982/22145/68724/68365/67059/98878/14683/56045/19338/18176/54195/52187/11639/54170/19744/170731/100972/19384/23912/77407/67166/232441/16653/14228/19346/19337/67790/14681/19339/17532/270192/14678/75668/75141/14672/11855/26905/103733/75423/74012/18102/13627/74143/69581/14687/207704/210146/14904/319642/11845/103768/73710/59021/68203/11840/320982/68939/72065/56526/76108/11842/19342/11852/106572/19762/52398/22151/53860/56298/14852/22152/11841/22153/74254/56738/109905/52065/68441/14853/18951/22142/24067/19330/19326/19349",143
"GO:0019001","GO:0019001","guanyl nucleotide binding","149/4719","377/22707",4.79919122463757e-17,4.53978593028208e-15,2.88078987737198e-15,"19344/11858/22154/235072/19353/19376/17274/53869/12540/11848/67286/13628/77015/67042/75869/59040/11749/19345/19341/71924/216344/19324/76877/66397/11844/13494/18952/217378/19325/58222/57837/73991/69237/217869/69635/67295/69721/14661/11843/76338/239555/24050/74006/22143/213990/19328/23984/15516/56055/57440/104215/14670/14680/14682/56248/76308/56350/237107/15461/224624/214952/110639/226982/22145/68724/68365/67059/98878/14683/56045/19338/18176/54195/52187/11639/54170/19744/170731/100972/19384/23912/77407/67166/232441/16653/14228/19346/19337/67790/19139/14681/19339/17532/270192/14678/75668/75141/14672/11855/26905/103733/75423/74012/18102/13627/74143/69581/14687/207704/210146/14904/319642/11845/103768/73710/59021/68203/11840/320982/68939/72065/56526/76108/11842/56451/19342/11852/106572/19762/52398/22151/53860/56298/14852/22152/11841/22153/74254/56738/109905/52065/68441/14853/18951/22142/24067/19330/19326/19349",149
