"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"M00160","M00160","V-type ATPase, eukaryotes","9/59","24/844",1.24382356020377e-05,0.000310955890050943,0.000248764712040755,"11966/11972/11973/73834/66237/108664/66290/76252/11964",9
"M00158","M00158","F-type ATPase, eukaryotes","5/59","17/844",0.00454494223256099,0.0409762746536277,0.0327810197229021,"11950/11951/228033/11947/67942",5
"M00035","M00035","Methionine degradation","4/59","11/844",0.00491715295843532,0.0409762746536277,0.0327810197229021,"229709/74340/108645/232087",4
"M00001","M00001","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","6/59","29/844",0.0120944713803787,0.0635835333869883,0.0508668267095906,"13807/18648/56421/21991/11674/18746",6
"M00002","M00002","Glycolysis, core module involving three-carbon compounds","4/59","14/844",0.0127167066773977,0.0635835333869883,0.0508668267095906,"13807/18648/21991/18746",4
"M00034","M00034","Methionine salvage pathway","3/59","12/844",0.0454013688536504,0.187798207110245,0.150238565688196,"104923/108645/232087",3
"M00003","M00003","Gluconeogenesis, oxaloacetate => fructose-6P","4/59","21/844",0.0525834979908686,0.187798207110245,0.150238565688196,"13807/18648/21991/11674",4
"M00009","M00009","Citrate cycle (TCA cycle, Krebs cycle)","4/59","24/844",0.0798368689180844,0.249490215369014,0.199592172295211,"12974/17448/17449/11429",4
"M00010","M00010","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","2/59","10/844",0.15061016571298,0.37652541428245,0.30122033142596,"12974/11429",2
"M00059","M00059","Glycosaminoglycan biosynthesis, heparan sulfate backbone","2/59","10/844",0.15061016571298,0.37652541428245,0.30122033142596,"54616/58193",2
"M00050","M00050","Guanine ribonucleotide biosynthesis IMP => GDP,GTP","2/59","13/844",0.228835397686181,0.456504335051101,0.365203468040881,"23917/18746",2
"M00154","M00154","Cytochrome c oxidase","3/59","25/844",0.251431943623652,0.456504335051101,0.365203468040881,"12858/12868/110323",3
"M00011","M00011","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","2/59","14/844",0.255642427628617,0.456504335051101,0.365203468040881,"17448/17449",2
"M00147","M00147","NADH dehydrogenase (ubiquinone) 1 beta subcomplex","2/59","14/844",0.255642427628617,0.456504335051101,0.365203468040881,"67264/66495",2
"M00146","M00146","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex","2/59","15/844",0.282528959420742,0.47088159903457,0.376705279227656,"68375/17992",2
"M00049","M00049","Adenine ribonucleotide biosynthesis, IMP => ADP,ATP","2/59","20/844",0.413874611000468,0.646679079688231,0.517343263750585,"11636/18746",2
"M00130","M00130","Inositol phosphate metabolism, PI=> PIP2 => Ins(1,4,5)P3 => Ins(1,3,4,5)P4","2/59","22/844",0.463339640959186,0.68138182493998,0.545105459951984,"18720/18717",2
"M00143","M00143","NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria","1/59","11/844",0.551612256601559,0.725805600791525,0.58064448063322,"227197",1
"M00167","M00167","Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P","1/59","11/844",0.551612256601559,0.725805600791525,0.58064448063322,"11674",1
"M00872","M00872","O-glycan biosynthesis, mannose type (core M3)","1/59","12/844",0.58337081225643,0.729213515320538,0.58337081225643,"108902",1
"M00055","M00055","N-glycan precursor biosynthesis","1/59","14/844",0.640397968791797,0.756772773738329,0.605418218990664,"56737",1
"M00165","M00165","Reductive pentose phosphate cycle (Calvin cycle)","1/59","15/844",0.66596004088973,0.756772773738329,0.605418218990664,"11674",1
"M00089","M00089","Triacylglycerol biosynthesis","1/59","22/844",0.801159789375761,0.863114415018769,0.690491532015015,"64898",1
"M00129","M00129","Ascorbate biosynthesis, animals, glucose-1P => ascorbate","1/59","25/844",0.841021075907538,0.863114415018769,0.690491532015015,"58810",1
"M00014","M00014","Glucuronate pathway (uronate pathway)","1/59","27/844",0.863114415018769,0.863114415018769,0.690491532015015,"58810",1
