"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022406","GO:0022406","membrane docking","4/36","80/23210",7.08678336660792e-06,0.00867342655893794,0.00554583835957694,"12390/20907/56398/56418",4
"GO:0045992","GO:0045992","negative regulation of embryonic development","3/36","28/23210",1.09305942771745e-05,0.00867342655893794,0.00554583835957694,"12387/18747/18749",3
"GO:1900180","GO:1900180","regulation of protein localization to nucleus","4/36","121/23210",3.63838898207191e-05,0.0181227204408732,0.0115877707060669,"12390/18053/18753/56398",4
"GO:0035690","GO:0035690","cellular response to drug","6/36","427/23210",4.5677934318521e-05,0.0181227204408732,0.0115877707060669,"12387/12390/14683/18578/18753/68015",6
"GO:1903829","GO:1903829","positive regulation of cellular protein localization","5/36","297/23210",9.03419084025921e-05,0.0188941518198366,0.0120810283250903,"12390/18053/18747/18753/216169",5
"GO:0001838","GO:0001838","embryonic epithelial tube formation","4/36","154/23210",9.3057407477559e-05,0.0188941518198366,0.0120810283250903,"12160/12387/18747/18749",4
"GO:0072175","GO:0072175","epithelial tube formation","4/36","161/23210",0.000110501623617167,0.0188941518198366,0.0120810283250903,"12160/12387/18747/18749",4
"GO:0062197","GO:0062197","cellular response to chemical stress","5/36","322/23210",0.00013195515277235,0.0188941518198366,0.0120810283250903,"12387/13205/18053/18753/68015",5
"GO:0048278","GO:0048278","vesicle docking","3/36","64/23210",0.000133784033616794,0.0188941518198366,0.0120810283250903,"12390/20907/56418",3
"GO:0035148","GO:0035148","tube formation","4/36","176/23210",0.000155717636459376,0.0188941518198366,0.0120810283250903,"12160/12387/18747/18749",4
"GO:0016331","GO:0016331","morphogenesis of embryonic epithelium","4/36","182/23210",0.000177091161304467,0.0188941518198366,0.0120810283250903,"12160/12387/18747/18749",4
"GO:0071868","GO:0071868","cellular response to monoamine stimulus","3/36","71/23210",0.000182163529984059,0.0188941518198366,0.0120810283250903,"12390/14683/18578",3
"GO:0071870","GO:0071870","cellular response to catecholamine stimulus","3/36","71/23210",0.000182163529984059,0.0188941518198366,0.0120810283250903,"12390/14683/18578",3
"GO:0071867","GO:0071867","response to monoamine","3/36","72/23210",0.000189881479877608,0.0188941518198366,0.0120810283250903,"12390/14683/18578",3
"GO:0071869","GO:0071869","response to catecholamine","3/36","72/23210",0.000189881479877608,0.0188941518198366,0.0120810283250903,"12390/14683/18578",3
"GO:0060831","GO:0060831","smoothened signaling pathway involved in dorsal/ventral neural tube patterning","2/36","14/23210",0.000210373208681233,0.0188941518198366,0.0120810283250903,"18747/18749",2
"GO:0140056","GO:0140056","organelle localization by membrane tethering","3/36","75/23210",0.000214300398712702,0.0188941518198366,0.0120810283250903,"12390/20907/56418",3
"GO:1900182","GO:1900182","positive regulation of protein localization to nucleus","3/36","75/23210",0.000214300398712702,0.0188941518198366,0.0120810283250903,"12390/18053/18753",3
"GO:0001649","GO:0001649","osteoblast differentiation","4/36","199/23210",0.000249132587754952,0.0208091271982689,0.0133054744928407,"12387/14683/17261/18747",4
"GO:0001503","GO:0001503","ossification","5/36","381/23210",0.000287942430140904,0.0216304430650847,0.0138306285376193,"12160/12387/14683/17261/18747",5
"GO:0051216","GO:0051216","cartilage development","4/36","211/23210",0.000311288192796877,0.0216304430650847,0.0138306285376193,"12160/12387/14683/17261",4
"GO:0060788","GO:0060788","ectodermal placode formation","2/36","17/23210",0.000313484682102678,0.0216304430650847,0.0138306285376193,"12387/14683",2
"GO:0071697","GO:0071697","ectodermal placode morphogenesis","2/36","17/23210",0.000313484682102678,0.0216304430650847,0.0138306285376193,"12387/14683",2
"GO:0071696","GO:0071696","ectodermal placode development","2/36","18/23210",0.000352326289194189,0.0232975758729657,0.014896602753649,"12387/14683",2
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","5/36","414/23210",0.000421323680806691,0.0257169492861623,0.0164435638986903,"12343/13205/18753/20907/56378",5
"GO:2001233","GO:2001233","regulation of apoptotic signaling pathway","5/36","414/23210",0.000421323680806691,0.0257169492861623,0.0164435638986903,"12387/13205/18053/18753/68015",5
"GO:0010560","GO:0010560","positive regulation of glycoprotein biosynthetic process","2/36","21/23210",0.000482171739325874,0.0273288053682201,0.0174741938612836,"12387/56398",2
"GO:0051447","GO:0051447","negative regulation of meiotic cell cycle","2/36","21/23210",0.000482171739325874,0.0273288053682201,0.0174741938612836,"18747/18749",2
"GO:0046777","GO:0046777","protein autophosphorylation","4/36","240/23210",0.000506431997167513,0.0277140544656842,0.0177205243292008,"18747/18753/269774/56398",4
"GO:0051797","GO:0051797","regulation of hair follicle development","2/36","22/23210",0.000529871784258371,0.0278816657838291,0.0178276959610064,"12387/18053",2
"GO:0009953","GO:0009953","dorsal/ventral pattern formation","3/36","103/23210",0.000544793913592568,0.0278816657838291,0.0178276959610064,"12387/18747/18749",3
"GO:0030539","GO:0030539","male genitalia development","2/36","23/23210",0.000579769987943517,0.0278816657838291,0.0178276959610064,"12160/12387",2
"GO:1903020","GO:1903020","positive regulation of glycoprotein metabolic process","2/36","23/23210",0.000579769987943517,0.0278816657838291,0.0178276959610064,"12387/56398",2
"GO:0001942","GO:0001942","hair follicle development","3/36","111/23210",0.000677521256324768,0.0305767234998809,0.0195509312200346,"12387/14683/18053",3
"GO:0046822","GO:0046822","regulation of nucleocytoplasmic transport","3/36","112/23210",0.000695429233840498,0.0305767234998809,0.0195509312200346,"18747/18753/56398",3
"GO:0098773","GO:0098773","skin epidermis development","3/36","113/23210",0.000713636760724695,0.0305767234998809,0.0195509312200346,"12387/14683/18053",3
