# name:S1_vGluT2_2
gene_name	length	readsCPM	conversionRate	Tcontent	coverageOnTs	conversionsOnTs	readCount	tcReadCount	multimapCount
ENSMUSG00000000001	2056	0.0	0	710	0	0	0	0	0
ENSMUSG00000000003	450	0.0	0	181	0	0	0	0	0
ENSMUSG00000000028	250	43.27695308057004	0.0	103	2296	0	78	0	0
ENSMUSG00000000037	6211	0.0	0	2345	0	0	0	0	0
ENSMUSG00000000049	101	0.0	0	36	0	0	0	0	0
ENSMUSG00000000056	2934	0.55483273180218	0.0	772	37	0	1	0	0
ENSMUSG00000000058	3004	0.0	0	1014	0	0	0	0	0
ENSMUSG00000000078	3867	43.27695308057004	0.0	1163	2697	0	78	0	26
ENSMUSG00000000085	1491	141.48234660955586	0.0	390	7038	0	255	0	0
ENSMUSG00000000088	155	138.15335021874282	0.0	53	8716	0	249	0	0
ENSMUSG00000000093	934	0.0	0	235	0	0	0	0	0
ENSMUSG00000000094	2702	0.0	0	729	0	0	0	0	0
ENSMUSG00000000103	408	0.0	0	148	0	0	0	0	0
ENSMUSG00000000120	1985	0.55483273180218	0.0	442	16	0	1	0	0
ENSMUSG00000000125	1889	2.21933092720872	0.0	508	48	0	4	0	0
ENSMUSG00000000126	2177	0.0	0	562	0	0	0	0	0
ENSMUSG00000000127	2015	0.0	0	618	0	0	0	0	0
ENSMUSG00000000131	4467	53.263942253009276	0.0	1160	4319	0	96	0	0
ENSMUSG00000000134	7673	2.7741636590109	0.0	1789	79	0	5	0	0
ENSMUSG00000000142	1504	0.0	0	396	0	0	0	0	0
ENSMUSG00000000148	4777	0.0	0	1096	0	0	0	0	0
ENSMUSG00000000149	2497	0.0	0	588	0	0	0	0	0
ENSMUSG00000000154	1458	0.0	0	375	0	0	0	0	0
ENSMUSG00000000157	1555	0.0	0	369	0	0	0	0	0
ENSMUSG00000000159	1740	0.0	0	458	0	0	0	0	0
ENSMUSG00000000167	572	0.0	0	141	0	0	0	0	0
ENSMUSG00000000168	1792	3.8838291226152597	0.0	556	182	0	7	0	2
ENSMUSG00000000171	728	129.8308592417101	0.0	219	6522	0	234	0	0
ENSMUSG00000000182	930	0.0	0	239	0	0	0	0	0
ENSMUSG00000000183	4030	0.55483273180218	0.0	1074	1	0	1	0	1
ENSMUSG00000000184	5792	8.322490977032698	0.0	1697	364	0	15	0	0
ENSMUSG00000000194	4435	6.6579927816261595	0.0	1097	192	0	12	0	0
ENSMUSG00000000197	1534	0.0	0	517	0	0	0	0	0
ENSMUSG00000000202	231	41.612454885163494	0.0	51	1527	0	75	0	0
ENSMUSG00000000204	2592	0.0	0	995	0	0	0	0	0
ENSMUSG00000000214	2106	106.52788450601855	0.0	507	4192	0	192	0	0
ENSMUSG00000000215	574	0.0	0	121	0	0	0	0	0
ENSMUSG00000000216	926	0.0	0	249	0	0	0	0	0
ENSMUSG00000000223	5096	0.0	0	1460	0	0	0	0	0
ENSMUSG00000000244	3591	0.0	0	968	0	0	0	0	0
ENSMUSG00000000247	1110	95.98606260177712	0.0	294	6908	0	173	0	0
ENSMUSG00000000248	3796	0.0	0	1143	0	0	0	0	0
ENSMUSG00000000253	329	79.34108064771173	0.0	92	3014	0	143	0	0
ENSMUSG00000000263	575	0.0	0	116	0	0	0	0	0
ENSMUSG00000000266	3948	17.75464741766976	0.0	1284	582	0	32	0	0
ENSMUSG00000000275	3728	0.0	0	1098	0	0	0	0	0
ENSMUSG00000000276	10681	13.870818295054498	0.0	3258	464	0	25	0	0
ENSMUSG00000000278	642	0.0	0	164	0	0	0	0	0
ENSMUSG00000000282	2405	11.651487367845778	0.0	588	935	0	21	0	0
ENSMUSG00000000290	3320	0.0	0	778	0	0	0	0	0
ENSMUSG00000000295	661	1.10966546360436	0.0	159	45	0	2	0	0
ENSMUSG00000000296	1779	0.0	0	531	0	0	0	0	0
ENSMUSG00000000301	204	0.0	0	39	0	0	0	0	0
ENSMUSG00000000303	2063	0.0	0	643	0	0	0	0	0
ENSMUSG00000000305	3658	38.28345849435041	0.0	855	2257	0	69	0	3
ENSMUSG00000000308	910	40.502789421559136	0.0	193	1197	0	73	0	0
ENSMUSG00000000317	1899	0.0	0	587	0	0	0	0	0
ENSMUSG00000000318	1002	0.0	0	312	0	0	0	0	0
ENSMUSG00000000320	2000	0.0	0	524	0	0	0	0	0
ENSMUSG00000000325	7008	0.0	0	1663	0	0	0	0	0
ENSMUSG00000000326	1815	64.36059688905287	0.0	386	2596	0	116	0	0
ENSMUSG00000000339	1006	12.206320099647957	0.0	248	624	0	22	0	0
ENSMUSG00000000340	2168	4.43866185441744	0.0	623	160	0	8	0	0
ENSMUSG00000000346	1265	129.27602650990792	0.0	403	9725	0	233	0	0
ENSMUSG00000000355	124	8.322490977032698	0.0	36	371	0	15	0	0
ENSMUSG00000000359	477	0.0	0	128	0	0	0	0	0
ENSMUSG00000000365	631	0.0	0	202	0	0	0	0	0
ENSMUSG00000000374	1505	11.651487367845778	0.0	418	776	0	21	0	0
ENSMUSG00000000378	1329	24.967472931098097	0.0	276	767	0	45	0	0
ENSMUSG00000000381	131	0.0	0	31	0	0	0	0	0
ENSMUSG00000000384	1518	0.0	0	322	0	0	0	0	0
ENSMUSG00000000385	1558	12.76115283145014	0.0	463	690	0	23	0	0
ENSMUSG00000000386	1653	0.0	0	419	0	0	0	0	0
ENSMUSG00000000392	564	25.52230566290028	0.0	151	782	0	46	0	0
ENSMUSG00000000394	448	0.0	0	151	0	0	0	0	0
ENSMUSG00000000399	321	17.75464741766976	0.0	96	366	0	32	0	0
ENSMUSG00000000402	854	0.0	0	281	0	0	0	0	0
ENSMUSG00000000409	903	0.0	0	271	0	0	0	0	0
ENSMUSG00000000411	57	0.0	0	7	0	0	0	0	0
ENSMUSG00000000416	4511	0.0	0	1239	0	0	0	0	0
ENSMUSG00000000420	4865	33.289963908130794	0.0	1559	1514	0	60	0	26
ENSMUSG00000000435	1112	0.0	0	420	0	0	0	0	0
ENSMUSG00000000439	4893	0.0	0	1319	0	0	0	0	0
ENSMUSG00000000440	403	0.0	0	135	0	0	0	0	0
ENSMUSG00000000441	1265	0.0	0	358	0	0	0	0	0
ENSMUSG00000000486	411	2.21933092720872	0.0	85	8	0	4	0	0
ENSMUSG00000000489	1408	29.960967517317716	0.0	369	1602	0	54	0	0
ENSMUSG00000000530	2345	42.16728761696567	0.0	517	1444	0	76	0	4
ENSMUSG00000000531	740	0.0	0	163	0	0	0	0	0
ENSMUSG00000000532	2822	99.31505899259021	0.0	752	6617	0	179	0	0
ENSMUSG00000000538	8485	28.851302053713354	0.0	2122	1440	0	52	0	0
ENSMUSG00000000544	2403	0.0	0	621	0	0	0	0	0
ENSMUSG00000000552	2187	142.03717934135807	0.0	399	3941	0	256	0	4
ENSMUSG00000000555	4927	0.0	0	1022	0	0	0	0	0
ENSMUSG00000000560	8950	24.967472931098097	0.0	2606	1310	0	45	0	0
ENSMUSG00000000561	6878	26.631971126504638	0.0	2061	1760	0	48	0	0
ENSMUSG00000000562	1489	0.0	0	413	0	0	0	0	0
ENSMUSG00000000563	1418	145.92100846397332	0.0	415	8548	0	263	0	0
ENSMUSG00000000567	2250	230.81041642970683	0.0	788	13878	0	416	0	0
ENSMUSG00000000568	8534	377.2862576254824	0.0	2915	23902	0	680	0	1
ENSMUSG00000000579	2108	0.0	0	565	0	0	0	0	0
ENSMUSG00000000581	2481	0.0	0	896	0	0	0	0	0
ENSMUSG00000000594	3496	21.083643808482837	0.0	1000	915	0	38	0	6
ENSMUSG00000000600	5621	0.0	0	1935	0	0	0	0	0
ENSMUSG00000000605	4125	31.625465712724253	0.0	1199	1557	0	57	0	0
ENSMUSG00000000606	4565	0.0	0	1214	0	0	0	0	0
ENSMUSG00000000617	3067	0.0	0	938	0	0	0	0	0
ENSMUSG00000000627	2287	0.0	0	579	0	0	0	0	0
ENSMUSG00000000628	2285	0.0	0	657	0	0	0	0	0
ENSMUSG00000000631	3781	57.70260410742671	0.0	864	2185	0	104	0	0
ENSMUSG00000000632	4052	141.48234660955586	0.0	945	9477	0	255	0	3
ENSMUSG00000000673	1313	0.0	0	293	0	0	0	0	0
ENSMUSG00000000682	191	0.0	0	32	0	0	0	0	0
ENSMUSG00000000686	1736	0.0	0	444	0	0	0	0	0
ENSMUSG00000000690	1281	0.0	0	298	0	0	0	0	0
ENSMUSG00000000693	1689	8.87732370883488	0.0	379	544	0	16	0	0
ENSMUSG00000000701	618	0.0	0	186	0	0	0	0	0
ENSMUSG00000000706	2085	0.0	0	640	0	0	0	0	0
ENSMUSG00000000708	2190	0.0	0	754	0	0	0	0	0
ENSMUSG00000000711	2355	74.34758606149211	0.0	699	5203	0	134	0	24
