"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","48/909","325/22707",5.00328972102419e-15,3.8228654191207e-12,2.94763044158517e-12,"12709/22154/19088/12317/18749/104771/18747/11789/22190/18002/18412/56486/14950/216080/20610/19084/67128/22627/22631/51789/22143/110213/12575/21991/110355/19275/329165/109331/269523/20481/22223/57436/67443/53376/19087/78832/22195/56424/217692/18521/19229/11465/229521/68441/225896/93765/66105/56550",48
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","46/909","306/22707",9.55716354780175e-15,3.8228654191207e-12,2.94763044158517e-12,"12709/22154/19088/12317/18749/104771/18747/11789/22190/18002/18412/56486/14950/216080/19084/67128/22627/22631/51789/22143/110213/12575/21991/110355/329165/109331/269523/20481/22223/57436/67443/53376/19087/78832/22195/56424/217692/18521/19229/11465/229521/68441/225896/93765/66105/56550",46
"GO:0032550","GO:0032550","purine ribonucleoside binding","48/909","361/22707",2.87087191865247e-13,4.96213374374451e-11,3.8260662813609e-11,"22154/12540/77015/11749/19324/11844/217378/19325/217869/69635/14661/76338/22143/213990/19328/57440/14680/22145/68724/68365/67059/14683/19744/19384/19346/19139/14681/19339/17532/270192/60596/75141/13627/14904/59021/11840/68939/11842/11852/19762/22151/22152/22153/68441/18951/22142/19326/19349",48
"GO:0019001","GO:0019001","guanyl nucleotide binding","49/909","377/22707",3.85554916779922e-13,4.96213374374451e-11,3.8260662813609e-11,"22154/12540/77015/11749/19324/11844/217378/19325/217869/69635/14661/76338/22143/213990/19328/23984/57440/14680/22145/68724/68365/67059/14683/19744/19384/19346/19139/14681/19339/17532/270192/60596/75141/13627/14904/59021/11840/68939/11842/11852/19762/22151/22152/22153/68441/18951/22142/19326/19349",49
"GO:0032561","GO:0032561","guanyl ribonucleotide binding","49/909","377/22707",3.85554916779922e-13,4.96213374374451e-11,3.8260662813609e-11,"22154/12540/77015/11749/19324/11844/217378/19325/217869/69635/14661/76338/22143/213990/19328/23984/57440/14680/22145/68724/68365/67059/14683/19744/19384/19346/19139/14681/19339/17532/270192/60596/75141/13627/14904/59021/11840/68939/11842/11852/19762/22151/22152/22153/68441/18951/22142/19326/19349",49
"GO:0032549","GO:0032549","ribonucleoside binding","48/909","364/22707",3.91771954682624e-13,4.96213374374451e-11,3.8260662813609e-11,"22154/12540/77015/11749/19324/11844/217378/19325/217869/69635/14661/76338/22143/213990/19328/57440/14680/22145/68724/68365/67059/14683/19744/19384/19346/19139/14681/19339/17532/270192/60596/75141/13627/14904/59021/11840/68939/11842/11852/19762/22151/22152/22153/68441/18951/22142/19326/19349",48
"GO:0001883","GO:0001883","purine nucleoside binding","48/909","365/22707",4.34186702577644e-13,4.96213374374451e-11,3.8260662813609e-11,"22154/12540/77015/11749/19324/11844/217378/19325/217869/69635/14661/76338/22143/213990/19328/57440/14680/22145/68724/68365/67059/14683/19744/19384/19346/19139/14681/19339/17532/270192/60596/75141/13627/14904/59021/11840/68939/11842/11852/19762/22151/22152/22153/68441/18951/22142/19326/19349",48
"GO:0001882","GO:0001882","nucleoside binding","48/909","374/22707",1.07521344129741e-12,1.07521344129741e-10,8.29046153421427e-11,"22154/12540/77015/11749/19324/11844/217378/19325/217869/69635/14661/76338/22143/213990/19328/57440/14680/22145/68724/68365/67059/14683/19744/19384/19346/19139/14681/19339/17532/270192/60596/75141/13627/14904/59021/11840/68939/11842/11852/19762/22151/22152/22153/68441/18951/22142/19326/19349",48
"GO:0005525","GO:0005525","GTP binding","46/909","354/22707",2.06308452537379e-12,1.83385291144337e-10,1.41399711329712e-10,"22154/12540/11749/19324/11844/217378/19325/217869/69635/14661/76338/22143/213990/19328/57440/14680/22145/68724/68365/67059/14683/19744/19384/19346/14681/19339/17532/270192/60596/75141/13627/14904/59021/11840/68939/11842/11852/19762/22151/22152/22153/68441/18951/22142/19326/19349",46
"GO:0008022","GO:0008022","protein C-terminus binding","34/909","234/22707",7.73935925192501e-11,6.19148740154001e-09,4.77396265434532e-09,"26400/14470/19047/26395/12387/268859/22196/216965/54401/19052/19042/23825/21372/11931/20262/53378/20404/266781/11938/11941/19339/116733/21750/17999/18195/20979/104418/72205/67300/56459/21413/73689/19229/22630",34
"GO:0035254","GO:0035254","glutamate receptor binding","18/909","68/22707",1.13732812890573e-10,8.2714773011326e-09,6.37774434008382e-09,"12313/76709/12387/26556/18412/12315/11540/12330/12322/17754/14683/11941/19259/17999/18195/12569/246317/19122",18
"GO:0003924","GO:0003924","GTPase activity","38/909","291/22707",1.50380909237642e-10,1.00253939491761e-08,7.73010638712791e-09,"22154/12540/19324/217378/19325/14706/76338/22143/213990/19328/14680/22145/68365/14683/19744/14688/19384/19346/14681/19339/17532/270192/75141/13627/14904/59021/14708/68939/11852/19762/22151/22152/22153/68441/18951/22142/19326/19349",38
"GO:0003712","GO:0003712","transcription coregulator activity","47/909","454/22707",2.9250016965704e-09,1.80000104404332e-07,1.38789554185446e-07,"69792/15191/24068/12387/239719/18412/12261/13207/217166/66505/20024/64898/66556/67155/94275/21372/22215/67991/17536/170791/20482/109331/56273/20481/11569/19777/66995/93686/170826/106931/72693/268448/20473/22195/216825/230753/69090/70350/101206/18751/21413/18148/17933/30928/16478/56353/58521",47
"GO:0019829","GO:0019829","ATPase-coupled cation transmembrane transporter activity","14/909","49/22707",4.49207654831819e-09,2.50622888837448e-07,1.93243437972032e-07,"11972/11973/67972/73834/66237/11947/11931/11938/11941/108664/66290/76252/232975/11964",14
"GO:0044325","GO:0044325","ion channel binding","23/909","136/22707",4.69917916570215e-09,2.50622888837448e-07,1.93243437972032e-07,"12313/12387/26556/22629/20266/12315/19052/22333/15902/22627/19042/22631/83814/20614/18578/14225/77574/66797/399548/16500/70357/22630/19122",23
"GO:0003729","GO:0003729","mRNA binding","36/909","301/22707",5.06903352261049e-09,2.53451676130525e-07,1.95424581858536e-07,"11991/14007/15571/12317/13046/13690/16549/268859/15388/12261/27041/80913/13207/68184/108013/52897/22099/109331/15572/12785/67994/19655/16201/76183/93686/19826/66870/67869/66055/13627/208922/23983/83410/15381/19291/233033",36
"GO:0042625","GO:0042625","ATPase-coupled ion transmembrane transporter activity","14/909","51/22707",7.98133499871972e-09,3.75592235233869e-07,2.89601381377694e-07,"11972/11973/67972/73834/66237/11947/11931/11938/11941/108664/66290/76252/232975/11964",14
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","15/909","63/22707",1.95964607579257e-08,8.70953811463366e-07,6.71551228312543e-07,"22154/76709/22143/13823/22145/11518/11461/22003/226180/12323/22151/22152/22153/11465/22142",15
"GO:0003779","GO:0003779","actin binding","43/909","428/22707",3.31496788732862e-08,1.39577595255942e-06,1.07621672131555e-06,"15191/76709/239719/17756/11749/22629/67252/13829/56370/13823/16210/16412/17754/13821/18645/12331/12345/15444/231148/11518/14086/56443/72042/50876/22003/14457/76499/320878/13138/72296/235431/217692/18754/110380/12569/19241/52589/218194/12631/242894/16531/330319/64009",43
"GO:0047485","GO:0047485","protein N-terminus binding","21/909","129/22707",4.34891860570819e-08,1.73956744228328e-06,1.34129805418158e-06,"12313/19047/26395/12315/52696/23825/20910/69601/20614/23897/53378/56273/22003/56737/16500/70357/18148/21761/14415/22630/276770",21
"GO:0030276","GO:0030276","clathrin binding","13/909","52/22707",9.27888555643597e-08,3.53481354530894e-06,2.72552728625137e-06,"18197/68566/20980/80976/72685/18196/20979/67300/74325/216549/52589/231580/229521",13
"GO:0047555","GO:0047555","3',5'-cyclic-GMP phosphodiesterase activity","8/909","19/22707",3.26244949991156e-07,1.18634527269511e-05,9.14734644472811e-06,"19088/19084/18574/23984/19085/18582/19087/18585",8
"GO:0009678","GO:0009678","pyrophosphate hydrolysis-driven proton transmembrane transporter activity","10/909","33/22707",4.02352174226471e-07,1.39948582339642e-05,1.07907722698724e-05,"11972/11973/73834/66237/11947/11938/108664/66290/76252/11964",10
"GO:0004842","GO:0004842","ubiquitin-protein transferase activity","37/909","380/22707",6.48271657579298e-07,2.13381777995282e-05,1.64528581454257e-05,"66089/69792/22196/54197/216080/67245/103583/67128/94090/56438/224938/83814/74126/22215/214931/22193/109331/66743/54484/233877/19647/17999/67455/22195/22214/56424/22129/50849/70093/68846/69807/66349/56736/93765/66105/67923/56550",37
"GO:0005516","GO:0005516","calmodulin binding","24/909","190/22707",6.66818056235257e-07,2.13381777995282e-05,1.64528581454257e-05,"17756/215303/67972/13207/55984/69635/18574/320299/12322/227634/19055/11518/207565/11941/97387/74100/20979/13627/227541/14432/64011/19762/12323/18546",24
"GO:0015631","GO:0015631","tubulin binding","34/909","336/22707",7.6371171872012e-07,2.34988221144652e-05,1.8118828630364e-05,"15191/11789/56398/17756/216965/17762/56486/18472/16593/30960/212307/26921/227634/17754/14683/20262/18578/12345/56273/77521/13426/232944/20866/67443/13191/76499/211134/231807/13138/72205/52589/73689/229521/19122",34
"GO:0004114","GO:0004114","3',5'-cyclic-nucleotide phosphodiesterase activity","9/909","28/22707",8.8197857779067e-07,2.56660679552858e-05,1.97898892392072e-05,"19088/19084/18574/23984/19085/18582/18578/19087/18585",9
"GO:0019787","GO:0019787","ubiquitin-like protein transferase activity","38/909","401/22707",8.98312378435003e-07,2.56660679552858e-05,1.97898892392072e-05,"66089/69792/22196/54197/216080/67245/20610/103583/67128/94090/56438/224938/83814/74126/22215/214931/22193/109331/66743/54484/233877/19647/17999/67455/22195/22214/56424/22129/50849/70093/68846/69807/66349/56736/93765/66105/67923/56550",38
"GO:0004112","GO:0004112","cyclic-nucleotide phosphodiesterase activity","9/909","29/22707",1.23353797819508e-06,3.40286338812437e-05,2.62378677031695e-05,"19088/19084/18574/23984/19085/18582/18578/19087/18585",9
"GO:0015078","GO:0015078","proton transmembrane transporter activity","18/909","120/22707",1.36848849976713e-06,3.64930266604568e-05,2.81380442408259e-05,"12858/11950/12725/11951/11972/228033/11973/73834/66237/11947/11938/17992/108664/12868/66290/76252/11964/67942",18
"GO:0019003","GO:0019003","GDP binding","14/909","77/22707",1.97040168930227e-06,5.08490758529617e-05,3.92073137497836e-05,"19325/19328/68365/19744/19384/19139/17532/59021/11840/11852/19762/18951/19326/19349",14
"GO:0045182","GO:0045182","translation regulator activity","18/909","128/22707",3.53646093222454e-06,8.84115233056134e-05,6.81699377066967e-05,"13690/76846/12261/217869/68184/15572/54709/12785/67869/13627/208922/14904/19290/23983/75705/276770/19291/233033",18
"GO:0000149","GO:0000149","SNARE binding","17/909","118/22707",4.69675985498693e-06,0.00011386084496938,8.77927041474431e-05,"94090/68581/69635/20980/58244/20910/80976/20614/17957/100226/14800/18195/20979/16500/72003/229521/18951",17
"GO:0061650","GO:0061650","ubiquitin-like protein conjugating enzyme activity","10/909","43/22707",5.79328698114599e-06,0.000136312634850494,0.000105104215818933,"22196/216080/67128/22193/22195/22214/70093/93765/66105/56550",10
"GO:0004683","GO:0004683","calmodulin-dependent protein kinase activity","8/909","27/22707",7.20274569509824e-06,0.000164634187316531,0.000126941623378273,"215303/55984/69635/12322/207565/227541/12323/19229",8
"GO:0031489","GO:0031489","myosin V binding","7/909","20/22707",7.89699224854544e-06,0.00016625246839043,0.000128189403258937,"216965/19325/68365/19346/19339/270192/19326",7
"GO:0044769","GO:0044769","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism","7/909","20/22707",7.89699224854544e-06,0.00016625246839043,0.000128189403258937,"11972/11973/73834/11947/108664/76252/11964",7
"GO:0046961","GO:0046961","proton-transporting ATPase activity, rotational mechanism","7/909","20/22707",7.89699224854544e-06,0.00016625246839043,0.000128189403258937,"11972/11973/73834/11947/108664/76252/11964",7
"GO:0015662","GO:0015662","ion transmembrane transporter activity, phosphorylative mechanism","9/909","38/22707",1.4518953781409e-05,0.000297005015376943,0.000229006498698538,"11972/11973/67972/66237/11931/11938/11941/66290/232975",9
"GO:0034236","GO:0034236","protein kinase A catalytic subunit binding","6/909","15/22707",1.48502507688472e-05,0.000297005015376943,0.000229006498698538,"19088/19084/219181/224938/19085/19087",6
"GO:0003713","GO:0003713","transcription coactivator activity","26/909","258/22707",1.59977818770218e-05,0.000312151841502864,0.000240685498842998,"69792/24068/12387/239719/217166/20024/64898/67155/94275/22215/170791/109331/66995/170826/72693/20473/22195/216825/230753/69090/101206/18751/18148/17933/30928/16478",26
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding","14/909","95/22707",2.46029463345686e-05,0.000468627549229878,0.00036133650506409,"13690/12261/217869/68184/54709/67869/13627/208922/14904/19290/23983/75705/276770/19291",14
"GO:0061631","GO:0061631","ubiquitin conjugating enzyme activity","9/909","41/22707",2.80153793015301e-05,0.000521216359098235,0.000401885245304692,"216080/67128/22193/22195/22214/70093/93765/66105/56550",9
"GO:0015077","GO:0015077","monovalent inorganic cation transmembrane transporter activity","32/909","365/22707",3.08198506612794e-05,0.000560360921114171,0.000432067762859085,"12858/11950/12725/11951/11972/57138/228033/20266/11973/11418/73834/20273/66237/11947/11931/20614/11938/17992/108664/14800/12868/66290/76252/232975/399548/16485/16500/11964/70357/67942/16531/72821",32
"GO:0016247","GO:0016247","channel regulator activity","17/909","137/22707",3.481212753147e-05,0.000618882267226133,0.000477190800782255,"59046/22629/20266/22627/83814/12794/18762/20866/17999/18190/56205/399548/18751/70357/13483/18191/72821",17
"GO:0043008","GO:0043008","ATP-dependent protein binding","5/909","11/22707",3.84012451126603e-05,0.000667847741089744,0.000514945758261303,"13002/53817/18195/56459/19122",5
"GO:0004674","GO:0004674","protein serine/threonine kinase activity","37/909","456/22707",4.13529059100898e-05,0.000699508759880089,0.000539358070118069,"26400/26395/18749/18747/215303/216965/19878/24086/55984/50932/69635/26419/51789/93687/12322/110355/11302/26921/59125/70762/18762/207565/232944/18479/18481/382253/26398/227541/50772/104175/18754/18751/12323/19229/330177/231580/26413",37
"GO:0035255","GO:0035255","ionotropic glutamate receptor binding","9/909","43/22707",4.19705255928053e-05,0.000699508759880089,0.000539358070118069,"12387/18412/12330/17754/14683/17999/18195/12569/246317",9
"GO:0042578","GO:0042578","phosphoric ester hydrolase activity","31/909","355/22707",4.39555065443381e-05,0.000717640923172867,0.000553338922341184,"320634/19088/19047/51792/77015/56405/19052/19084/19042/71978/18574/23984/64898/72930/19085/19275/18582/80915/14683/19055/18578/72685/14688/19277/56420/19259/19087/19058/219024/18585/57028",31
"GO:0042626","GO:0042626","ATPase-coupled transmembrane transporter activity","14/909","101/22707",4.94597616358251e-05,0.000791356186173202,0.000610177269865127,"11972/11973/67972/73834/66237/11947/11931/11938/11941/108664/66290/76252/232975/11964",14
