"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031625","GO:0031625","ubiquitin protein ligase binding","5/35","306/22707",0.000100226297287147,0.00698229407547911,0.00344989825426465,"18053/18747/18749/20585/22154",5
"GO:0005200","GO:0005200","structural constituent of cytoskeleton","3/35","63/22707",0.000125031459499452,0.00698229407547911,0.00344989825426465,"22154/56378/67951",3
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","5/35","325/22707",0.000132899779218303,0.00698229407547911,0.00344989825426465,"18053/18747/18749/20585/22154",5
"GO:0031748","GO:0031748","D1 dopamine receptor binding","2/35","13/22707",0.000178119746823447,0.00698229407547911,0.00344989825426465,"12390/14683",2
"GO:0097617","GO:0097617","annealing activity","2/35","13/22707",0.000178119746823447,0.00698229407547911,0.00344989825426465,"13205/14359",2
"GO:0034237","GO:0034237","protein kinase A regulatory subunit binding","2/35","22/22707",0.000522932168239428,0.0170824508291546,0.00844030868035567,"18747/18749",2
"GO:0050780","GO:0050780","dopamine receptor binding","2/35","24/22707",0.000623594051710345,0.0174606334478897,0.0086271658281732,"12390/14683",2
"GO:0031435","GO:0031435","mitogen-activated protein kinase kinase kinase binding","2/35","26/22707",0.000732885106762069,0.0179556851156707,0.00887176708185662,"12390/23994",2
"GO:0003924","GO:0003924","GTPase activity","4/35","291/22707",0.00101165206929676,0.0213002739623742,0.0105243029244814,"13205/14683/22154/67951",4
"GO:0005484","GO:0005484","SNAP receptor activity","2/35","33/22707",0.00118262329343184,0.0213002739623742,0.0105243029244814,"20907/56418",2
"GO:0044325","GO:0044325","ion channel binding","3/35","136/22707",0.00119542353870468,0.0213002739623742,0.0105243029244814,"12387/18578/20907",3
"GO:0043539","GO:0043539","protein serine/threonine kinase activator activity","2/35","38/22707",0.00156699979711287,0.0255943300195102,0.0126459632749459,"13205/23994",2
"GO:0035255","GO:0035255","ionotropic glutamate receptor binding","2/35","43/22707",0.0020031036317283,0.0286040756577589,0.0141330556418572,"12387/14683",2
"GO:0019887","GO:0019887","protein kinase regulator activity","3/35","164/22707",0.00204314826126849,0.0286040756577589,0.0141330556418572,"13205/23994/56398",3
"GO:0030674","GO:0030674","protein-macromolecule adaptor activity","3/35","183/22707",0.00278793752152924,0.03572081516966,0.0176493823609491,"12390/20907/56418",3
"GO:0051018","GO:0051018","protein kinase A binding","2/35","52/22707",0.00291598491180898,0.03572081516966,0.0176493823609491,"18747/18749",2
"GO:0000287","GO:0000287","magnesium ion binding","3/35","194/22707",0.00328643456415681,0.0357856208097075,0.0176814023334752,"18747/18749/212627",3
"GO:0019207","GO:0019207","kinase regulator activity","3/35","194/22707",0.00328643456415681,0.0357856208097075,0.0176814023334752,"13205/23994/56398",3
"GO:0035254","GO:0035254","glutamate receptor binding","2/35","68/22707",0.00493280427830526,0.0438183407631771,0.0216503080032884,"12387/14683",2
"GO:0008047","GO:0008047","enzyme activator activity","4/35","452/22707",0.00497899008725706,0.0438183407631771,0.0216503080032884,"13205/14683/18753/23994",4
"GO:0004674","GO:0004674","protein serine/threonine kinase activity","4/35","456/22707",0.00513582204064466,0.0438183407631771,0.0216503080032884,"18747/18749/18753/269774",4
"GO:0001085","GO:0001085","RNA polymerase II transcription factor binding","2/35","70/22707",0.00521939648446588,0.0438183407631771,0.0216503080032884,"12387/21679",2
"GO:0070491","GO:0070491","repressing transcription factor binding","2/35","70/22707",0.00521939648446588,0.0438183407631771,0.0216503080032884,"12387/57441",2
"GO:0048306","GO:0048306","calcium-dependent protein binding","2/35","71/22707",0.00536551111385842,0.0438183407631771,0.0216503080032884,"20907/56398",2
"GO:0030295","GO:0030295","protein kinase activator activity","2/35","80/22707",0.00676406049916453,0.0530302343134499,0.0262018343546584,"13205/23994",2
"GO:0060090","GO:0060090","molecular adaptor activity","3/35","258/22707",0.00725623510218312,0.0537576831467127,0.0265612612754971,"12390/20907/56418",3
"GO:0003725","GO:0003725","double-stranded RNA binding","2/35","84/22707",0.00743319897790075,0.0537576831467127,0.0265612612754971,"13205/14359",2
"GO:0019209","GO:0019209","kinase activator activity","2/35","86/22707",0.00777857378536427,0.0537576831467127,0.0265612612754971,"13205/23994",2
"GO:0008081","GO:0008081","phosphoric diester hydrolase activity","2/35","87/22707",0.00795394291456463,0.0537576831467127,0.0265612612754971,"14683/18578",2
"GO:0033613","GO:0033613","activating transcription factor binding","2/35","90/22707",0.00849071014098811,0.055472639587789,0.0274086081744178,"12387/17261",2
"GO:0003727","GO:0003727","single-stranded RNA binding","2/35","96/22707",0.00961171416249815,0.0607708379306334,0.0300264075704526,"13205/14359",2
"GO:0003729","GO:0003729","mRNA binding","3/35","301/22707",0.0110341623376099,0.0633944496263254,0.0313227141010845,"13205/14359/229279",3
"GO:0000149","GO:0000149","SNARE binding","2/35","118/22707",0.0142462000891408,0.0633944496263254,0.0313227141010845,"12390/20907",2
"GO:0015631","GO:0015631","tubulin binding","3/35","336/22707",0.0148127290729121,0.0633944496263254,0.0313227141010845,"14683/18578/56398",3
"GO:0042826","GO:0042826","histone deacetylase binding","2/35","121/22707",0.0149399153044926,0.0633944496263254,0.0313227141010845,"17261/57441",2
"GO:0002151","GO:0002151","G-quadruplex RNA binding","1/35","10/22707",0.0153102880492066,0.0633944496263254,0.0313227141010845,"14359",1
"GO:0008474","GO:0008474","palmitoyl-(protein) hydrolase activity","1/35","10/22707",0.0153102880492066,0.0633944496263254,0.0313227141010845,"216169",1
"GO:0019869","GO:0019869","chloride channel inhibitor activity","1/35","10/22707",0.0153102880492066,0.0633944496263254,0.0313227141010845,"20907",1
"GO:0031628","GO:0031628","opioid receptor binding","1/35","10/22707",0.0153102880492066,0.0633944496263254,0.0313227141010845,"14683",1
"GO:0035612","GO:0035612","AP-2 adaptor complex binding","1/35","10/22707",0.0153102880492066,0.0633944496263254,0.0313227141010845,"269774",1
"GO:0098599","GO:0098599","palmitoyl hydrolase activity","1/35","10/22707",0.0153102880492066,0.0633944496263254,0.0313227141010845,"216169",1
"GO:0098879","GO:0098879","structural constituent of postsynaptic specialization","1/35","10/22707",0.0153102880492066,0.0633944496263254,0.0313227141010845,"224997",1
"GO:0005391","GO:0005391","sodium:potassium-exchanging ATPase activity","1/35","11/22707",0.0168287327739841,0.0633944496263254,0.0313227141010845,"192113",1
"GO:0008554","GO:0008554","sodium transmembrane transporter activity, phosphorylative mechanism","1/35","11/22707",0.0168287327739841,0.0633944496263254,0.0313227141010845,"192113",1
