# name:RT_Gad2_3
gene_name	length	readsCPM	conversionRate	Tcontent	coverageOnTs	conversionsOnTs	readCount	tcReadCount	multimapCount
ENSMUSG00000000001	2056	0.0	0	710	0	0	0	0	0
ENSMUSG00000000003	450	0.0	0	181	0	0	0	0	0
ENSMUSG00000000028	250	0.0	0	103	0	0	0	0	0
ENSMUSG00000000037	6211	0.0	0	2345	0	0	0	0	0
ENSMUSG00000000049	101	0.0	0	36	0	0	0	0	0
ENSMUSG00000000056	2934	1.0141242721404737	0.0	772	384	0	9	0	4
ENSMUSG00000000058	3004	0.0	0	1014	0	0	0	0	0
ENSMUSG00000000078	3867	0.788763322775924	0.0	1163	53	0	7	0	0
ENSMUSG00000000085	1491	36.84651522110388	0.0	390	9508	0	327	0	0
ENSMUSG00000000088	155	262.2074645856536	0.0016979768786127168	53	83040	141	2327	68	3
ENSMUSG00000000093	934	0.0	0	235	0	0	0	0	0
ENSMUSG00000000094	2702	0.0	0	729	0	0	0	0	0
ENSMUSG00000000103	408	0.0	0	148	0	0	0	0	0
ENSMUSG00000000120	1985	38.649402816020284	0.0	442	7514	0	343	0	0
ENSMUSG00000000125	1889	9.127118449264264	0.0	508	2289	0	81	0	0
ENSMUSG00000000126	2177	4.61989946197327	0.0	562	1384	0	41	0	0
ENSMUSG00000000127	2015	0.33804142404682463	0.0	618	33	0	3	0	0
ENSMUSG00000000131	4467	116.73697177083676	0.0	1160	36745	0	1036	0	0
ENSMUSG00000000134	7673	207.33207341538576	0.00018950879320800486	1789	52768	10	1840	5	0
ENSMUSG00000000142	1504	0.45072189872909946	0.0	396	80	0	4	0	0
ENSMUSG00000000148	4777	4.281858037926445	0.0	1096	323	0	38	0	0
ENSMUSG00000000149	2497	13.634337436555258	0.0	588	4245	0	121	0	0
ENSMUSG00000000154	1458	0.0	0	375	0	0	0	0	0
ENSMUSG00000000157	1555	0.0	0	369	0	0	0	0	0
ENSMUSG00000000159	1740	0.0	0	458	0	0	0	0	0
ENSMUSG00000000167	572	0.0	0	141	0	0	0	0	0
ENSMUSG00000000168	1792	76.28468135990008	0.004970961708829609	556	20318	101	677	36	52
ENSMUSG00000000171	728	106.03232667602065	0.0	219	24241	0	941	0	5
ENSMUSG00000000182	930	0.0	0	239	0	0	0	0	0
ENSMUSG00000000183	4030	0.0	0	1074	0	0	0	0	0
ENSMUSG00000000184	5792	23.099497309866347	0.0	1697	6870	0	205	0	3
ENSMUSG00000000194	4435	28.95888199334464	0.0	1097	7008	0	257	0	0
ENSMUSG00000000197	1534	12.169491265685686	0.0	517	3924	0	108	0	0
ENSMUSG00000000202	231	0.11268047468227486	0.0	51	2	0	1	0	1
ENSMUSG00000000204	2592	0.0	0	995	0	0	0	0	0
ENSMUSG00000000214	2106	170.3728777195996	0.0	507	37434	0	1512	0	0
ENSMUSG00000000215	574	0.0	0	121	0	0	0	0	0
ENSMUSG00000000216	926	0.0	0	249	0	0	0	0	0
ENSMUSG00000000223	5096	5.295982310066918	0.0	1460	1744	0	47	0	0
ENSMUSG00000000244	3591	0.0	0	968	0	0	0	0	0
ENSMUSG00000000247	1110	16.11330787956531	0.0	294	2684	0	143	0	0
ENSMUSG00000000248	3796	0.0	0	1143	0	0	0	0	0
ENSMUSG00000000253	329	160.34431547287713	0.00308351932338776	92	34052	105	1423	57	39
ENSMUSG00000000263	575	0.45072189872909946	0.0	116	24	0	4	0	0
ENSMUSG00000000266	3948	2.1409290189632224	0.0	1284	384	0	19	0	0
ENSMUSG00000000275	3728	0.5634023734113743	0.0	1098	70	0	5	0	0
ENSMUSG00000000276	10681	36.170432373010236	0.0	3258	12270	0	321	0	0
ENSMUSG00000000278	642	0.33804142404682463	0.0	164	66	0	3	0	0
ENSMUSG00000000282	2405	6.422787056889668	0.0	588	1200	0	57	0	0
ENSMUSG00000000290	3320	0.0	0	778	0	0	0	0	0
ENSMUSG00000000295	661	10.366603670769287	0.0	159	2044	0	92	0	0
ENSMUSG00000000296	1779	8.225674651806065	0.0	531	1438	0	73	0	0
ENSMUSG00000000301	204	0.0	0	39	0	0	0	0	0
ENSMUSG00000000303	2063	0.0	0	643	0	0	0	0	0
ENSMUSG00000000305	3658	5.408662784749194	0.0	855	785	0	48	0	0
ENSMUSG00000000308	910	44.17074607545175	0.0	193	7265	0	392	0	0
ENSMUSG00000000317	1899	0.0	0	587	0	0	0	0	0
ENSMUSG00000000318	1002	0.45072189872909946	0.0	312	54	0	4	0	0
ENSMUSG00000000320	2000	0.0	0	524	0	0	0	0	0
ENSMUSG00000000325	7008	8.11299417712379	0.0	1663	1431	0	72	0	0
ENSMUSG00000000326	1815	104.56748050515108	0.0	386	21099	0	928	0	4
ENSMUSG00000000339	1006	22.198053512408148	0.024365184206663733	248	6813	166	197	57	0
ENSMUSG00000000340	2168	7.098869904983316	0.0	623	3118	0	63	0	0
ENSMUSG00000000346	1265	110.65222613799392	0.0011800992356175407	403	37285	44	982	21	27
ENSMUSG00000000355	124	17.80351499979943	0.0	36	3563	0	158	0	0
ENSMUSG00000000359	477	0.0	0	128	0	0	0	0	0
ENSMUSG00000000365	631	0.0	0	202	0	0	0	0	0
ENSMUSG00000000374	1505	6.8735089556187665	0.0	418	2537	0	61	0	0
ENSMUSG00000000378	1329	61.52353917652207	0.0	276	6273	0	546	0	0
ENSMUSG00000000381	131	0.0	0	31	0	0	0	0	0
ENSMUSG00000000384	1518	2.704331392374597	0.0	322	234	0	24	0	0
ENSMUSG00000000385	1558	0.0	0	463	0	0	0	0	0
ENSMUSG00000000386	1653	0.0	0	419	0	0	0	0	0
ENSMUSG00000000392	564	0.0	0	151	0	0	0	0	0
ENSMUSG00000000394	448	1.9155680695986728	0.0	151	610	0	17	0	0
ENSMUSG00000000399	321	33.35342050595336	0.016383495145631068	96	3296	54	296	56	0
ENSMUSG00000000402	854	0.0	0	281	0	0	0	0	0
ENSMUSG00000000409	903	5.859384683478293	0.0	271	1159	0	52	0	0
ENSMUSG00000000411	57	0.0	0	7	0	0	0	0	0
ENSMUSG00000000416	4511	14.648461708695732	0.0	1239	3771	0	130	0	3
ENSMUSG00000000420	4865	38.9874442400671	0.0	1559	11091	0	346	0	12
ENSMUSG00000000435	1112	0.0	0	420	0	0	0	0	0
ENSMUSG00000000439	4893	2.8170118670568716	0.0	1319	367	0	25	0	0
ENSMUSG00000000440	403	0.0	0	135	0	0	0	0	0
ENSMUSG00000000441	1265	29.973006265485115	0.002056343820686819	358	9726	20	266	10	0
ENSMUSG00000000486	411	0.22536094936454973	0.0	85	18	0	2	0	0
ENSMUSG00000000489	1408	6.8735089556187665	0.0	369	2358	0	61	0	0
ENSMUSG00000000530	2345	0.0	0	517	0	0	0	0	0
ENSMUSG00000000531	740	19.04300022130445	0.0	163	4913	0	169	0	1
ENSMUSG00000000532	2822	88.22881167622123	0.003118607692565642	752	29821	93	783	46	1
ENSMUSG00000000538	8485	80.2284979737797	0.0	2122	21258	0	712	0	2
ENSMUSG00000000544	2403	0.0	0	621	0	0	0	0	0
ENSMUSG00000000552	2187	196.2893868965228	0.003631151457238414	399	31395	114	1742	58	18
ENSMUSG00000000555	4927	2.0282485442809475	0.0	1022	188	0	18	0	0
ENSMUSG00000000560	8950	32.56465718317743	0.0	2606	7313	0	289	0	2
ENSMUSG00000000561	6878	33.80414240468246	0.0	2061	7586	0	300	0	0
ENSMUSG00000000562	1489	0.0	0	413	0	0	0	0	0
ENSMUSG00000000563	1418	324.40708661026935	0.0014777705577797807	415	95414	141	2879	83	2
ENSMUSG00000000567	2250	41.128373259030326	0.0	788	10399	0	365	0	1
ENSMUSG00000000568	8534	204.8531029723757	0.00016338801385530358	2915	61204	10	1818	5	0
ENSMUSG00000000579	2108	0.5634023734113743	0.0	565	120	0	5	0	5
ENSMUSG00000000581	2481	19.831763544080378	0.0002962962962962963	896	6750	2	176	1	0
ENSMUSG00000000594	3496	2.3662899683277723	0.0	1000	462	0	21	0	0
ENSMUSG00000000600	5621	1.2394852215050236	0.0	1935	154	0	11	0	0
ENSMUSG00000000605	4125	40.903012309665776	0.012684989429175475	1199	7095	90	363	45	0
ENSMUSG00000000606	4565	0.0	0	1214	0	0	0	0	0
ENSMUSG00000000617	3067	0.0	0	938	0	0	0	0	0
ENSMUSG00000000627	2287	16.564029778294405	0.0	579	3178	0	147	0	0
ENSMUSG00000000628	2285	0.45072189872909946	0.0	657	175	0	4	0	0
ENSMUSG00000000631	3781	24.677023955418196	0.0	864	4511	0	219	0	28
ENSMUSG00000000632	4052	86.5386045559871	0.021829776796664212	945	24462	534	768	189	0
ENSMUSG00000000673	1313	0.0	0	293	0	0	0	0	0
