"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"M00146","M00146","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex","13/275","15/844",2.01661522756908e-05,0.000907476852406088,0.000827873619738887,"69875/17991/54405/66414/67130/68202/67273/68375/17992/70316/66091/67184/66416",13
"M00009","M00009","Citrate cycle (TCA cycle, Krebs cycle)","17/275","24/844",0.000112513885580564,0.00168770828370845,0.00153966369741824,"66925/15929/78920/12974/67680/17448/17449/18293/66945/20916/11429/15926/14194/269951/67834/56451/66052",17
"M00160","M00160","V-type ATPase, eukaryotes","17/275","24/844",0.000112513885580564,0.00168770828370845,0.00153966369741824,"66144/11966/11972/11974/54411/11973/11975/73834/66335/11984/66237/114143/108664/21871/66290/76252/11964",17
"M00011","M00011","Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate","11/275","14/844",0.000499161928193129,0.0056155716921727,0.00512297768408738,"66925/78920/67680/17448/17449/18293/66945/20916/14194/56451/66052",11
"M00158","M00158","F-type ATPase, eukaryotes","12/275","17/844",0.00134694748002597,0.0121225273202337,0.0110591477307395,"11950/66043/11951/228033/11957/28080/11947/11946/11949/57423/27425/67942",12
"M00147","M00147","NADH dehydrogenase (ubiquinone) 1 beta subcomplex","8/275","14/844",0.0492568356287155,0.339801443840526,0.309994299643989,"68194/100041273/100042503/67264/66495/66046/68197/104130",8
"M00010","M00010","Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate","6/275","10/844",0.0679602887681052,0.339801443840526,0.309994299643989,"15929/12974/11429/15926/269951/67834",6
"M00059","M00059","Glycosaminoglycan biosynthesis, heparan sulfate backbone","6/275","10/844",0.0679602887681052,0.339801443840526,0.309994299643989,"54616/58193/83398/56219/15531/14042",6
"M00152","M00152","Cytochrome bc1 complex","6/275","10/844",0.0679602887681052,0.339801443840526,0.309994299643989,"66594/67003/66694/22272/66152/66576",6
"M00143","M00143","NADH dehydrogenase (ubiquinone) Fe-S protein/flavoprotein complex, mitochondria","6/275","11/844",0.109657720654435,0.454167934853064,0.414328642322094,"226646/78330/227197/595136/17995/225887",6
"M00075","M00075","N-glycan biosynthesis, complex type","8/275","16/844",0.111018828519638,0.454167934853064,0.414328642322094,"20440/240119/269181/107895/103534/140481/268510/217664",8
"M00001","M00001","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate","12/275","29/844",0.202264045356004,0.758490170085017,0.691955944638962,"13807/18648/18641/56421/72141/11674/18746/15275/14433/433182/353204/18655",12
"M00035","M00035","Methionine degradation","5/275","11/844",0.269343441285787,0.862328381168098,0.786685540714756,"229709/74340/108645/11615/232087",5
"M00154","M00154","Cytochrome c oxidase","10/275","25/844",0.273836041667661,0.862328381168098,0.786685540714756,"12858/20463/66142/12857/12866/12868/110323/12861/12856/12859",10
