# name:RT_vGluT2_3
gene_name	length	readsCPM	conversionRate	Tcontent	coverageOnTs	conversionsOnTs	readCount	tcReadCount	multimapCount
ENSMUSG00000000001	2056	2.1881928926821557	0.0	710	2180	0	39	0	0
ENSMUSG00000000003	450	0.0	0	181	0	0	0	0	0
ENSMUSG00000000028	250	3.4786656242639395	0.0	103	1840	0	62	0	0
ENSMUSG00000000037	6211	0.0	0	2345	0	0	0	0	0
ENSMUSG00000000049	101	0.0	0	36	0	0	0	0	0
ENSMUSG00000000056	2934	3.1981280739200733	0.0	772	1631	0	57	0	1
ENSMUSG00000000058	3004	0.6732901208252786	0.0	1014	188	0	12	0	0
ENSMUSG00000000078	3867	22.274681497302968	0.0	1163	13241	0	397	0	0
ENSMUSG00000000085	1491	39.89243965889776	0.0006770098730606489	390	17725	12	711	6	0
ENSMUSG00000000088	155	172.92334603195906	0.004282043962318013	53	108593	465	3082	208	5
ENSMUSG00000000093	934	0.0	0	235	0	0	0	0	0
ENSMUSG00000000094	2702	0.0	0	729	0	0	0	0	0
ENSMUSG00000000103	408	0.056107510068773216	0.0	148	6	0	1	0	1
ENSMUSG00000000120	1985	1.1782577114442376	0.0	442	614	0	21	0	0
ENSMUSG00000000125	1889	8.416126510315983	0.0	508	3937	0	150	0	0
ENSMUSG00000000126	2177	1.9076553423382892	0.0	562	966	0	34	0	0
ENSMUSG00000000127	2015	4.208063255157992	0.0	618	3333	0	75	0	0
ENSMUSG00000000131	4467	105.48211892929365	0.002540800688301562	1160	74386	189	1880	108	0
ENSMUSG00000000134	7673	135.49963681608733	0.0	1789	71676	0	2415	0	0
ENSMUSG00000000142	1504	2.4687304430260215	0.0	396	2217	0	44	0	0
ENSMUSG00000000148	4777	2.4687304430260215	0.0	1096	1039	0	44	0	0
ENSMUSG00000000149	2497	1.795440322200743	0.0	588	630	0	32	0	0
ENSMUSG00000000154	1458	0.0	0	375	0	0	0	0	0
ENSMUSG00000000157	1555	0.0	0	369	0	0	0	0	0
ENSMUSG00000000159	1740	0.0	0	458	0	0	0	0	0
ENSMUSG00000000167	572	0.0	0	141	0	0	0	0	0
ENSMUSG00000000168	1792	47.80359857859478	0.0	556	28699	0	852	0	125
ENSMUSG00000000171	728	76.97950381435686	0.00222479052297024	219	34610	77	1372	59	4
ENSMUSG00000000182	930	0.0	0	239	0	0	0	0	0
ENSMUSG00000000183	4030	0.0	0	1074	0	0	0	0	0
ENSMUSG00000000184	5792	36.13323648428996	0.0	1697	17924	0	644	0	9
ENSMUSG00000000194	4435	27.717109973973972	0.0	1097	12080	0	494	0	0
ENSMUSG00000000197	1534	11.726469604373602	0.0	517	9459	0	209	0	1
