# name:RT_vGluT2_1
gene_name	length	readsCPM	conversionRate	Tcontent	coverageOnTs	conversionsOnTs	readCount	tcReadCount	multimapCount
ENSMUSG00000000001	2056	13.998834579074067	0.0	710	10514	0	195	0	0
ENSMUSG00000000003	450	0.0	0	181	0	0	0	0	0
ENSMUSG00000000028	250	0.0	0	103	0	0	0	0	0
ENSMUSG00000000037	6211	0.0	0	2345	0	0	0	0	0
ENSMUSG00000000049	101	0.0	0	36	0	0	0	0	0
ENSMUSG00000000056	2934	2.0100890677644814	0.0	772	625	0	28	0	0
ENSMUSG00000000058	3004	0.0	0	1014	0	0	0	0	0
ENSMUSG00000000078	3867	22.39813532651851	0.0054993616812334285	1163	10183	56	312	28	14
ENSMUSG00000000085	1491	16.79860149488888	0.0	390	8353	0	234	0	0
ENSMUSG00000000088	155	186.29218324460106	0.0004133804732118575	53	91925	38	2595	19	7
ENSMUSG00000000093	934	0.0	0	235	0	0	0	0	0
ENSMUSG00000000094	2702	0.14357779055460582	0.0	729	8	0	2	0	0
ENSMUSG00000000103	408	0.0	0	148	0	0	0	0	0
ENSMUSG00000000120	1985	7.035311737175686	0.0	442	1574	0	98	0	0
ENSMUSG00000000125	1889	16.439657018502366	0.0	508	7811	0	229	0	0
ENSMUSG00000000126	2177	18.73690166737606	0.005939226519337017	562	7240	43	261	21	0
ENSMUSG00000000127	2015	5.240589355243113	0.0	618	1951	0	73	0	0
ENSMUSG00000000131	4467	80.69071829168847	0.0044995552765133675	1160	38226	172	1124	84	4
ENSMUSG00000000134	7673	69.99417289537034	0.0	1789	26108	0	975	0	0
ENSMUSG00000000142	1504	1.0050445338822407	0.0	396	761	0	14	0	0
ENSMUSG00000000148	4777	7.466045108839503	0.0	1096	2735	0	104	0	0
ENSMUSG00000000149	2497	2.2254557535963904	0.0	588	620	0	31	0	27
ENSMUSG00000000154	1458	0.0	0	375	0	0	0	0	0
ENSMUSG00000000157	1555	0.0	0	369	0	0	0	0	0
ENSMUSG00000000159	1740	0.0	0	458	0	0	0	0	0
ENSMUSG00000000167	572	0.0	0	141	0	0	0	0	0
ENSMUSG00000000168	1792	60.876983195152874	0.0030604706792837794	556	28427	87	848	33	160
ENSMUSG00000000171	728	79.39851817669702	0.0007307397870415478	219	28738	21	1106	15	0
ENSMUSG00000000182	930	0.0	0	239	0	0	0	0	0
ENSMUSG00000000183	4030	0.0	0	1074	0	0	0	0	0
ENSMUSG00000000184	5792	30.86922496924025	0.0	1697	11350	0	430	0	2
ENSMUSG00000000194	4435	13.711678997964857	0.0	1097	4314	0	191	0	0
ENSMUSG00000000197	1534	23.977491022619173	0.0	517	13808	0	334	0	0
ENSMUSG00000000202	231	0.0	0	51	0	0	0	0	0
ENSMUSG00000000204	2592	0.0	0	995	0	0	0	0	0
ENSMUSG00000000214	2106	61.4512943573713	0.0	507	18967	0	856	0	0
ENSMUSG00000000215	574	0.0	0	121	0	0	0	0	0
ENSMUSG00000000216	926	0.0	0	249	0	0	0	0	0
ENSMUSG00000000223	5096	0.28715558110921163	0.0	1460	92	0	4	0	0
ENSMUSG00000000244	3591	0.0	0	968	0	0	0	0	0
ENSMUSG00000000247	1110	29.289869273139587	0.0	294	12518	0	408	0	1
ENSMUSG00000000248	3796	0.0	0	1143	0	0	0	0	0
ENSMUSG00000000253	329	86.86456328553653	0.00039178556270201445	92	30629	12	1210	6	0
ENSMUSG00000000263	575	2.0100890677644814	0.0	116	724	0	28	0	0
ENSMUSG00000000266	3948	2.727978020537511	0.0	1284	899	0	38	0	0
ENSMUSG00000000275	3728	0.0	0	1098	0	0	0	0	0
ENSMUSG00000000276	10681	30.72564717868565	0.0	3258	14324	0	428	1	0
ENSMUSG00000000278	642	5.527744936352324	0.0	164	1919	0	77	0	0
ENSMUSG00000000282	2405	9.763289757713196	0.0	588	4633	0	136	0	6
ENSMUSG00000000290	3320	4.091967030806266	0.0	778	1007	0	57	0	0
ENSMUSG00000000295	661	11.486223244368466	0.0	159	4524	0	160	0	0
ENSMUSG00000000296	1779	26.34652456677017	0.0	531	9028	0	367	0	0
ENSMUSG00000000301	204	2.440822439428299	0.0	39	692	0	34	0	0
ENSMUSG00000000303	2063	0.0	0	643	0	0	0	0	0
ENSMUSG00000000305	3658	12.922001149914525	0.0	855	5634	0	180	0	1
ENSMUSG00000000308	910	32.87931403700473	0.009843937575030012	193	8330	82	458	30	1
ENSMUSG00000000317	1899	0.0	0	587	0	0	0	0	0
ENSMUSG00000000318	1002	7.178889527730291	0.0	312	3344	0	100	0	0
ENSMUSG00000000320	2000	0.0	0	524	0	0	0	0	0
ENSMUSG00000000325	7008	18.23437940043494	0.0	1663	7477	0	254	0	0
ENSMUSG00000000326	1815	138.76793457102653	0.003036731048342079	386	44785	136	1933	68	7
ENSMUSG00000000339	1006	30.653858283408347	0.00155631013016412	248	14136	22	427	11	0
ENSMUSG00000000340	2168	0.0	0	623	0	0	0	0	0
ENSMUSG00000000346	1265	140.4908680576818	0.0016403017161035378	403	80473	132	1957	66	3
ENSMUSG00000000355	124	29.505235958971497	0.004936837519965152	36	6887	34	411	17	0
ENSMUSG00000000359	477	0.35894447638651455	0.0	128	75	0	5	0	0
ENSMUSG00000000365	631	0.0	0	202	0	0	0	0	0
ENSMUSG00000000374	1505	2.297244648873693	0.0	418	960	0	32	0	0
ENSMUSG00000000378	1329	56.641438373792	0.0	276	11160	0	789	0	3
ENSMUSG00000000381	131	0.0	0	31	0	0	0	0	0
ENSMUSG00000000384	1518	11.199067663259255	0.0	322	3723	0	156	0	0
ENSMUSG00000000385	1558	0.0	0	463	0	0	0	0	0
ENSMUSG00000000386	1653	0.0	0	419	0	0	0	0	0
ENSMUSG00000000392	564	0.0	0	151	0	0	0	0	0
ENSMUSG00000000394	448	0.0	0	151	0	0	0	0	0
ENSMUSG00000000399	321	9.476134176603985	0.0	96	1478	0	132	0	0
ENSMUSG00000000402	854	1.0768334291595438	0.0	281	787	0	15	0	0
ENSMUSG00000000409	903	2.1536668583190877	0.0	271	836	0	30	0	0
ENSMUSG00000000411	57	0.0	0	7	0	0	0	0	0
ENSMUSG00000000416	4511	9.691500862435893	0.0	1239	6153	0	135	0	0
ENSMUSG00000000420	4865	40.058203564735024	0.0	1559	18046	0	558	0	44
ENSMUSG00000000435	1112	0.0	0	420	0	0	0	0	0
ENSMUSG00000000439	4893	4.450911507192781	0.0	1319	1927	0	62	0	0
ENSMUSG00000000440	403	5.886689412738839	0.0	135	3642	0	82	0	0
ENSMUSG00000000441	1265	10.768334291595437	0.0	358	5707	0	150	0	10
ENSMUSG00000000486	411	1.5075668008233611	0.0	85	264	0	21	0	0
ENSMUSG00000000489	1408	41.996503737222206	0.00027881364792806606	369	28693	8	585	4	0
ENSMUSG00000000530	2345	0.0	0	517	0	0	0	0	0
ENSMUSG00000000531	740	14.357779055460583	0.0016215339711366952	163	6167	10	200	5	0
ENSMUSG00000000532	2822	53.985249248531794	0.0003601137959595232	752	27769	10	752	5	0
ENSMUSG00000000538	8485	62.88707226291735	0.0	2122	30688	0	876	0	8
ENSMUSG00000000544	2403	0.0	0	621	0	0	0	0	0
ENSMUSG00000000552	2187	112.56498779481097	0.0	399	28513	0	1568	0	4
ENSMUSG00000000555	4927	0.7178889527730291	0.0	1022	116	0	10	0	0
ENSMUSG00000000560	8950	60.80519429987557	7.923302432453847e-05	2606	25242	2	847	1	0
ENSMUSG00000000561	6878	21.536668583190874	0.0	2061	8566	0	300	0	0
ENSMUSG00000000562	1489	0.0	0	413	0	0	0	0	0
ENSMUSG00000000563	1418	289.59640354863996	0.0015266714028749793	415	132314	202	4034	122	6
ENSMUSG00000000567	2250	54.774927096582125	0.0	788	21597	0	763	0	12
ENSMUSG00000000568	8534	393.69030170072915	0.005446426266745825	2915	193705	1055	5484	395	150
ENSMUSG00000000579	2108	0.0	0	565	0	0	0	0	0
