# name:S1_Gad2_2
gene_name	length	readsCPM	conversionRate	Tcontent	coverageOnTs	conversionsOnTs	readCount	tcReadCount	multimapCount
ENSMUSG00000000001	2056	0.0	0	710	0	0	0	0	0
ENSMUSG00000000003	450	0.0	0	181	0	0	0	0	0
ENSMUSG00000000028	250	9.138868602691181	0.0	103	1717	0	34	0	0
ENSMUSG00000000037	6211	0.0	0	2345	0	0	0	0	0
ENSMUSG00000000049	101	0.0	0	36	0	0	0	0	0
ENSMUSG00000000056	2934	3.2254830362439466	0.0	772	435	0	12	0	0
ENSMUSG00000000058	3004	0.0	0	1014	0	0	0	0	0
ENSMUSG00000000078	3867	14.783463916118087	0.0	1163	1158	0	55	0	5
ENSMUSG00000000085	1491	15.321044422158746	0.0	390	1126	0	57	0	0
ENSMUSG00000000088	155	216.37615368136477	6.926406926406926e-05	53	28875	2	805	1	2
ENSMUSG00000000093	934	0.0	0	235	0	0	0	0	0
ENSMUSG00000000094	2702	0.0	0	729	0	0	0	0	0
ENSMUSG00000000103	408	0.0	0	148	0	0	0	0	0
ENSMUSG00000000120	1985	19.35289821746368	0.0	442	1798	0	72	0	0
ENSMUSG00000000125	1889	18.008946952362034	0.0	508	2791	0	67	0	0
ENSMUSG00000000126	2177	37.63063542284605	0.0	562	3893	0	140	0	0
ENSMUSG00000000127	2015	41.93127947117131	0.0	618	6396	0	156	0	0
ENSMUSG00000000131	4467	58.05869465239103	0.0	1160	9765	0	216	0	0
ENSMUSG00000000134	7673	56.44595313426907	0.0	1789	5637	0	210	0	0
ENSMUSG00000000142	1504	0.8063707590609867	0.0	396	131	0	3	0	0
ENSMUSG00000000148	4777	0.0	0	1096	0	0	0	0	0
ENSMUSG00000000149	2497	16.12741518121973	0.0	588	1904	0	60	0	0
ENSMUSG00000000154	1458	0.0	0	375	0	0	0	0	0
ENSMUSG00000000157	1555	0.0	0	369	0	0	0	0	0
ENSMUSG00000000159	1740	0.0	0	458	0	0	0	0	0
ENSMUSG00000000167	572	0.0	0	141	0	0	0	0	0
ENSMUSG00000000168	1792	76.87401236381406	0.0	556	8339	0	286	0	66
ENSMUSG00000000171	728	105.36577918396893	8.486082824168364e-05	219	11784	1	392	1	1
ENSMUSG00000000182	930	0.0	0	239	0	0	0	0	0
ENSMUSG00000000183	4030	0.0	0	1074	0	0	0	0	0
ENSMUSG00000000184	5792	23.653542265788943	0.0	1697	3310	0	88	0	0
ENSMUSG00000000194	4435	6.450966072487893	0.0	1097	659	0	24	0	0
ENSMUSG00000000197	1534	21.503220241626313	0.004715590922487474	517	3393	16	80	8	0
ENSMUSG00000000202	231	14.783463916118087	0.0	51	1747	0	55	0	0
ENSMUSG00000000204	2592	0.0	0	995	0	0	0	0	0
ENSMUSG00000000214	2106	65.04724123091958	0.0	507	6041	0	242	0	0
ENSMUSG00000000215	574	0.0	0	121	0	0	0	0	0
ENSMUSG00000000216	926	0.0	0	249	0	0	0	0	0
ENSMUSG00000000223	5096	30.104508338276837	0.0	1460	3831	0	112	0	0
ENSMUSG00000000244	3591	0.0	0	968	0	0	0	0	0
ENSMUSG00000000247	1110	70.96062679736683	0.0	294	10489	0	264	0	0
ENSMUSG00000000248	3796	0.0	0	1143	0	0	0	0	0
ENSMUSG00000000253	329	72.30457806246847	0.0008017103153393907	92	7484	6	269	3	0
ENSMUSG00000000263	575	0.0	0	116	0	0	0	0	0
ENSMUSG00000000266	3948	8.870078349670854	0.0	1284	881	0	33	0	0
ENSMUSG00000000275	3728	0.0	0	1098	0	0	0	0	0
ENSMUSG00000000276	10681	14.514673663097758	0.0	3258	1532	0	54	0	6
ENSMUSG00000000278	642	1.0751610120813155	0.0	164	44	0	4	0	4
ENSMUSG00000000282	2405	29.029347326195516	0.0	588	3109	0	108	0	0
ENSMUSG00000000290	3320	0.0	0	778	0	0	0	0	0
ENSMUSG00000000295	661	25.803864289951573	0.0	159	2058	0	96	0	0
ENSMUSG00000000296	1779	26.61023504901256	0.0	531	2497	0	99	0	0
ENSMUSG00000000301	204	0.0	0	39	0	0	0	0	0
ENSMUSG00000000303	2063	2.956692783223618	0.0	643	440	0	11	0	0
ENSMUSG00000000305	3658	12.095561385914799	0.0	855	1311	0	45	0	1
ENSMUSG00000000308	910	35.21152314566308	0.0	193	3079	0	131	0	2
ENSMUSG00000000317	1899	12.095561385914799	0.0	587	1253	0	45	0	0
ENSMUSG00000000318	1002	17.20257619330105	0.0	312	2486	0	64	0	0
ENSMUSG00000000320	2000	0.0	0	524	0	0	0	0	0
ENSMUSG00000000325	7008	80.63707590609866	0.0	1663	7998	0	300	0	0
ENSMUSG00000000326	1815	186.27164534308793	0.0	386	15077	0	693	0	14
ENSMUSG00000000339	1006	9.407658855711512	0.0	248	1111	0	35	0	0
ENSMUSG00000000340	2168	0.0	0	623	0	0	0	0	0
ENSMUSG00000000346	1265	202.93664103034828	0.0	403	29007	0	755	0	0
ENSMUSG00000000355	124	37.36184516982571	0.0	36	2231	0	139	0	0
ENSMUSG00000000359	477	0.0	0	128	0	0	0	0	0
ENSMUSG00000000365	631	0.0	0	202	0	0	0	0	0
ENSMUSG00000000374	1505	19.890478723504337	0.0	418	2718	0	74	0	0
ENSMUSG00000000378	1329	32.25483036243946	0.0	276	1196	0	120	0	0
ENSMUSG00000000381	131	0.0	0	31	0	0	0	0	0
ENSMUSG00000000384	1518	7.526127084569209	0.0	322	708	0	28	0	0
ENSMUSG00000000385	1558	0.0	0	463	0	0	0	0	0
ENSMUSG00000000386	1653	0.0	0	419	0	0	0	0	0
ENSMUSG00000000392	564	0.0	0	151	0	0	0	0	0
ENSMUSG00000000394	448	0.0	0	151	0	0	0	0	0
ENSMUSG00000000399	321	37.09305491680538	0.0	96	1279	0	138	0	0
ENSMUSG00000000402	854	0.0	0	281	0	0	0	0	0
ENSMUSG00000000409	903	0.0	0	271	0	0	0	0	0
ENSMUSG00000000411	57	0.0	0	7	0	0	0	0	0
ENSMUSG00000000416	4511	21.503220241626313	0.0	1239	2411	0	80	0	0
ENSMUSG00000000420	4865	21.503220241626313	0.0	1559	1678	0	80	0	36
ENSMUSG00000000435	1112	0.0	0	420	0	0	0	0	0
ENSMUSG00000000439	4893	9.945239361752169	0.0	1319	840	0	37	0	0
ENSMUSG00000000440	403	0.0	0	135	0	0	0	0	0
ENSMUSG00000000441	1265	22.040800747666967	0.0	358	3066	0	82	0	4
ENSMUSG00000000486	411	2.41911227718296	0.0	85	64	0	9	0	0
ENSMUSG00000000489	1408	40.31853795304933	0.0	369	7599	0	150	0	0
ENSMUSG00000000530	2345	0.0	0	517	0	0	0	0	0
ENSMUSG00000000531	740	1.0751610120813155	0.0	163	60	0	4	0	0
ENSMUSG00000000532	2822	58.596275158431695	0.0	752	8099	0	218	0	0
ENSMUSG00000000538	8485	40.856118459089984	0.0	2122	5620	0	152	0	0
ENSMUSG00000000544	2403	0.0	0	621	0	0	0	0	0
ENSMUSG00000000552	2187	87.08804197858656	0.0	399	5876	0	324	0	2
ENSMUSG00000000555	4927	2.150322024162631	0.0	1022	40	0	8	0	0
ENSMUSG00000000560	8950	63.16570945977728	0.0	2606	7588	0	235	0	0
ENSMUSG00000000561	6878	14.514673663097758	0.0	2061	1566	0	54	0	0
ENSMUSG00000000562	1489	0.0	0	413	0	0	0	0	0
ENSMUSG00000000563	1418	296.2068588284024	0.005458813253998581	415	36638	200	1102	79	18
ENSMUSG00000000567	2250	253.73799885119047	6.681812107443539e-05	788	29932	2	944	1	16
ENSMUSG00000000568	8534	254.27557935723112	0.00012542723652441128	2915	31891	4	946	2	3
ENSMUSG00000000579	2108	0.0	0	565	0	0	0	0	0
ENSMUSG00000000581	2481	51.33893832688282	0.0	896	9572	0	191	0	0
ENSMUSG00000000594	3496	35.21152314566308	0.0	1000	2814	0	131	0	0
ENSMUSG00000000600	5621	3.2254830362439466	0.0	1935	131	0	12	0	0
ENSMUSG00000000605	4125	43.81281124231361	0.0	1199	2234	0	163	0	1
ENSMUSG00000000606	4565	0.0	0	1214	0	0	0	0	0
ENSMUSG00000000617	3067	0.0	0	938	0	0	0	0	0
ENSMUSG00000000627	2287	0.8063707590609867	0.0	579	20	0	3	0	0
ENSMUSG00000000628	2285	0.0	0	657	0	0	0	0	0
ENSMUSG00000000631	3781	51.07014807386249	0.0	864	4062	0	190	0	0
ENSMUSG00000000632	4052	16.12741518121973	0.0	945	2205	0	60	0	0
ENSMUSG00000000673	1313	0.0	0	293	0	0	0	0	0
ENSMUSG00000000682	191	0.0	0	32	0	0	0	0	0
ENSMUSG00000000686	1736	0.0	0	444	0	0	0	0	0
ENSMUSG00000000690	1281	0.0	0	298	0	0	0	0	0
