# name:S1_Gad2_1
gene_name	length	readsCPM	conversionRate	Tcontent	coverageOnTs	conversionsOnTs	readCount	tcReadCount	multimapCount
ENSMUSG00000000001	2056	0.0	0	710	0	0	0	0	0
ENSMUSG00000000003	450	0.0	0	181	0	0	0	0	0
ENSMUSG00000000028	250	0.0	0	103	0	0	0	0	0
ENSMUSG00000000037	6211	0.0	0	2345	0	0	0	0	0
ENSMUSG00000000049	101	0.0	0	36	0	0	0	0	0
ENSMUSG00000000056	2934	10.252985853508493	0.0	772	1308	0	39	0	0
ENSMUSG00000000058	3004	0.0	0	1014	0	0	0	0	0
ENSMUSG00000000078	3867	39.69745804819955	0.0	1163	6901	0	151	0	0
ENSMUSG00000000085	1491	37.857178536031356	0.0	390	3759	0	144	0	0
ENSMUSG00000000088	155	156.94955268063	0.0005126452494873548	53	23408	12	597	6	1
ENSMUSG00000000093	934	0.0	0	235	0	0	0	0	0
ENSMUSG00000000094	2702	0.0	0	729	0	0	0	0	0
ENSMUSG00000000103	408	0.0	0	148	0	0	0	0	0
ENSMUSG00000000120	1985	0.0	0	442	0	0	0	0	0
ENSMUSG00000000125	1889	8.675603414507187	0.0	508	876	0	33	0	0
ENSMUSG00000000126	2177	0.0	0	562	0	0	0	0	0
ENSMUSG00000000127	2015	0.0	0	618	0	0	0	0	0
ENSMUSG00000000131	4467	119.8810653640993	0.0	1160	18120	0	456	0	0
ENSMUSG00000000134	7673	0.0	0	1789	0	0	0	0	0
ENSMUSG00000000142	1504	6.835323902338995	0.0	396	1390	0	26	0	0
ENSMUSG00000000148	4777	4.206353170670151	0.0	1096	254	0	16	0	0
ENSMUSG00000000149	2497	7.886912195006532	0.0	588	1493	0	30	0	0
ENSMUSG00000000154	1458	0.0	0	375	0	0	0	0	0
ENSMUSG00000000157	1555	0.0	0	369	0	0	0	0	0
ENSMUSG00000000159	1740	0.0	0	458	0	0	0	0	0
ENSMUSG00000000167	572	0.0	0	141	0	0	0	0	0
ENSMUSG00000000168	1792	25.763913170354673	0.0	556	3146	0	98	0	15
ENSMUSG00000000171	728	95.16874048641216	0.0	219	8250	0	362	0	0
ENSMUSG00000000182	930	0.0	0	239	0	0	0	0	0
ENSMUSG00000000183	4030	0.0	0	1074	0	0	0	0	0
ENSMUSG00000000184	5792	29.44447219469106	0.0	1697	3262	0	112	0	0
ENSMUSG00000000194	4435	42.85222292620217	0.0	1097	2926	0	163	0	0
ENSMUSG00000000197	1534	42.06353170670151	0.0	517	6255	0	160	0	14
ENSMUSG00000000202	231	2.6289707316688444	0.0	51	170	0	10	0	0
ENSMUSG00000000204	2592	0.0	0	995	0	0	0	0	0
ENSMUSG00000000214	2106	78.34332780373157	0.0	507	7731	0	298	0	0
ENSMUSG00000000215	574	0.0	0	121	0	0	0	0	0
ENSMUSG00000000216	926	0.0	0	249	0	0	0	0	0
ENSMUSG00000000223	5096	6.835323902338995	0.0	1460	675	0	26	0	0
ENSMUSG00000000244	3591	1.0515882926675377	0.0	968	20	0	4	0	0
ENSMUSG00000000247	1110	80.9722985354004	0.0	294	10799	0	308	0	2
ENSMUSG00000000248	3796	0.0	0	1143	0	0	0	0	0
ENSMUSG00000000253	329	150.3771258514579	0.0	92	16288	0	572	0	0
ENSMUSG00000000263	575	2.1031765853350755	0.0	116	48	0	8	0	0
ENSMUSG00000000266	3948	7.361118048672765	0.0	1284	438	0	28	0	0
ENSMUSG00000000275	3728	0.0	0	1098	0	0	0	0	0
ENSMUSG00000000276	10681	55.7341795113795	0.0	3258	8986	0	212	0	0
ENSMUSG00000000278	642	13.407750731511106	0.006272869837950863	164	1913	12	51	6	0
ENSMUSG00000000282	2405	0.0	0	588	0	0	0	0	0
ENSMUSG00000000290	3320	1.5773824390013067	0.0	778	195	0	6	0	0
ENSMUSG00000000295	661	21.557559999684525	0.0	159	1839	0	82	0	0
ENSMUSG00000000296	1779	0.5257941463337689	0.0	531	62	0	2	0	0
ENSMUSG00000000301	204	0.0	0	39	0	0	0	0	0
ENSMUSG00000000303	2063	0.0	0	643	0	0	0	0	0
ENSMUSG00000000305	3658	5.257941463337689	0.0	855	656	0	20	0	0
ENSMUSG00000000308	910	36.80559024336382	0.0	193	2774	0	140	0	0
ENSMUSG00000000317	1899	0.0	0	587	0	0	0	0	0
ENSMUSG00000000318	1002	0.0	0	312	0	0	0	0	0
ENSMUSG00000000320	2000	0.0	0	524	0	0	0	0	0
ENSMUSG00000000325	7008	0.0	0	1663	0	0	0	0	0
ENSMUSG00000000326	1815	106.4733146325882	0.0	386	9281	0	405	0	5
ENSMUSG00000000339	1006	76.24015121839649	0.0	248	8757	0	290	0	0
ENSMUSG00000000340	2168	0.0	0	623	0	0	0	0	0
ENSMUSG00000000346	1265	118.56657999826487	0.0	403	16778	0	451	0	1
ENSMUSG00000000355	124	17.87700097534814	0.0	36	1932	0	68	0	0
ENSMUSG00000000359	477	0.0	0	128	0	0	0	0	0
ENSMUSG00000000365	631	0.0	0	202	0	0	0	0	0
ENSMUSG00000000374	1505	12.356162438843569	0.0	418	2080	0	47	0	0
ENSMUSG00000000378	1329	13.407750731511106	0.0	276	448	0	51	0	0
ENSMUSG00000000381	131	0.0	0	31	0	0	0	0	0
ENSMUSG00000000384	1518	13.67064780467799	0.0	322	1486	0	52	0	0
ENSMUSG00000000385	1558	0.0	0	463	0	0	0	0	0
ENSMUSG00000000386	1653	0.0	0	419	0	0	0	0	0
ENSMUSG00000000392	564	0.26289707316688443	0.0	151	18	0	1	0	0
ENSMUSG00000000394	448	0.0	0	151	0	0	0	0	0
ENSMUSG00000000399	321	20.505971707016986	0.0	96	78	0	78	0	0
ENSMUSG00000000402	854	3.943456097503266	0.0	281	577	0	15	0	0
ENSMUSG00000000409	903	0.0	0	271	0	0	0	0	0
ENSMUSG00000000411	57	0.0	0	7	0	0	0	0	0
ENSMUSG00000000416	4511	27.0783985361891	0.0	1239	1994	0	103	0	0
ENSMUSG00000000420	4865	55.208385365045736	0.0	1559	7960	0	210	0	10
ENSMUSG00000000435	1112	0.0	0	420	0	0	0	0	0
ENSMUSG00000000439	4893	13.67064780467799	0.0	1319	1540	0	52	0	0
ENSMUSG00000000440	403	0.0	0	135	0	0	0	0	0
ENSMUSG00000000441	1265	34.17661951169497	0.0	358	6161	0	130	0	10
ENSMUSG00000000486	411	0.0	0	85	0	0	0	0	0
ENSMUSG00000000489	1408	30.496060487358594	0.0	369	5016	0	116	0	0
ENSMUSG00000000530	2345	0.0	0	517	0	0	0	0	0
ENSMUSG00000000531	740	1.0515882926675377	0.0	163	65	0	4	0	0
ENSMUSG00000000532	2822	77.02884243789714	0.0	752	10847	0	293	0	0
ENSMUSG00000000538	8485	64.67267999905357	0.0	2122	7432	0	246	0	0
ENSMUSG00000000544	2403	0.0	0	621	0	0	0	0	0
ENSMUSG00000000552	2187	53.10520877971066	0.0	399	4030	0	202	0	2
ENSMUSG00000000555	4927	1.0515882926675377	0.0	1022	48	0	4	0	0
ENSMUSG00000000560	8950	75.18856292572895	0.0	2606	10658	0	286	0	0
ENSMUSG00000000561	6878	10.515882926675378	0.0	2061	1264	0	40	0	0
ENSMUSG00000000562	1489	0.0	0	413	0	0	0	0	0
ENSMUSG00000000563	1418	450.6055834080399	0.0	415	58030	0	1714	0	1
ENSMUSG00000000567	2250	161.41880292446706	0.0	788	20074	0	614	0	0
ENSMUSG00000000568	8534	197.17280487516334	0.0	2915	28174	0	750	0	2
ENSMUSG00000000579	2108	0.0	0	565	0	0	0	0	0
ENSMUSG00000000581	2481	32.59923707269367	0.0	896	6405	0	124	0	0
ENSMUSG00000000594	3496	14.985133170512412	0.0	1000	1365	0	57	0	0
ENSMUSG00000000600	5621	0.0	0	1935	0	0	0	0	0
ENSMUSG00000000605	4125	103.31854975458558	0.0	1199	10275	0	393	0	0
ENSMUSG00000000606	4565	0.0	0	1214	0	0	0	0	0
ENSMUSG00000000617	3067	0.0	0	938	0	0	0	0	0
ENSMUSG00000000627	2287	27.34129560935598	0.0	579	3072	0	104	0	0
ENSMUSG00000000628	2285	0.0	0	657	0	0	0	0	0
ENSMUSG00000000631	3781	37.33138438969759	0.0	864	3396	0	142	0	0
ENSMUSG00000000632	4052	50.476238048041814	0.0	945	6615	0	192	0	0
ENSMUSG00000000673	1313	0.0	0	293	0	0	0	0	0
ENSMUSG00000000682	191	0.0	0	32	0	0	0	0	0
ENSMUSG00000000686	1736	0.0	0	444	0	0	0	0	0
ENSMUSG00000000690	1281	0.0	0	298	0	0	0	0	0
ENSMUSG00000000693	1689	9.727191707174724	0.0	379	1265	0	37	0	0
ENSMUSG00000000701	618	0.0	0	186	0	0	0	0	0
